Detailed Statistics Departures  
Origin Airport: Rockford, IL: Chicago/Rockford International (RFD)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0888","255NV","PGD","10:18","10:38","161","190","20","11:18","40","17","0","29","0","3"
"G4","12/01/2022","2997","280NV","SRQ","17:07","16:59","153","142","-8","17:08","9","0","0","0","0","0"
"G4","12/01/2023","0046","327NV","LAS","21:46","21:22","231","218","-24","21:34","12","0","0","0","0","0"
"G4","12/01/2023","1085","250NV","PIE","09:55","09:59","157","155","4","10:10","11","0","0","0","0","0"
"G4","12/01/2023","2319","193NV","AZA","11:38","11:32","214","217","-6","11:47","15","0","0","0","0","0"
"G4","12/02/2021","1585","295NV","PGD","17:43","18:20","162","156","37","18:30","10","0","0","0","0","31"
"G4","12/02/2021","2334","218NV","SFB","20:09","00:00","152","0","0","00:00","0","0","0","0","0","0"
"G4","12/02/2021","2531","231NV","SRQ","10:06","09:54","152","150","-12","10:02","8","0","0","0","0","0"
"G4","12/02/2022","0007","310NV","LAS","22:00","21:48","224","253","-12","21:57","9","0","0","17","0","0"
"G4","12/02/2022","0692","298NV","AZA","12:10","12:10","214","237","0","12:20","10","0","0","23","0","0"
"G4","12/02/2022","2717","220NV","PIE","18:05","18:33","146","138","28","18:40","7","20","0","0","0","0"
"G4","12/02/2023","1251","234NV","SFB","13:47","13:40","155","154","-7","13:49","9","0","0","0","0","0"
"G4","12/03/2021","0281","239NV","LAS","12:06","11:59","221","205","-7","12:10","11","0","0","0","0","0"
"G4","12/03/2021","1346","256NV","AZA","16:44","16:48","211","192","4","16:56","8","0","0","0","0","0"
"G4","12/03/2021","1865","237NV","PIE","20:03","20:13","156","0","10","20:36","23","0","0","0","0","0"
"G4","12/03/2021","6334","218NV","SFB","13:00","13:04","152","152","4","13:14","10","0","0","0","0","0"
"G4","12/03/2022","0894","241NV","PGD","10:08","10:08","161","152","0","10:17","9","0","0","0","0","0"
