Detailed Statistics Departures  
Origin Airport: Roswell, NM: Roswell Air Center (ROW)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3082","N705SK","DFW","17:15","17:06","91","97","-9","17:16","10","0","0","0","0","0"
"OO","12/01/2021","3225","N708SK","PHX","06:06","05:58","102","84","-8","06:07","9","0","0","0","0","0"
"OO","12/01/2021","3271","N612QX","DFW","06:46","06:35","88","83","-11","06:44","9","0","0","0","0","0"
"OO","12/01/2022","3166","N604SK","PHX","08:43","08:54","102","108","11","09:16","22","17","0","0","0","0"
"OO","12/01/2022","3188","N765SK","DFW","13:56","14:05","92","83","9","14:18","13","0","0","0","0","0"
"OO","12/01/2022","3271","N614QX","DFW","06:00","08:45","93","91","165","09:05","20","163","0","0","0","0"
"OO","12/01/2023","3082","N732SK","DFW","12:40","12:33","99","80","-7","12:37","4","0","0","0","0","0"
"OO","12/01/2023","3271","N724EV","DFW","06:20","06:10","103","117","-10","06:29","19","0","0","0","0","0"
"OO","12/02/2021","3082","N754EV","DFW","17:15","19:04","91","98","109","19:15","11","0","0","0","0","116"
"OO","12/02/2021","3225","N778SK","PHX","06:06","05:53","102","99","-13","06:17","24","0","0","0","0","0"
"OO","12/02/2021","3271","N742SK","DFW","06:46","06:38","88","93","-8","06:43","5","0","0","0","0","0"
"OO","12/02/2022","3166","N730SK","PHX","08:43","08:30","102","103","-13","08:43","13","0","0","0","0","0"
"OO","12/02/2022","3188","N760SK","DFW","13:56","14:10","92","80","14","14:17","7","0","0","0","0","0"
"OO","12/02/2022","3271","N708SK","DFW","06:00","05:54","93","104","-6","06:21","27","0","0","0","0","0"
"OO","12/02/2023","3082","N614QX","DFW","12:40","12:29","99","84","-11","12:38","9","0","0","0","0","0"
"OO","12/02/2023","3271","N614SK","DFW","06:20","06:12","103","89","-8","06:26","14","0","0","0","0","0"
"OO","12/03/2021","3082","N750EV","DFW","17:15","17:10","91","108","-5","17:38","28","0","0","0","0","0"
"OO","12/03/2021","3225","N611SK","PHX","06:06","06:02","102","97","-4","06:19","17","0","0","0","0","0"
"OO","12/03/2021","3271","N750EV","DFW","06:46","06:34","88","104","-12","06:52","18","0","0","0","0","0"
"OO","12/03/2022","3166","N732SK","PHX","08:43","08:31","102","123","-12","09:01","30","0","0","0","0","0"
