Detailed Statistics Departures  
Origin Airport: Roswell, NM: Roswell Air Center (ROW)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3827","N606AE","DFW","11:10","11:01","92","89","-9","11:08","7","0","0","0","0","0"
"MQ","12/02/2021","3827","N664MS","DFW","11:10","11:53","92","86","43","12:02","9","37","0","0","0","0"
"MQ","12/03/2021","3827","N616AE","DFW","11:10","11:07","92","90","-3","11:17","10","0","0","0","0","0"
"MQ","12/04/2021","3827","N664MS","DFW","11:10","11:06","92","96","-4","11:17","11","0","0","0","0","0"
"MQ","12/05/2021","3827","N607AE","DFW","11:10","11:09","92","84","-1","11:16","7","0","0","0","0","0"
"MQ","12/06/2021","3827","N928AE","DFW","11:10","10:59","92","90","-11","11:08","9","0","0","0","0","0"
"MQ","12/07/2021","3827","N673AE","DFW","11:10","11:03","92","83","-7","11:15","12","0","0","0","0","0"
"MQ","12/08/2021","3827","N619AE","DFW","11:10","11:55","92","89","45","12:13","18","3","0","0","0","39"
"MQ","12/09/2021","3827","N611AE","DFW","11:10","10:59","92","87","-11","11:13","14","0","0","0","0","0"
"MQ","12/10/2021","3827","N694AE","DFW","11:10","11:09","92","84","-1","11:19","10","0","0","0","0","0"
"MQ","12/11/2021","3827","N606AE","DFW","11:10","11:02","92","83","-8","11:12","10","0","0","0","0","0"
"MQ","12/12/2021","3827","N619AE","DFW","11:10","10:59","92","93","-11","11:12","13","0","0","0","0","0"
"MQ","12/13/2021","3827","N673AE","DFW","11:10","11:01","92","92","-9","11:17","16","0","0","0","0","0"
"MQ","12/14/2021","3827","N923AE","DFW","11:10","11:12","92","87","2","11:23","11","0","0","0","0","0"
"MQ","12/15/2021","3827","N668HH","DFW","11:10","11:51","92","87","41","12:03","12","0","7","0","0","29"

 SOURCE: Bureau of Transportation Statistics
