Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0467","N319AS","SEA","06:00","05:58","122","111","-2","06:11","13","0","0","0","0","0"
"AS","12/01/2021","0485","N319AS","SEA","20:57","20:46","133","119","-11","21:02","16","0","0","0","0","0"
"AS","12/01/2021","1025","N448AS","PDX","16:35","16:39","99","93","4","17:01","22","0","0","0","0","0"
"AS","12/01/2021","1099","N518AS","SEA","14:35","14:33","132","141","-2","14:48","15","0","0","0","0","0"
"AS","12/01/2021","1255","N457AS","SEA","12:43","12:38","122","119","-5","12:58","20","0","0","0","0","0"
"AS","12/01/2022","0230","N552AS","SEA","06:00","07:08","124","105","68","07:25","17","49","0","0","0","0"
"AS","12/01/2022","0533","N622AS","PDX","09:20","09:32","96","84","12","09:44","12","0","0","0","0","0"
"AS","12/01/2022","0755","N642VA","SEA","17:55","18:26","122","104","31","18:39","13","0","0","0","0","0"
"AS","12/01/2022","1184","N514AS","SEA","14:00","00:00","120","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","1255","N481AS","SEA","09:05","10:19","122","108","74","10:32","13","60","0","0","0","0"
"AS","12/01/2023","1110","N320AS","SEA","13:20","14:14","120","122","54","14:28","14","54","0","2","0","0"
"AS","12/01/2023","1157","N592AS","SEA","18:35","18:21","124","135","-14","18:35","14","0","0","0","0","0"
"AS","12/01/2023","1217","N975AK","SEA","06:00","06:09","124","127","9","06:26","17","0","0","0","0","0"
"AS","12/02/2021","0181","N315AS","SEA","07:45","07:42","122","156","-3","08:36","54","0","0","31","0","0"
"AS","12/02/2021","0485","N519AS","SEA","20:57","20:50","133","110","-7","21:04","14","0","0","0","0","0"
"AS","12/02/2021","1025","N556AS","PDX","16:35","17:49","99","94","74","18:11","22","3","0","0","0","66"
"AS","12/02/2021","1099","N531AS","SEA","14:35","15:15","132","109","40","15:32","17","17","0","0","0","0"
"AS","12/02/2021","1255","N309AS","SEA","12:43","13:51","122","115","68","14:15","24","0","0","0","0","61"
"AS","12/02/2022","0230","N546AS","SEA","06:00","05:52","124","130","-8","06:26","34","0","0","0","0","0"
"AS","12/02/2022","0533","N611AS","PDX","09:20","10:15","96","92","55","10:35","20","8","0","0","0","43"
"AS","12/02/2022","0755","N630VA","SEA","17:55","17:52","122","121","-3","18:15","23","0","0","0","0","0"
"AS","12/02/2022","1184","N558AS","SEA","14:00","00:00","120","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","1255","N320AS","SEA","09:05","10:13","122","118","68","10:32","19","0","64","0","0","0"
"AS","12/02/2023","1110","N568AS","SEA","13:35","13:30","120","127","-5","13:45","15","0","0","0","0","0"
"AS","12/02/2023","1217","N453AS","SEA","06:00","06:02","124","139","2","06:20","18","0","0","17","0","0"
"AS","12/03/2021","0181","N320AS","SEA","07:45","07:45","122","112","0","08:03","18","0","0","0","0","0"
"AS","12/03/2021","0467","N506AS","SEA","06:00","05:54","122","112","-6","06:11","17","0","0","0","0","0"
"AS","12/03/2021","0485","N508AS","SEA","20:57","20:47","133","121","-10","21:04","17","0","0","0","0","0"
"AS","12/03/2021","1025","N477AS","PDX","16:35","16:31","99","87","-4","16:45","14","0","0","0","0","0"
"AS","12/03/2021","1099","N546AS","SEA","14:35","14:35","132","110","0","14:50","15","0","0","0","0","0"
"AS","12/03/2021","1255","N318AS","SEA","12:43","13:19","122","108","36","13:32","13","0","0","0","0","22"
"AS","12/03/2022","0099","N214AK","SEA","11:00","00:00","122","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2022","0230","N278AK","SEA","06:00","05:52","124","119","-8","06:14","22","0","0","0","0","0"
"AS","12/03/2022","0755","N918AK","SEA","17:55","18:10","122","107","15","18:32","22","0","0","0","0","0"
"AS","12/03/2022","1255","N236AK","SEA","09:05","09:28","122","138","23","09:43","15","0","0","39","0","0"
"AS","12/03/2023","1110","N273AK","SEA","13:20","13:06","120","114","-14","13:21","15","0","0","0","0","0"
"AS","12/03/2023","1157","N538AS","SEA","18:35","20:40","124","126","125","20:55","15","0","0","2","0","125"
"AS","12/03/2023","1217","N948AK","SEA","06:00","05:46","124","121","-14","06:05","19","0","0","0","0","0"
"AS","12/04/2021","0181","N481AS","SEA","07:45","07:45","122","114","0","07:59","14","0","0","0","0","0"
"AS","12/04/2021","0467","N315AS","SEA","06:00","05:57","122","119","-3","06:14","17","0","0","0","0","0"
"AS","12/04/2021","1025","N318AS","PDX","16:35","16:32","99","89","-3","16:44","12","0","0","0","0","0"
"AS","12/04/2021","1099","N597AS","SEA","14:35","14:35","132","109","0","14:49","14","0","0","0","0","0"
"AS","12/04/2021","1255","N323AS","SEA","12:43","13:03","122","131","20","13:26","23","0","0","9","0","20"
"AS","12/04/2022","0230","N553AS","SEA","06:00","05:51","124","128","-9","06:13","22","0","0","0","0","0"
"AS","12/04/2022","0755","N927VA","SEA","17:55","18:19","122","123","24","18:37","18","0","0","12","0","13"
"AS","12/04/2022","1184","N486AS","SEA","14:00","14:10","120","110","10","14:28","18","0","0","0","0","0"
"AS","12/04/2022","1255","N931AK","SEA","09:05","08:58","122","142","-7","09:14","16","0","0","0","0","0"
"AS","12/04/2023","1110","N594AS","SEA","13:20","13:16","120","119","-4","13:34","18","0","0","0","0","0"
"AS","12/04/2023","1157","N282AK","SEA","18:35","18:29","124","125","-6","18:44","15","0","0","0","0","0"
"AS","12/04/2023","1217","N972AK","SEA","06:00","05:55","124","130","-5","06:09","14","0","0","0","0","0"
"AS","12/05/2021","0181","N303AS","SEA","07:45","07:36","122","114","-9","07:49","13","0","0","0","0","0"
"AS","12/05/2021","0485","N546AS","SEA","20:57","20:52","133","114","-5","21:09","17","0","0","0","0","0"
"AS","12/05/2021","1025","N529AS","PDX","16:35","00:00","99","0","0","00:00","0","0","0","0","0","0"
"AS","12/05/2021","1099","N556AS","SEA","14:35","15:30","132","115","55","15:47","17","0","0","0","0","38"
"AS","12/05/2021","1255","N277AK","SEA","12:43","12:46","122","114","3","12:58","12","0","0","0","0","0"
"AS","12/05/2022","0230","N281AK","SEA","06:00","05:54","124","121","-6","06:11","17","0","0","0","0","0"
"AS","12/05/2022","0533","N618AS","PDX","09:20","09:11","96","90","-9","09:28","17","0","0","0","0","0"
"AS","12/05/2022","0755","N278AK","SEA","17:55","17:53","122","115","-2","18:09","16","0","0","0","0","0"
"AS","12/05/2022","1184","N305AS","SEA","14:00","13:46","120","113","-14","13:59","13","0","0","0","0","0"
"AS","12/05/2022","1255","N296AK","SEA","09:05","09:47","122","115","42","10:02","15","35","0","0","0","0"
"AS","12/05/2023","1110","N306AS","SEA","13:20","13:14","120","107","-6","13:30","16","0","0","0","0","0"
"AS","12/05/2023","1217","N280AK","SEA","06:00","05:51","124","124","-9","06:15","24","0","0","0","0","0"
"AS","12/06/2021","0181","N318AS","SEA","07:45","07:41","122","117","-4","07:55","14","0","0","0","0","0"
"AS","12/06/2021","0467","N273AK","SEA","06:00","05:46","122","134","-14","06:18","32","0","0","0","0","0"
"AS","12/06/2021","0485","N320AS","SEA","20:57","20:45","133","120","-12","21:02","17","0","0","0","0","0"
"AS","12/06/2021","1025","N583AS","PDX","16:35","16:25","99","104","-10","16:46","21","0","0","0","0","0"
"AS","12/06/2021","1099","N512AS","SEA","14:35","15:27","132","123","52","15:42","15","43","0","0","0","0"
"AS","12/06/2021","1255","N281AK","SEA","12:43","00:00","122","0","0","00:00","0","0","0","0","0","0"
"AS","12/06/2022","0230","N323AS","SEA","06:00","05:45","124","128","-15","06:01","16","0","0","0","0","0"
"AS","12/06/2022","0533","N618AS","PDX","09:20","09:14","96","90","-6","09:27","13","0","0","0","0","0"
"AS","12/06/2022","0755","N296AK","SEA","17:55","17:47","122","116","-8","18:05","18","0","0","0","0","0"
"AS","12/06/2022","1184","N323AS","SEA","14:00","13:52","120","116","-8","14:13","21","0","0","0","0","0"
"AS","12/06/2022","1255","N282AK","SEA","09:05","08:54","122","118","-11","09:10","16","0","0","0","0","0"
"AS","12/06/2023","1110","N612AS","SEA","13:39","13:38","120","139","-1","14:26","48","0","0","18","0","0"
"AS","12/06/2023","1157","N587AS","SEA","18:35","18:42","124","119","7","18:59","17","0","0","0","0","0"
"AS","12/06/2023","1217","N483AS","SEA","06:00","05:48","124","105","-12","06:02","14","0","0","0","0","0"
