Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1544","N553UW","DFW","06:09","06:02","205","225","-7","06:27","25","0","0","0","0","0"
"AA","12/01/2021","1867","N579UW","PHX","06:00","05:55","125","112","-5","06:08","13","0","0","0","0","0"
"AA","12/01/2021","1931","N776XF","PHX","16:12","16:08","110","116","-4","16:22","14","0","0","0","0","0"
"AA","12/01/2021","2073","N947NN","PHX","12:43","12:41","111","109","-2","12:51","10","0","0","0","0","0"
"AA","12/01/2021","2078","N971UY","DFW","14:30","14:23","202","200","-7","14:34","11","0","0","0","0","0"
"AA","12/01/2021","2081","N156UW","DFW","12:17","12:12","200","195","-5","12:24","12","0","0","0","0","0"
"AA","12/01/2021","2083","N924US","CLT","22:10","22:07","277","277","-3","22:19","12","0","0","0","0","0"
"AA","12/01/2021","2652","N137AA","DFW","00:43","00:43","197","205","0","01:00","17","0","0","0","0","0"
"AA","12/01/2021","2812","N801NN","ORD","00:59","00:54","246","245","-5","01:08","14","0","0","0","0","0"
"AA","12/01/2021","2843","N840NN","ORD","23:55","23:55","241","234","0","00:08","13","0","0","0","0","0"
"AA","12/01/2021","2940","N124US","PHX","10:13","10:15","112","115","2","10:28","13","0","0","0","0","0"
"AA","12/01/2022","1233","N543UW","DFW","07:34","07:32","199","180","-2","07:43","11","0","0","0","0","0"
"AA","12/01/2022","1416","N991NN","ORD","11:47","11:45","243","231","-2","11:58","13","0","0","0","0","0"
"AA","12/01/2022","1544","N150UW","DFW","06:00","05:59","199","195","-1","06:18","19","0","0","0","0","0"
"AA","12/01/2022","2078","N508AY","DFW","14:16","14:23","198","180","7","14:34","11","0","0","0","0","0"
"AA","12/01/2022","2081","N561UW","DFW","11:49","12:02","197","186","13","12:13","11","0","0","0","0","0"
"AA","12/01/2022","2083","N568UW","CLT","22:30","22:28","280","248","-2","22:43","15","0","0","0","0","0"
"AA","12/01/2023","0388","N927UW","CLT","23:00","22:58","282","267","-2","23:08","10","0","0","0","0","0"
"AA","12/01/2023","0569","N196UW","DFW","07:00","06:54","202","177","-6","07:02","8","0","0","0","0","0"
"AA","12/01/2023","1197","N151AN","DFW","23:59","00:01","200","178","2","00:15","14","0","0","0","0","0"
"AA","12/01/2023","1544","N126AN","DFW","06:00","05:55","201","201","-5","06:11","16","0","0","0","0","0"
"AA","12/01/2023","1867","N109UW","PHX","06:00","05:53","109","125","-7","06:20","27","0","0","0","0","0"
"AA","12/01/2023","2081","N769US","DFW","11:10","10:59","200","198","-11","11:12","13","0","0","0","0","0"
"AA","12/01/2023","2448","N166NN","DFW","14:17","16:12","200","199","115","16:22","10","0","0","0","0","114"
"AA","12/01/2023","2860","N441UW","PHX","19:18","19:28","110","99","10","19:40","12","0","0","0","0","0"
"AA","12/02/2021","0372","N932NN","ORD","23:59","00:01","241","231","2","00:22","21","0","0","0","0","0"
"AA","12/02/2021","1544","N549UW","DFW","06:09","06:10","205","209","1","06:33","23","0","0","0","0","0"
"AA","12/02/2021","1867","N188US","PHX","06:00","05:59","125","115","-1","06:13","14","0","0","0","0","0"
"AA","12/02/2021","1931","N819AW","PHX","16:12","16:07","110","112","-5","16:18","11","0","0","0","0","0"
"AA","12/02/2021","2073","N862NN","PHX","12:43","13:37","111","113","54","13:48","11","2","0","2","0","52"
"AA","12/02/2021","2078","N537UW","DFW","14:32","14:45","202","196","13","14:56","11","0","0","0","0","0"
"AA","12/02/2021","2081","N915US","DFW","12:17","12:22","200","212","5","12:35","13","5","0","12","0","0"
"AA","12/02/2021","2083","N553UW","CLT","22:10","22:09","277","281","-1","22:23","14","0","0","0","0","0"
"AA","12/02/2021","2115","N408AN","DFW","00:59","00:59","197","196","0","01:12","13","0","0","0","0","0"
"AA","12/02/2021","2860","N974UY","PHX","19:29","20:33","110","112","64","20:42","9","26","0","2","0","38"
"AA","12/02/2021","2940","N657AW","PHX","10:13","10:07","112","111","-6","10:20","13","0","0","0","0","0"
"AA","12/02/2022","1233","N163US","DFW","07:34","07:31","199","239","-3","08:21","50","0","0","37","0","0"
"AA","12/02/2022","1416","N822NN","ORD","11:47","11:51","243","218","4","12:03","12","0","0","0","0","0"
"AA","12/02/2022","1544","N151UW","DFW","06:00","00:00","199","0","0","00:00","0","0","0","0","0","0"
"AA","12/02/2022","2078","N164NN","DFW","14:16","14:40","198","184","24","14:55","15","0","0","0","0","0"
