Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3777","N241NN","AUS","11:46","11:52","205","202","6","12:04","12","0","0","0","0","0"
"MQ","12/03/2023","3777","N230NN","AUS","11:46","11:35","205","179","-11","11:45","10","0","0","0","0","0"
"MQ","12/04/2023","3777","N222NS","AUS","11:46","11:36","205","219","-10","11:51","15","0","0","0","0","0"
"MQ","12/05/2023","3777","N260NN","AUS","11:44","11:37","198","203","-7","11:54","17","0","0","0","0","0"
"MQ","12/05/2023","3851","N259NN","PHX","12:53","12:50","118","118","-3","13:12","22","0","0","0","0","0"
"MQ","12/06/2023","3777","N246NN","AUS","11:44","11:36","198","199","-8","11:49","13","0","0","0","0","0"
"MQ","12/07/2023","3368","N209NN","PHX","09:56","10:06","118","112","10","10:23","17","0","0","0","0","0"
"MQ","12/07/2023","3777","N298FR","AUS","11:44","11:46","198","191","2","11:57","11","0","0","0","0","0"
"MQ","12/08/2023","3368","N289MW","PHX","09:56","09:54","118","103","-2","10:12","18","0","0","0","0","0"
"MQ","12/08/2023","3777","N240NN","AUS","11:44","12:00","198","184","16","12:11","11","0","0","0","0","0"
"MQ","12/10/2023","3368","N298FR","PHX","09:56","09:45","118","104","-11","09:59","14","0","0","0","0","0"
"MQ","12/10/2023","3777","N449YX","AUS","11:44","11:36","198","195","-8","11:49","13","0","0","0","0","0"
"MQ","12/11/2023","3368","N247NN","PHX","09:56","09:48","118","101","-8","09:58","10","0","0","0","0","0"
"MQ","12/11/2023","3777","N223NN","AUS","11:44","11:40","198","193","-4","11:51","11","0","0","0","0","0"
"MQ","12/12/2023","3777","N282NN","AUS","11:44","11:42","198","199","-2","11:54","12","0","0","0","0","0"
"MQ","12/12/2023","3851","N239NN","PHX","12:53","12:53","118","110","0","13:08","15","0","0","0","0","0"
"MQ","12/13/2023","3777","N302RN","AUS","11:44","11:40","198","203","-4","11:53","13","0","0","0","0","0"
"MQ","12/14/2023","3368","N277NN","PHX","09:56","10:15","118","105","19","10:29","14","0","0","0","0","0"
"MQ","12/14/2023","3777","N209NN","AUS","11:44","11:42","198","194","-2","11:56","14","0","0","0","0","0"
"MQ","12/15/2023","3368","N298FR","PHX","09:56","09:48","118","97","-8","09:57","9","0","0","0","0","0"
"MQ","12/15/2023","3777","N310JZ","AUS","11:44","11:59","198","186","15","12:11","12","0","0","0","0","0"
"MQ","12/17/2023","3777","N279MQ","AUS","11:44","11:41","198","195","-3","11:56","15","0","0","0","0","0"
"MQ","12/18/2023","3777","N228NN","AUS","11:44","12:13","198","197","29","12:27","14","0","0","0","0","28"
"MQ","12/19/2023","3777","N290NN","AUS","11:44","11:36","198","205","-8","11:47","11","0","0","0","0","0"
"MQ","12/19/2023","3851","N234JW","PHX","12:53","12:49","118","112","-4","13:06","17","0","0","0","0","0"
"MQ","12/20/2023","3777","N290NN","AUS","11:47","11:41","195","200","-6","11:54","13","0","0","0","0","0"
"MQ","12/21/2023","3777","N261NN","AUS","11:47","11:40","195","214","-7","12:01","21","0","0","0","0","0"
"MQ","12/22/2023","3777","N285NN","AUS","11:47","11:44","195","225","-3","12:08","24","0","0","27","0","0"
"MQ","12/23/2023","3777","N220NN","AUS","12:52","13:03","195","197","11","13:14","11","0","0","0","0","0"
"MQ","12/24/2023","3777","N273NN","AUS","11:47","11:45","195","188","-2","12:01","16","0","0","0","0","0"
"MQ","12/25/2023","3777","N240NN","AUS","11:47","11:44","195","197","-3","12:00","16","0","0","0","0","0"
"MQ","12/26/2023","3777","N247NN","AUS","11:47","11:59","195","191","12","12:10","11","0","0","0","0","0"
"MQ","12/27/2023","3777","N305CL","AUS","11:47","12:01","195","197","14","12:15","14","0","0","2","0","14"
"MQ","12/28/2023","3777","N290NN","AUS","11:47","11:47","195","194","0","12:00","13","0","0","0","0","0"
"MQ","12/29/2023","3777","N293NN","AUS","11:47","11:40","195","194","-7","11:52","12","0","0","0","0","0"
"MQ","12/30/2023","3777","N240NN","AUS","12:52","12:45","195","197","-7","13:00","15","0","0","0","0","0"
"MQ","12/31/2023","3777","N285NN","AUS","11:47","11:36","195","180","-11","11:50","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
