Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0019","N391HA","HNL","07:35","07:50","350","307","15","08:04","14","0","0","0","0","0"
"HA","12/01/2021","0059","N205HA","OGG","08:45","08:46","335","312","1","09:00","14","0","0","0","0","0"
"HA","12/01/2022","0019","N212HA","HNL","08:00","08:00","340","370","0","08:16","16","0","0","30","0","0"
"HA","12/01/2022","0059","N228HA","OGG","07:00","07:02","335","315","2","07:13","11","0","0","0","0","0"
"HA","12/01/2023","0019","N392HA","HNL","08:50","08:48","340","345","-2","08:59","11","0","0","0","0","0"
"HA","12/01/2023","0059","N218HA","OGG","07:25","07:29","330","328","4","07:42","13","0","0","0","0","0"
"HA","12/02/2021","0019","N381HA","HNL","07:35","07:35","350","313","0","07:54","19","0","0","0","0","0"
"HA","12/02/2021","0059","N202HA","OGG","08:45","08:44","335","319","-1","08:59","15","0","0","0","0","0"
"HA","12/02/2022","0019","N223HA","HNL","08:05","08:23","340","354","18","08:51","28","32","0","0","0","0"
"HA","12/02/2022","0059","N227HA","OGG","07:00","07:11","335","346","11","07:45","34","11","11","0","0","0"
"HA","12/02/2023","0019","N396HA","HNL","08:45","08:40","350","365","-5","08:53","13","0","0","0","0","0"
"HA","12/02/2023","0059","N218HA","OGG","07:25","07:23","330","330","-2","07:36","13","0","0","0","0","0"
"HA","12/03/2021","0019","N392HA","HNL","07:35","07:34","350","353","-1","07:49","15","0","0","0","0","0"
"HA","12/03/2021","0059","N214HA","OGG","08:45","08:59","335","317","14","09:14","15","0","0","0","0","0"
"HA","12/03/2022","0019","N223HA","HNL","08:05","08:50","340","347","45","09:01","11","52","0","0","0","0"
"HA","12/03/2022","0059","N204HA","OGG","07:00","07:08","335","339","8","07:21","13","0","0","0","0","0"
"HA","12/03/2023","0019","N383HA","HNL","09:25","09:53","350","328","28","10:09","16","0","0","0","0","0"
"HA","12/03/2023","0059","N205HA","OGG","07:25","07:12","330","321","-13","07:22","10","0","0","0","0","0"
"HA","12/04/2021","0019","N389HA","HNL","07:35","07:36","350","349","1","07:50","14","0","0","0","0","0"
"HA","12/04/2021","0059","N216HA","OGG","08:45","08:41","335","342","-4","08:55","14","0","0","0","0","0"
"HA","12/04/2022","0019","N223HA","HNL","08:05","08:17","340","361","12","08:30","13","33","0","0","0","0"
"HA","12/04/2022","0059","N228HA","OGG","07:00","07:14","335","356","14","07:33","19","35","0","0","0","0"
"HA","12/04/2023","0019","N393HA","HNL","09:25","09:21","350","343","-4","09:38","17","0","0","0","0","0"
"HA","12/04/2023","0059","N213HA","OGG","07:25","07:13","330","329","-12","07:27","14","0","0","0","0","0"
"HA","12/05/2021","0019","N380HA","HNL","07:35","22:02","350","346","867","22:16","14","863","0","0","0","0"
"HA","12/05/2021","0059","N218HA","OGG","08:45","09:19","335","331","34","09:34","15","30","0","0","0","0"
"HA","12/05/2022","0019","N399HA","HNL","08:05","08:14","340","346","9","08:31","17","15","0","0","0","0"
"HA","12/05/2022","0059","N227HA","OGG","07:00","07:09","335","327","9","07:19","10","0","0","0","0","0"
"HA","12/05/2023","0019","N382HA","HNL","09:25","09:26","350","362","1","09:40","14","0","0","0","0","0"
"HA","12/05/2023","0059","N223HA","OGG","07:25","07:16","330","341","-9","07:29","13","0","0","0","0","0"
"HA","12/06/2021","0019","N390HA","HNL","07:35","07:31","350","341","-4","07:44","13","0","0","0","0","0"
"HA","12/06/2021","0059","N204HA","OGG","08:45","08:44","335","329","-1","08:56","12","0","0","0","0","0"
"HA","12/06/2022","0019","N204HA","HNL","08:05","09:33","340","328","88","09:48","15","76","0","0","0","0"
"HA","12/06/2022","0059","N209HA","OGG","07:00","07:09","335","321","9","07:21","12","0","0","0","0","0"
"HA","12/06/2023","0019","N388HA","HNL","09:25","16:06","350","364","401","16:19","13","415","0","0","0","0"
"HA","12/06/2023","0059","N223HA","OGG","07:25","07:35","330","342","10","07:47","12","22","0","0","0","0"
"HA","12/07/2021","0019","N383HA","HNL","07:35","07:30","350","336","-5","07:50","20","0","0","0","0","0"
"HA","12/07/2021","0059","N230HA","OGG","08:45","09:39","335","303","54","09:55","16","22","0","0","0","0"
"HA","12/07/2022","0019","N228HA","HNL","08:05","08:47","340","336","42","09:05","18","0","0","0","0","38"
"HA","12/07/2022","0059","N204HA","OGG","07:00","06:49","335","338","-11","07:25","36","0","0","0","0","0"
"HA","12/07/2023","0019","N380HA","HNL","09:25","09:19","350","350","-6","09:35","16","0","0","0","0","0"
"HA","12/07/2023","0059","N215HA","OGG","07:25","07:20","330","333","-5","07:34","14","0","0","0","0","0"
"HA","12/08/2021","0019","N388HA","HNL","07:35","07:45","350","335","10","07:59","14","0","0","0","0","0"
"HA","12/08/2021","0059","N213HA","OGG","08:45","08:53","335","321","8","09:06","13","0","0","0","0","0"
"HA","12/08/2022","0019","N370HA","HNL","08:05","09:31","340","330","86","09:50","19","76","0","0","0","0"
"HA","12/08/2022","0059","N227HA","OGG","07:00","07:04","335","318","4","07:20","16","0","0","0","0","0"
"HA","12/08/2023","0019","N378HA","HNL","09:25","09:21","350","350","-4","09:35","14","0","0","0","0","0"
"HA","12/08/2023","0059","N228HA","OGG","07:25","07:41","330","307","16","07:52","11","0","0","0","0","0"
"HA","12/09/2021","0019","N380HA","HNL","07:35","08:05","350","336","30","08:28","23","16","0","0","0","0"
"HA","12/09/2021","0059","N226HA","OGG","08:45","08:47","335","321","2","08:59","12","0","0","0","0","0"
"HA","12/09/2022","0019","N202HA","HNL","08:05","08:54","340","318","49","09:09","15","27","0","0","0","0"
"HA","12/09/2022","0059","N204HA","OGG","07:00","07:03","335","314","3","07:17","14","0","0","0","0","0"
"HA","12/09/2023","0019","N391HA","HNL","09:25","09:20","350","353","-5","09:35","15","0","0","0","0","0"
"HA","12/09/2023","0059","N213HA","OGG","07:25","07:20","330","340","-5","07:36","16","0","0","0","0","0"
"HA","12/10/2021","0019","N383HA","HNL","07:35","07:50","350","317","15","08:06","16","0","0","0","0","0"
"HA","12/10/2021","0059","N216HA","OGG","08:45","08:45","335","312","0","08:56","11","0","0","0","0","0"
"HA","12/10/2022","0019","N209HA","HNL","08:05","08:18","340","339","13","08:30","12","0","0","0","0","0"
"HA","12/10/2022","0059","N227HA","OGG","07:00","07:07","335","333","7","07:23","16","0","0","0","0","0"
"HA","12/10/2023","0019","N361HA","HNL","09:25","09:28","350","339","3","09:43","15","0","0","0","0","0"
"HA","12/10/2023","0059","N227HA","OGG","07:25","07:16","330","335","-9","07:27","11","0","0","0","0","0"
"HA","12/11/2021","0019","N389HA","HNL","07:35","07:41","350","335","6","08:00","19","0","0","0","0","0"
"HA","12/11/2021","0059","N226HA","OGG","08:45","09:00","335","327","15","09:13","13","0","0","0","0","0"
"HA","12/11/2022","0019","N204HA","HNL","08:05","08:15","340","322","10","08:28","13","0","0","0","0","0"
"HA","12/11/2022","0059","N223HA","OGG","07:00","07:59","335","303","59","08:08","9","27","0","0","0","0"
"HA","12/11/2023","0019","N379HA","HNL","09:25","09:52","350","339","27","10:09","17","16","0","0","0","0"
