Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2089","N623QX","SAN","13:25","13:24","94","102","-1","13:43","19","0","0","0","0","0"
"QX","12/01/2021","2539","N626QX","PDX","06:00","05:55","94","100","-5","06:16","21","0","0","0","0","0"
"QX","12/01/2023","2113","N631QX","PDX","08:00","07:48","102","123","-12","07:57","9","0","0","0","0","0"
"QX","12/01/2023","2152","N658QX","BOI","07:15","07:09","93","88","-6","07:20","11","0","0","0","0","0"
"QX","12/02/2021","2089","N626QX","SAN","13:25","13:20","94","97","-5","13:37","17","0","0","0","0","0"
"QX","12/02/2021","2275","N626QX","BOI","09:00","08:50","84","81","-10","09:03","13","0","0","0","0","0"
"QX","12/02/2021","2402","N636QX","SAN","12:10","12:05","94","90","-5","12:17","12","0","0","0","0","0"
"QX","12/02/2021","2584","N630QX","PDX","06:00","05:55","94","89","-5","06:09","14","0","0","0","0","0"
"QX","12/02/2023","2113","N653QX","PDX","08:00","08:51","102","100","51","09:01","10","49","0","0","0","0"
"QX","12/02/2023","2152","N648QX","BOI","07:15","07:05","93","93","-10","07:21","16","0","0","0","0","0"
"QX","12/03/2021","2089","N647QX","SAN","13:25","13:30","94","87","5","13:41","11","0","0","0","0","0"
"QX","12/03/2021","2275","N647QX","BOI","09:00","09:27","84","81","27","09:40","13","0","0","0","0","24"
"QX","12/03/2021","2402","N626QX","SAN","12:10","12:02","94","92","-8","12:16","14","0","0","0","0","0"
"QX","12/03/2021","2584","N628QX","PDX","06:00","05:57","94","96","-3","06:17","20","0","0","0","0","0"
"QX","12/03/2023","2113","N653QX","PDX","08:00","08:04","102","95","4","08:16","12","0","0","0","0","0"
"QX","12/04/2021","2089","N630QX","SAN","13:25","13:30","94","90","5","13:44","14","0","0","0","0","0"
"QX","12/04/2021","2275","N630QX","BOI","09:00","08:57","84","91","-3","09:16","19","0","0","0","0","0"
"QX","12/04/2021","2584","N628QX","PDX","06:00","05:57","94","93","-3","06:12","15","0","0","0","0","0"
"QX","12/04/2023","2113","N634QX","PDX","08:00","07:52","102","92","-8","08:04","12","0","0","0","0","0"
"QX","12/04/2023","2152","N660QX","BOI","07:15","07:10","93","94","-5","07:29","19","0","0","0","0","0"
"QX","12/05/2021","2089","N641QX","SAN","13:25","13:21","94","90","-4","13:35","14","0","0","0","0","0"
"QX","12/05/2021","2275","N641QX","BOI","09:00","08:54","84","82","-6","09:03","9","0","0","0","0","0"
"QX","12/05/2021","2402","N630QX","SAN","12:10","12:07","94","90","-3","12:24","17","0","0","0","0","0"
"QX","12/05/2023","2113","N637QX","PDX","08:00","07:53","102","88","-7","08:04","11","0","0","0","0","0"
"QX","12/05/2023","2152","N620QX","BOI","07:15","07:07","93","84","-8","07:26","19","0","0","0","0","0"
"QX","12/06/2021","2089","N649QX","SAN","13:25","13:34","94","81","9","13:45","11","0","0","0","0","0"
"QX","12/06/2021","2275","N649QX","BOI","09:00","08:54","84","80","-6","09:06","12","0","0","0","0","0"
"QX","12/06/2021","2402","N641QX","SAN","12:10","12:18","94","92","8","12:38","20","0","0","0","0","0"
"QX","12/06/2021","2584","N629QX","PDX","06:00","05:48","94","102","-12","05:58","10","0","0","0","0","0"
"QX","12/06/2023","2113","N646QX","PDX","08:00","07:55","102","85","-5","08:07","12","0","0","0","0","0"
"QX","12/07/2021","2089","N637QX","SAN","13:25","13:18","94","89","-7","13:29","11","0","0","0","0","0"
"QX","12/07/2021","2275","N643QX","BOI","09:00","10:02","84","90","62","10:16","14","0","0","6","0","62"
"QX","12/07/2021","2584","N629QX","PDX","06:00","05:51","94","101","-9","06:08","17","0","0","0","0","0"
"QX","12/07/2023","2113","N659QX","PDX","08:00","07:49","102","90","-11","08:01","12","0","0","0","0","0"
"QX","12/08/2021","2089","N651QX","SAN","13:25","13:20","94","80","-5","13:31","11","0","0","0","0","0"
"QX","12/08/2021","2275","N651QX","BOI","09:00","08:56","84","89","-4","09:13","17","0","0","0","0","0"
"QX","12/08/2021","2584","N644QX","PDX","06:00","05:57","94","101","-3","06:12","15","0","0","0","0","0"
"QX","12/08/2023","2113","N623QX","PDX","08:00","07:54","102","109","-6","08:08","14","0","0","0","0","0"
"QX","12/08/2023","2152","N622QX","BOI","07:15","07:13","93","95","-2","07:33","20","0","0","0","0","0"
"QX","12/09/2021","2089","N633QX","SAN","13:25","13:21","94","94","-4","13:38","17","0","0","0","0","0"
"QX","12/09/2021","2275","N633QX","BOI","09:00","08:54","84","85","-6","09:10","16","0","0","0","0","0"
"QX","12/09/2021","2402","N628QX","SAN","12:10","12:51","94","94","41","13:07","16","41","0","0","0","0"
"QX","12/09/2021","2584","N624QX","PDX","06:00","05:56","94","97","-4","06:14","18","0","0","0","0","0"
"QX","12/09/2023","2113","N623QX","PDX","08:00","07:57","102","106","-3","08:19","22","0","0","0","0","0"
"QX","12/09/2023","2152","N661QX","BOI","07:15","07:06","93","129","-9","08:05","59","0","0","27","0","0"
"QX","12/10/2021","2089","N649QX","SAN","13:25","13:19","94","88","-6","13:36","17","0","0","0","0","0"
"QX","12/10/2021","2275","N649QX","BOI","09:00","08:51","84","91","-9","09:05","14","0","0","0","0","0"
"QX","12/10/2021","2402","N633QX","SAN","12:10","12:06","94","88","-4","12:21","15","0","0","0","0","0"
"QX","12/10/2021","2584","N624QX","PDX","06:00","05:53","94","107","-7","06:09","16","0","0","0","0","0"
"QX","12/10/2023","2113","N630QX","PDX","08:00","07:52","102","101","-8","08:15","23","0","0","0","0","0"
"QX","12/11/2021","2089","N628QX","SAN","13:25","13:37","94","88","12","13:47","10","0","0","0","0","0"
"QX","12/11/2021","2275","N634QX","BOI","09:00","08:54","84","77","-6","09:05","11","0","0","0","0","0"
"QX","12/11/2021","2584","N624QX","PDX","06:00","05:59","94","90","-1","06:12","13","0","0","0","0","0"
"QX","12/11/2023","2113","N628QX","PDX","08:00","07:58","102","99","-2","08:20","22","0","0","0","0","0"
"QX","12/11/2023","2152","N636QX","BOI","07:15","07:07","93","107","-8","07:43","36","0","0","0","0","0"
"QX","12/12/2021","2089","N639QX","SAN","13:25","13:33","94","88","8","13:47","14","0","0","0","0","0"
"QX","12/12/2021","2275","N639QX","BOI","09:00","08:53","84","76","-7","09:07","14","0","0","0","0","0"
"QX","12/12/2021","2402","N637QX","SAN","12:10","12:06","94","96","-4","12:21","15","0","0","0","0","0"
"QX","12/12/2023","2113","N628QX","PDX","08:00","07:53","102","104","-7","08:08","15","0","0","0","0","0"
"QX","12/12/2023","2152","N636QX","BOI","07:15","07:05","93","92","-10","07:21","16","0","0","0","0","0"
"QX","12/13/2021","2089","N627QX","SAN","13:25","14:16","94","96","51","14:31","15","51","0","2","0","0"
"QX","12/13/2021","2275","N627QX","BOI","09:00","08:57","84","82","-3","09:19","22","0","0","0","0","0"
"QX","12/13/2021","2402","N634QX","SAN","12:10","12:39","94","97","29","12:53","14","0","29","3","0","0"
"QX","12/13/2021","2584","N629QX","PDX","06:00","05:52","94","87","-8","06:06","14","0","0","0","0","0"
"QX","12/13/2023","2113","N649QX","PDX","08:00","07:55","102","98","-5","08:08","13","0","0","0","0","0"
"QX","12/14/2021","2089","N637QX","SAN","13:25","13:28","94","90","3","13:41","13","0","0","0","0","0"
"QX","12/14/2021","2275","N644QX","BOI","09:00","08:59","84","104","-1","09:32","33","0","0","19","0","0"
"QX","12/14/2021","2584","N645QX","PDX","06:00","05:57","94","106","-3","06:24","27","0","0","0","0","0"
"QX","12/14/2023","2152","N649QX","BOI","07:45","07:35","90","80","-10","07:48","13","0","0","0","0","0"
"QX","12/14/2023","2338","N643QX","PDX","17:25","17:46","101","87","21","17:59","13","0","0","0","0","0"
"QX","12/15/2021","2089","N638QX","SAN","13:25","13:21","94","88","-4","13:31","10","0","0","0","0","0"
"QX","12/15/2021","2275","N638QX","BOI","09:00","08:56","84","77","-4","09:07","11","0","0","0","0","0"
"QX","12/15/2021","2584","N645QX","PDX","06:00","05:53","94","94","-7","06:11","18","0","0","0","0","0"
"QX","12/15/2022","2113","N638QX","PDX","13:10","13:08","95","103","-2","13:20","12","0","0","0","0","0"
"QX","12/15/2022","2212","N638QX","PDX","18:40","18:35","98","93","-5","18:46","11","0","0","0","0","0"
"QX","12/15/2023","2152","N625QX","BOI","07:45","07:42","90","78","-3","07:53","11","0","0","0","0","0"
"QX","12/15/2023","2338","N653QX","PDX","17:25","18:05","101","85","40","18:15","10","0","0","0","0","24"
"QX","12/16/2021","2521","N641QX","BOI","19:25","19:39","86","86","14","19:50","11","0","0","0","0","0"
"QX","12/16/2021","2526","N639QX","SAN","18:55","19:40","91","108","45","19:54","14","45","0","17","0","0"
"QX","12/16/2021","2584","N626QX","PDX","06:00","05:48","98","96","-12","05:58","10","0","0","0","0","0"
"QX","12/16/2022","2113","N644QX","PDX","13:10","13:06","95","86","-4","13:16","10","0","0","0","0","0"
"QX","12/16/2022","2120","N626QX","PDX","16:40","16:37","96","93","-3","16:51","14","0","0","0","0","0"
"QX","12/16/2022","2330","N625QX","BOI","07:35","07:28","90","101","-7","07:56","28","0","0","0","0","0"
"QX","12/16/2023","2152","N647QX","BOI","07:45","07:39","90","78","-6","07:49","10","0","0","0","0","0"
"QX","12/16/2023","2338","N660QX","PDX","17:25","17:51","101","88","26","18:05","14","0","0","0","0","0"
"QX","12/17/2021","2521","N624QX","BOI","19:25","19:39","86","88","14","19:52","13","14","0","2","0","0"
"QX","12/17/2021","2526","N634QX","SAN","18:55","18:51","91","94","-4","19:06","15","0","0","0","0","0"
"QX","12/17/2022","2113","N650QX","PDX","13:10","13:10","95","85","0","13:20","10","0","0","0","0","0"
"QX","12/17/2022","2330","N645QX","BOI","07:35","07:29","90","103","-6","07:59","30","0","0","0","0","0"
"QX","12/17/2023","2152","N658QX","BOI","07:45","07:34","90","84","-11","07:46","12","0","0","0","0","0"
"QX","12/17/2023","2338","N643QX","PDX","17:25","17:18","101","84","-7","17:32","14","0","0","0","0","0"
"QX","12/18/2021","2521","N635QX","BOI","19:25","20:07","86","77","42","20:17","10","0","0","0","0","33"
"QX","12/18/2022","2113","N631QX","PDX","13:10","13:06","95","89","-4","13:16","10","0","0","0","0","0"
"QX","12/18/2022","2330","N644QX","BOI","07:35","09:19","90","87","104","09:36","17","0","101","0","0","0"
"QX","12/18/2023","2152","N630QX","BOI","07:45","07:35","90","83","-10","07:52","17","0","0","0","0","0"
"QX","12/18/2023","2338","N660QX","PDX","17:25","17:24","101","101","-1","17:53","29","0","0","0","0","0"
"QX","12/19/2021","2521","N638QX","BOI","19:25","19:53","86","77","28","20:04","11","0","0","0","0","19"
"QX","12/19/2021","2526","N641QX","SAN","18:55","18:59","91","89","4","19:12","13","0","0","0","0","0"
"QX","12/19/2022","2113","N647QX","PDX","13:10","13:03","95","92","-7","13:17","14","0","0","0","0","0"
"QX","12/19/2022","2120","N620QX","PDX","16:40","16:37","96","89","-3","16:48","11","0","0","0","0","0"
"QX","12/19/2022","2330","N646QX","BOI","07:35","07:30","90","102","-5","07:41","11","0","0","0","0","0"
"QX","12/19/2023","2152","N652MK","BOI","07:45","07:40","90","78","-5","07:51","11","0","0","0","0","0"
"QX","12/19/2023","2338","N623QX","PDX","17:25","18:06","101","82","41","18:19","13","0","22","0","0","0"
"QX","12/20/2021","2521","N638QX","BOI","19:25","19:25","86","81","0","19:40","15","0","0","0","0","0"
"QX","12/20/2022","2113","N651QX","PDX","13:10","13:13","95","99","3","13:26","13","0","0","0","0","0"
"QX","12/20/2022","2212","N635QX","PDX","18:40","20:41","98","101","121","20:54","13","1","0","3","0","120"
"QX","12/20/2022","2330","N641QX","BOI","07:35","07:30","90","86","-5","07:47","17","0","0","0","0","0"
"QX","12/20/2023","2152","N624QX","BOI","07:45","07:40","90","81","-5","07:51","11","0","0","0","0","0"
