Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0162","N712JB","JFK","23:35","23:43","309","308","8","23:54","11","0","0","0","0","0"
"B6","12/01/2022","0162","N994JL","JFK","23:45","01:17","310","285","92","01:27","10","9","0","0","0","58"
"B6","12/01/2023","0162","N956JT","JFK","23:14","23:09","322","300","-5","23:21","12","0","0","0","0","0"
"B6","12/02/2021","0162","N588JB","JFK","23:35","23:44","309","298","9","23:56","12","0","0","0","0","0"
"B6","12/02/2022","0162","N998JE","JFK","23:45","23:47","310","288","2","23:58","11","0","0","0","0","0"
"B6","12/02/2023","0162","N903JB","JFK","23:14","23:12","322","309","-2","23:23","11","0","0","0","0","0"
"B6","12/03/2022","0162","N957JB","JFK","23:45","02:32","310","282","167","02:46","14","7","0","0","0","132"
"B6","12/03/2023","0162","N2060J","JFK","23:14","23:39","322","311","25","23:53","14","0","0","0","0","0"
"B6","12/04/2021","0162","N766JB","JFK","23:35","23:32","309","335","-3","23:46","14","0","0","23","0","0"
"B6","12/04/2022","0162","N965JT","JFK","23:45","00:54","310","289","69","01:03","9","0","0","0","0","48"
"B6","12/04/2023","0162","N948JB","JFK","23:14","23:14","322","322","0","23:32","18","0","0","0","0","0"
"B6","12/05/2022","0162","N957JB","JFK","23:50","00:05","310","298","15","00:23","18","0","0","0","0","0"
"B6","12/05/2023","0162","N959JB","JFK","23:14","23:00","322","329","-14","23:11","11","0","0","0","0","0"
"B6","12/06/2021","0162","N510JB","JFK","23:35","23:38","309","277","3","23:51","13","0","0","0","0","0"
"B6","12/06/2022","0162","N996JL","JFK","23:50","23:42","309","307","-8","23:53","11","0","0","0","0","0"
"B6","12/06/2023","0162","N954JB","JFK","23:15","23:13","322","303","-2","23:23","10","0","0","0","0","0"
"B6","12/07/2022","0162","N959JB","JFK","23:50","23:47","309","292","-3","24:00","13","0","0","0","0","0"
"B6","12/07/2023","0162","N998JE","JFK","23:15","23:08","322","322","-7","23:27","19","0","0","0","0","0"
"B6","12/08/2021","0162","N623JB","JFK","23:35","23:31","309","311","-4","23:42","11","0","0","0","0","0"
"B6","12/08/2022","0162","N996JL","JFK","23:50","23:48","309","294","-2","23:59","11","0","0","0","0","0"
"B6","12/08/2023","0162","N975JT","JFK","23:15","00:58","322","317","103","01:13","15","19","0","0","0","79"
"B6","12/09/2021","0162","N625JB","JFK","23:35","00:36","309","319","61","00:46","10","21","0","10","0","40"
"B6","12/09/2022","0162","N903JB","JFK","23:50","23:54","309","289","4","00:04","10","0","0","0","0","0"
"B6","12/09/2023","0162","N958JB","JFK","23:15","23:02","322","322","-13","23:14","12","0","0","0","0","0"
"B6","12/10/2022","0162","N956JT","JFK","23:50","23:48","309","318","-2","00:07","19","0","0","0","0","0"
"B6","12/10/2023","0162","N998JE","JFK","23:15","23:45","322","310","30","23:59","14","0","0","0","0","18"
