Detailed Statistics Departures  
Origin Airport: Sacramento, CA: Sacramento International (SMF)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0873","N635NK","SNA","12:20","12:00","95","87","-20","12:10","10","0","0","0","0","0"
"NK","12/01/2021","0979","N945NK","LAS","16:35","16:26","85","85","-9","16:42","16","0","0","0","0","0"
"NK","12/01/2022","0979","N967NK","LAS","06:48","06:53","80","72","5","07:03","10","0","0","0","0","0"
"NK","12/01/2022","1805","N930NK","LAS","11:10","11:53","86","80","43","12:08","15","0","37","0","0","0"
"NK","12/01/2022","1807","N930NK","LAS","15:59","00:00","86","0","0","00:00","0","0","0","0","0","0"
"NK","12/01/2022","1819","N681NK","LAS","20:30","21:24","84","110","54","21:33","9","0","0","80","0","0"
"NK","12/01/2023","0511","N633NK","LAS","14:08","14:01","91","80","-7","14:17","16","0","0","0","0","0"
"NK","12/01/2023","1805","N978NK","LAS","11:50","11:40","90","78","-10","11:54","14","0","0","0","0","0"
"NK","12/01/2023","1807","N946NK","LAS","18:44","18:48","93","80","4","19:04","16","0","0","0","0","0"
"NK","12/01/2023","1819","N649NK","LAS","20:36","20:32","94","104","-4","20:42","10","0","0","0","0","0"
"NK","12/02/2021","0873","N928NK","SNA","12:20","12:12","95","87","-8","12:23","11","0","0","0","0","0"
"NK","12/02/2021","0979","N920NK","LAS","15:35","15:31","84","80","-4","15:42","11","0","0","0","0","0"
"NK","12/02/2021","1819","N904NK","LAS","20:01","20:02","86","89","1","20:15","13","0","0","0","0","0"
"NK","12/02/2022","0979","N629NK","LAS","06:48","11:24","80","89","276","11:47","23","276","0","9","0","0"
"NK","12/02/2022","1805","N637NK","LAS","11:10","11:50","86","86","40","12:08","18","0","0","0","0","40"
"NK","12/02/2022","1807","N637NK","LAS","15:59","16:42","86","88","43","16:57","15","0","0","45","0","0"
"NK","12/02/2022","1819","N667NK","LAS","20:30","20:25","84","82","-5","20:40","15","0","0","0","0","0"
"NK","12/02/2023","0511","N628NK","LAS","19:57","21:07","93","73","70","21:18","11","0","0","0","0","50"
"NK","12/02/2023","1805","N984NK","LAS","11:50","11:47","90","75","-3","11:58","11","0","0","0","0","0"
"NK","12/02/2023","1807","N634NK","LAS","09:25","09:18","89","82","-7","09:33","15","0","0","0","0","0"
"NK","12/02/2023","3889","N976NK","LAS","10:50","10:43","89","79","-7","10:54","11","0","0","0","0","0"
"NK","12/03/2021","0873","N905NK","SNA","12:20","12:18","95","93","-2","12:35","17","0","0","0","0","0"
"NK","12/03/2021","0979","N931NK","LAS","15:35","15:30","84","84","-5","15:45","15","0","0","0","0","0"
"NK","12/03/2021","1819","N935NK","LAS","20:01","19:51","86","83","-10","20:04","13","0","0","0","0","0"
"NK","12/03/2022","0979","N635NK","LAS","06:48","06:48","80","83","0","07:07","19","0","0","0","0","0"
"NK","12/03/2022","1805","N951NK","LAS","11:10","11:20","86","81","10","11:34","14","0","0","0","0","0"
"NK","12/03/2022","1807","N925NK","LAS","15:59","16:14","86","79","15","16:28","14","0","0","0","0","0"
"NK","12/03/2022","1819","N680NK","LAS","20:30","20:21","84","79","-9","20:35","14","0","0","0","0","0"
"NK","12/03/2023","0511","N969NK","LAS","13:30","13:18","91","84","-12","13:33","15","0","0","0","0","0"
"NK","12/03/2023","1805","N915NK","LAS","11:50","11:43","90","77","-7","11:56","13","0","0","0","0","0"
"NK","12/03/2023","1807","N957NK","LAS","19:29","19:25","93","83","-4","19:41","16","0","0","0","0","0"
"NK","12/03/2023","1819","N608NK","LAS","20:36","20:26","94","129","-10","20:38","12","0","0","25","0","0"
"NK","12/04/2021","0873","N937NK","SNA","12:20","12:16","95","86","-4","12:29","13","0","0","0","0","0"
"NK","12/04/2021","0979","N913NK","LAS","15:35","15:27","84","96","-8","15:44","17","0","0","0","0","0"
"NK","12/04/2021","1819","N907NK","LAS","20:01","19:54","86","85","-7","20:10","16","0","0","0","0","0"
"NK","12/04/2022","0979","N947NK","LAS","06:48","06:46","80","78","-2","07:01","15","0","0","0","0","0"
"NK","12/04/2022","1805","N690NK","LAS","11:10","11:06","86","108","-4","11:21","15","0","0","18","0","0"
"NK","12/04/2022","1807","N690NK","LAS","15:59","16:40","86","76","41","16:52","12","6","0","25","0","0"
"NK","12/04/2022","1819","N674NK","LAS","20:30","22:17","84","116","107","22:31","14","8","0","32","0","99"
"NK","12/04/2023","0511","N612NK","LAS","16:23","16:15","92","94","-8","16:32","17","0","0","0","0","0"
"NK","12/04/2023","1805","N971NK","LAS","11:53","11:42","92","90","-11","11:57","15","0","0","0","0","0"
"NK","12/04/2023","1807","N930NK","LAS","18:44","18:43","95","85","-1","18:57","14","0","0","0","0","0"
"NK","12/04/2023","1819","N958NK","LAS","20:36","20:33","94","85","-3","20:47","14","0","0","0","0","0"
"NK","12/05/2021","0873","N946NK","SNA","12:20","12:15","95","84","-5","12:29","14","0","0","0","0","0"
"NK","12/05/2021","0979","N930NK","LAS","15:35","15:37","84","102","2","15:52","15","2","0","18","0","0"
"NK","12/05/2021","1819","N905NK","LAS","20:01","19:55","86","77","-6","20:06","11","0","0","0","0","0"
"NK","12/05/2022","0979","N942NK","LAS","06:48","06:48","80","96","0","07:02","14","0","0","16","0","0"
"NK","12/05/2022","1805","N947NK","LAS","11:10","11:08","86","81","-2","11:20","12","0","0","0","0","0"
"NK","12/05/2022","1807","N947NK","LAS","15:59","15:56","86","77","-3","16:09","13","0","0","0","0","0"
"NK","12/05/2022","1819","N670NK","LAS","20:30","20:33","84","87","3","20:51","18","0","0","0","0","0"
"NK","12/05/2023","0223","N622NK","LAS","20:59","20:47","96","95","-12","21:00","13","0","0","0","0","0"
"NK","12/05/2023","0511","N529NK","LAS","16:50","16:42","93","84","-8","16:53","11","0","0","0","0","0"
"NK","12/05/2023","1805","N902NK","LAS","11:53","11:43","92","95","-10","11:57","14","0","0","0","0","0"
"NK","12/05/2023","1807","N979NK","LAS","18:44","18:40","95","79","-4","18:51","11","0","0","0","0","0"
"NK","12/06/2021","0873","N946NK","SNA","12:20","12:16","95","94","-4","12:35","19","0","0","0","0","0"
"NK","12/06/2021","0979","N921NK","LAS","15:35","15:38","84","84","3","15:50","12","0","0","0","0","0"
"NK","12/06/2021","1819","N635NK","LAS","20:01","19:54","86","77","-7","20:06","12","0","0","0","0","0"
"NK","12/06/2022","0979","N931NK","LAS","06:48","06:41","80","87","-7","06:56","15","0","0","0","0","0"
"NK","12/06/2022","1805","N931NK","LAS","11:10","11:11","86","99","1","11:43","32","0","0","0","0","0"
"NK","12/06/2022","1807","N906NK","LAS","15:59","15:57","86","80","-2","16:10","13","0","0","0","0","0"
"NK","12/06/2022","1819","N677NK","LAS","20:30","20:23","84","79","-7","20:35","12","0","0","0","0","0"
"NK","12/06/2023","0223","N631NK","LAS","20:59","20:48","96","72","-11","20:59","11","0","0","0","0","0"
"NK","12/06/2023","0511","N529NK","LAS","16:50","16:46","93","82","-4","17:00","14","0","0","0","0","0"
"NK","12/06/2023","1805","N961NK","LAS","11:53","11:45","92","84","-8","11:55","10","0","0","0","0","0"
"NK","12/06/2023","1807","N908NK","LAS","18:44","18:54","95","82","10","19:09","15","0","0","0","0","0"
"NK","12/07/2021","0873","N946NK","SNA","12:20","12:11","95","88","-9","12:22","11","0","0","0","0","0"
"NK","12/07/2021","0979","N923NK","LAS","16:35","16:25","85","89","-10","16:37","12","0","0","0","0","0"
"NK","12/07/2022","0979","N946NK","LAS","06:48","06:48","79","116","0","07:33","45","0","0","37","0","0"
"NK","12/07/2022","1805","N931NK","LAS","12:40","12:51","85","85","11","13:11","20","0","0","0","0","0"
"NK","12/07/2022","1807","N947NK","LAS","16:04","15:57","86","83","-7","16:10","13","0","0","0","0","0"
"NK","12/07/2022","1819","N676NK","LAS","20:40","20:43","84","81","3","20:54","11","0","0","0","0","0"
"NK","12/07/2023","0511","N603NK","LAS","13:53","14:24","93","97","31","14:57","33","0","0","35","0","0"
"NK","12/07/2023","1805","N978NK","LAS","11:53","12:50","92","78","57","13:03","13","0","0","43","0","0"
"NK","12/07/2023","1807","N927NK","LAS","19:31","20:55","96","88","84","21:17","22","76","0","0","0","0"
"NK","12/07/2023","1819","N627NK","LAS","20:36","20:45","94","82","9","21:04","19","0","0","0","0","0"
"NK","12/08/2021","0873","N923NK","SNA","12:20","12:10","95","80","-10","12:22","12","0","0","0","0","0"
"NK","12/08/2021","0979","N932NK","LAS","16:35","16:21","85","78","-14","16:34","13","0","0","0","0","0"
"NK","12/08/2022","0979","N951NK","LAS","06:48","06:40","79","90","-8","06:54","14","0","0","0","0","0"
"NK","12/08/2022","1805","N910NK","LAS","12:40","12:33","85","75","-7","12:45","12","0","0","0","0","0"
"NK","12/08/2022","1807","N922NK","LAS","16:04","15:59","86","91","-5","16:15","16","0","0","0","0","0"
"NK","12/08/2022","1819","N676NK","LAS","20:40","20:35","84","78","-5","20:47","12","0","0","0","0","0"
"NK","12/08/2023","0511","N608NK","LAS","16:23","17:45","92","82","82","18:01","16","0","0","72","0","0"
"NK","12/08/2023","1805","N951NK","LAS","11:53","12:22","92","95","29","12:54","32","0","0","32","0","0"
"NK","12/08/2023","1807","N927NK","LAS","18:44","21:38","95","83","174","21:55","17","75","0","87","0","0"
"NK","12/08/2023","1819","N601NK","LAS","20:36","22:13","94","72","97","22:23","10","0","0","75","0","0"
"NK","12/09/2021","0873","N923NK","SNA","12:20","12:16","95","94","-4","12:30","14","0","0","0","0","0"
"NK","12/09/2021","0979","N905NK","LAS","15:35","16:16","84","123","41","16:59","43","0","0","80","0","0"
"NK","12/09/2021","1819","N940NK","LAS","20:01","21:06","86","79","65","21:20","14","0","0","58","0","0"
"NK","12/09/2022","0979","N965NK","LAS","06:48","06:50","79","90","2","07:03","13","0","0","0","0","0"
"NK","12/09/2022","1805","N920NK","LAS","12:40","12:36","85","82","-4","12:49","13","0","0","0","0","0"
