Detailed Statistics Departures  
Origin Airport: Saginaw/Bay City/Midland, MI: MBS International (MBS)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/01/2021","4810","N820AY","DTW","11:45","11:40","56","47","-5","11:55","15","0","0","0","0","0"
"9E","12/01/2021","4934","N8968E","DTW","05:25","05:22","63","66","-3","05:56","34","0","0","0","0","0"
"9E","12/01/2021","4935","N8839E","DTW","16:00","15:53","53","44","-7","16:03","10","0","0","0","0","0"
"9E","12/01/2022","4765","N924EV","DTW","05:25","05:20","62","55","-5","05:48","28","0","0","0","0","0"
"9E","12/01/2022","4868","N8933B","DTW","14:03","14:00","51","41","-3","14:11","11","0","0","0","0","0"
"9E","12/02/2021","4810","N8946A","DTW","11:45","11:40","56","46","-5","11:52","12","0","0","0","0","0"
"9E","12/02/2021","4934","N8839E","DTW","05:25","05:20","63","49","-5","05:27","7","0","0","0","0","0"
"9E","12/02/2021","4935","N836AY","DTW","16:00","15:55","53","58","-5","16:07","12","0","0","0","0","0"
"9E","12/02/2022","4765","N835AY","DTW","05:25","05:25","62","50","0","05:41","16","0","0","0","0","0"
"9E","12/02/2022","4868","N391CA","DTW","14:03","13:55","51","42","-8","14:02","7","0","0","0","0","0"
"9E","12/03/2021","4810","N8946A","DTW","11:45","11:40","56","61","-5","11:52","12","0","0","0","0","0"
"9E","12/03/2021","4934","N602XJ","DTW","05:25","05:18","63","49","-7","05:34","16","0","0","0","0","0"
"9E","12/03/2021","4935","N685BR","DTW","16:00","15:56","53","39","-4","16:05","9","0","0","0","0","0"
"9E","12/03/2022","4765","N8932C","DTW","06:30","06:25","64","55","-5","06:50","25","0","0","0","0","0"
"9E","12/03/2022","4868","N135EV","DTW","14:03","13:53","51","48","-10","14:05","12","0","0","0","0","0"
"9E","12/04/2021","4810","N819AY","DTW","13:45","13:41","50","41","-4","13:52","11","0","0","0","0","0"
"9E","12/04/2021","4934","N8968E","DTW","05:25","05:34","63","51","9","05:59","25","0","0","0","0","0"
"9E","12/04/2022","4765","N8970D","DTW","05:25","05:25","62","57","0","05:50","25","0","0","0","0","0"
"9E","12/04/2022","4868","N368CA","DTW","14:03","13:57","51","44","-6","14:05","8","0","0","0","0","0"
"9E","12/05/2021","4810","N8986B","DTW","11:48","11:39","57","55","-9","11:54","15","0","0","0","0","0"
"9E","12/05/2021","4934","N834AY","DTW","05:25","05:16","63","63","-9","05:43","27","0","0","0","0","0"
"9E","12/05/2021","4935","N8847A","DTW","18:30","18:25","50","87","-5","19:07","42","0","0","32","0","0"
"9E","12/05/2022","4765","N8877A","DTW","05:25","05:16","62","42","-9","05:29","13","0","0","0","0","0"
"9E","12/05/2022","4868","N367CA","DTW","14:03","13:53","51","39","-10","14:01","8","0","0","0","0","0"
"9E","12/06/2021","4810","N8986B","DTW","11:48","11:44","57","70","-4","12:22","38","0","0","0","0","0"
"9E","12/06/2021","4934","N8783E","DTW","05:22","05:17","63","60","-5","05:42","25","0","0","0","0","0"
"9E","12/06/2021","4935","N834AY","DTW","18:30","18:22","50","69","-8","18:52","30","0","0","0","0","0"
