Detailed Statistics Departures  
Origin Airport: Saipan, TT: Francisco C. Ada Saipan International (SPN)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0117","N37298","GUM","09:50","09:28","45","54","-22","09:45","17","0","0","0","0","0"
"UA","12/01/2022","0117","N36280","GUM","09:50","09:37","45","44","-13","09:48","11","0","0","0","0","0"
"UA","12/01/2023","0076","N77295","GUM","09:50","09:36","45","38","-14","09:47","11","0","0","0","0","0"
"UA","12/02/2021","0117","N79279","GUM","07:20","07:03","45","45","-17","07:13","10","0","0","0","0","0"
"UA","12/02/2022","0117","N73299","GUM","09:50","09:33","45","41","-17","09:42","9","0","0","0","0","0"
"UA","12/02/2023","0076","N39297","GUM","09:50","09:36","45","40","-14","09:46","10","0","0","0","0","0"
"UA","12/03/2021","0117","N34282","GUM","09:50","09:34","45","45","-16","09:45","11","0","0","0","0","0"
"UA","12/03/2022","0117","N79279","GUM","09:50","09:36","45","39","-14","09:46","10","0","0","0","0","0"
"UA","12/03/2023","0076","N79279","GUM","09:50","09:42","45","38","-8","09:51","9","0","0","0","0","0"
"UA","12/04/2021","0117","N73278","GUM","07:20","07:12","45","39","-8","07:21","9","0","0","0","0","0"
"UA","12/04/2022","0117","N37298","GUM","09:50","09:50","45","43","0","10:01","11","0","0","0","0","0"
"UA","12/04/2023","0076","N73278","GUM","09:50","09:46","45","45","-4","10:00","14","0","0","0","0","0"
"UA","12/05/2021","0117","N37281","GUM","09:50","09:34","45","38","-16","09:43","9","0","0","0","0","0"
