Detailed Statistics Departures  
Origin Airport: Salina, KS: Salina Regional (SLN)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5153","N875AS","ORD","07:49","07:45","121","124","-4","08:09","24","0","0","0","0","0"
"OO","12/01/2021","5165","N967SW","DEN","12:05","11:51","100","83","-14","12:03","12","0","0","0","0","0"
"OO","12/01/2022","5039","N920EV","ORD","11:04","10:54","123","110","-10","11:12","18","0","0","0","0","0"
"OO","12/01/2022","5055","N923SW","HYS","17:08","16:58","50","47","-10","17:12","14","0","0","0","0","0"
"OO","12/01/2023","5024","N953SW","HYS","11:00","10:50","44","43","-10","11:06","16","0","0","0","0","0"
"OO","12/01/2023","5039","N945SW","ORD","15:42","15:32","117","96","-10","15:45","13","0","0","0","0","0"
"OO","12/02/2021","5153","N432SW","ORD","07:49","07:47","121","114","-2","08:03","16","0","0","0","0","0"
"OO","12/02/2021","5165","N930EV","DEN","12:05","18:34","100","86","389","18:54","20","375","0","0","0","0"
"OO","12/02/2022","5039","N928EV","ORD","11:04","10:56","123","105","-8","11:15","19","0","0","0","0","0"
"OO","12/02/2022","5055","N947SW","HYS","17:08","17:00","50","38","-8","17:13","13","0","0","0","0","0"
"OO","12/02/2023","5024","N699BR","HYS","11:00","10:44","44","43","-16","11:00","16","0","0","0","0","0"
"OO","12/02/2023","5039","N961SW","ORD","15:42","15:42","117","114","0","16:13","31","0","0","0","0","0"
"OO","12/03/2021","5153","N869AS","ORD","07:49","08:40","121","90","51","08:49","9","20","0","0","0","0"
"OO","12/03/2021","5165","N944SW","DEN","12:05","11:57","100","81","-8","12:05","8","0","0","0","0","0"
"OO","12/03/2022","5039","N218PS","ORD","11:04","10:51","123","104","-13","11:10","19","0","0","0","0","0"
"OO","12/03/2022","5055","N875AS","HYS","17:08","16:57","50","46","-11","17:13","16","0","0","0","0","0"
"OO","12/03/2023","5024","N487CA","HYS","11:00","10:50","44","40","-10","11:00","10","0","0","0","0","0"
"OO","12/03/2023","5039","N479CA","ORD","15:42","16:11","117","98","29","16:24","13","0","0","0","0","0"
"OO","12/04/2021","5153","N932SW","ORD","07:49","07:37","121","123","-12","08:02","25","0","0","0","0","0"
"OO","12/04/2021","5165","N908SW","DEN","12:05","12:02","100","94","-3","12:28","26","0","0","0","0","0"
"OO","12/04/2022","5039","N218PS","ORD","11:04","11:08","123","95","4","11:19","11","0","0","0","0","0"
"OO","12/04/2022","5055","N875AS","HYS","17:08","17:06","50","37","-2","17:19","13","0","0","0","0","0"
"OO","12/04/2023","5024","N960SW","HYS","11:00","10:46","44","43","-14","11:02","16","0","0","0","0","0"
"OO","12/04/2023","5039","N430SW","ORD","15:42","15:31","117","100","-11","15:39","8","0","0","0","0","0"
"OO","12/05/2021","5153","N943SW","ORD","07:49","07:45","121","103","-4","08:01","16","0","0","0","0","0"
"OO","12/05/2021","5165","N910EV","DEN","12:05","12:02","100","93","-3","12:21","19","0","0","0","0","0"
"OO","12/05/2022","5039","N701BR","ORD","11:04","10:59","123","115","-5","11:16","17","0","0","0","0","0"
"OO","12/05/2022","5055","N906EV","HYS","17:08","16:56","50","30","-12","16:58","2","0","0","0","0","0"
"OO","12/05/2023","5024","N487CA","HYS","11:00","10:54","44","31","-6","10:58","4","0","0","0","0","0"
"OO","12/05/2023","5039","N912EV","ORD","15:42","15:32","117","105","-10","15:38","6","0","0","0","0","0"
"OO","12/06/2021","5153","N957SW","ORD","07:49","07:39","121","124","-10","07:51","12","0","0","0","0","0"
"OO","12/06/2021","5165","N221PS","DEN","12:05","16:47","100","90","282","16:54","7","272","0","0","0","0"
"OO","12/06/2022","5039","N962SW","ORD","11:04","10:54","123","99","-10","11:09","15","0","0","0","0","0"
"OO","12/06/2022","5055","N958SW","HYS","17:08","16:54","50","34","-14","17:00","6","0","0","0","0","0"
"OO","12/06/2023","5024","N457SW","HYS","11:00","10:55","44","45","-5","11:09","14","0","0","0","0","0"
"OO","12/06/2023","5039","N961SW","ORD","15:42","15:31","117","110","-11","15:41","10","0","0","0","0","0"
"OO","12/07/2021","5153","N593ML","ORD","07:49","07:45","121","95","-4","07:54","9","0","0","0","0","0"
