Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0789","N930VA","SEA","11:50","11:39","144","131","-11","11:57","18","0","0","0","0","0"
"AS","12/01/2021","0801","N477AS","SEA","18:30","18:25","135","133","-5","18:43","18","0","0","0","0","0"
"AS","12/01/2022","0241","N929AK","SEA","19:55","20:05","136","130","10","20:31","26","0","0","0","0","0"
"AS","12/01/2022","0801","N564AS","SEA","11:40","00:00","140","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","1165","N952AK","SEA","06:40","08:33","142","150","113","09:14","41","113","0","8","0","0"
"AS","12/01/2023","0626","N474AS","SEA","07:00","06:52","140","148","-8","07:26","34","0","0","0","0","0"
"AS","12/01/2023","0627","N303AS","SEA","20:59","20:45","138","167","-14","21:38","53","0","0","15","0","0"
"AS","12/01/2023","0631","N317AS","SEA","11:25","11:19","140","146","-6","11:50","31","0","0","0","0","0"
"AS","12/01/2023","0707","N570AS","SEA","16:53","16:48","138","135","-5","17:01","13","0","0","0","0","0"
"AS","12/02/2021","0789","N926VA","SEA","11:50","11:43","144","128","-7","12:00","17","0","0","0","0","0"
"AS","12/02/2021","0801","N297AK","SEA","18:30","18:30","135","116","0","18:43","13","0","0","0","0","0"
"AS","12/02/2021","1100","N290AK","SEA","09:00","08:48","144","174","-12","09:31","43","0","0","18","0","0"
"AS","12/02/2021","1498","N270AK","SEA","15:28","15:25","133","129","-3","15:43","18","0","0","0","0","0"
"AS","12/02/2022","0241","N486AS","SEA","19:55","20:42","136","153","47","21:10","28","0","47","17","0","0"
"AS","12/02/2022","0801","N642VA","SEA","11:40","18:03","140","131","383","18:18","15","0","0","0","0","374"
"AS","12/02/2022","1165","N237AK","SEA","06:40","06:50","142","163","10","07:39","49","10","0","21","0","0"
"AS","12/02/2023","0626","N962AK","SEA","07:00","06:50","140","184","-10","07:52","62","0","0","34","0","0"
"AS","12/02/2023","0631","N293AK","SEA","11:25","11:37","140","141","12","11:50","13","0","0","0","0","0"
"AS","12/03/2021","0789","N928VA","SEA","11:50","11:41","144","138","-9","12:11","30","0","0","0","0","0"
"AS","12/03/2021","0801","N527AS","SEA","18:30","18:24","135","129","-6","18:38","14","0","0","0","0","0"
"AS","12/03/2021","1100","N275AK","SEA","09:00","09:02","144","150","2","09:39","37","0","0","0","0","0"
"AS","12/03/2021","1498","N285AK","SEA","15:28","15:15","133","125","-13","15:30","15","0","0","0","0","0"
"AS","12/03/2022","0801","N592AS","SEA","11:40","00:00","140","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2022","1165","N238AK","SEA","06:40","06:32","142","126","-8","06:46","14","0","0","0","0","0"
"AS","12/03/2023","0626","N306AS","SEA","07:00","06:53","140","141","-7","07:10","17","0","0","0","0","0"
"AS","12/03/2023","0627","N457AS","SEA","20:59","20:52","138","143","-7","21:07","15","0","0","0","0","0"
