Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0418","N188US","CLT","06:00","05:57","248","236","-3","06:28","31","0","0","0","0","0"
"AA","12/01/2021","1214","N978UY","DFW","06:00","05:53","170","160","-7","06:22","29","0","0","0","0","0"
"AA","12/01/2021","1452","N657AW","PHX","13:35","13:34","105","104","-1","14:00","26","0","0","0","0","0"
"AA","12/01/2021","1617","N946NN","ORD","12:15","12:13","191","189","-2","12:27","14","0","0","0","0","0"
"AA","12/01/2021","2065","N157UW","DFW","17:47","17:37","162","156","-10","17:53","16","0","0","0","0","0"
"AA","12/01/2021","2066","N957AN","DFW","11:59","12:08","156","150","9","12:22","14","0","0","0","0","0"
"AA","12/01/2021","2195","N929AA","DFW","07:45","07:42","169","164","-3","08:08","26","0","0","0","0","0"
"AA","12/01/2021","2352","N772XF","PHX","17:23","17:37","102","108","14","18:03","26","11","0","6","0","3"
"AA","12/01/2021","2846","N167US","DFW","16:00","15:58","156","156","-2","16:12","14","0","0","0","0","0"
"AA","12/01/2022","0487","N402AN","PHX","17:34","17:26","102","101","-8","17:39","13","0","0","0","0","0"
"AA","12/01/2022","1214","N160AN","DFW","05:55","05:48","155","155","-7","06:03","15","0","0","0","0","0"
"AA","12/01/2022","1453","N180US","CLT","23:59","23:56","232","202","-3","00:07","11","0","0","0","0","0"
"AA","12/01/2022","1456","N136AN","DFW","16:20","16:35","155","148","15","16:48","13","0","0","0","0","0"
"AA","12/01/2022","2065","N162AA","DFW","14:25","14:17","156","145","-8","14:31","14","0","0","0","0","0"
"AA","12/01/2022","2069","N818AW","ORD","11:55","11:52","186","179","-3","12:06","14","0","0","0","0","0"
"AA","12/01/2022","2073","N111US","PHX","11:59","11:59","100","95","0","12:12","13","0","0","0","0","0"
"AA","12/01/2022","2195","N153AN","DFW","07:45","07:43","155","140","-2","07:58","15","0","0","0","0","0"
"AA","12/01/2022","2846","N557UW","DFW","12:10","12:17","154","149","7","12:31","14","0","0","0","0","0"
"AA","12/01/2023","0508","N189UW","CLT","23:59","23:51","227","231","-8","00:29","38","0","0","0","0","0"
"AA","12/01/2023","0644","N134AN","DFW","08:57","08:49","176","169","-8","09:20","31","0","0","0","0","0"
"AA","12/01/2023","1214","N987AM","DFW","05:15","05:07","176","177","-8","05:40","33","0","0","0","0","0"
"AA","12/01/2023","1570","N837AW","PHX","10:41","10:34","99","126","-7","11:11","37","0","0","20","0","0"
"AA","12/01/2023","2065","N182UW","DFW","16:04","15:59","158","169","-5","16:22","23","0","0","0","0","0"
"AA","12/01/2023","2066","N872NN","DFW","11:56","11:55","156","153","-1","12:14","19","0","0","0","0","0"
"AA","12/01/2023","2069","N877NN","ORD","13:33","13:23","183","214","-10","14:03","40","0","0","21","0","0"
"AA","12/01/2023","2195","N928AM","DFW","07:00","06:53","176","143","-7","07:06","13","0","0","0","0","0"
"AA","12/01/2023","2845","N995AN","DFW","14:04","14:00","160","160","-4","14:17","17","0","0","0","0","0"
"AA","12/02/2021","1214","N181UW","DFW","06:00","05:52","170","155","-8","06:11","19","0","0","0","0","0"
"AA","12/02/2021","1452","N836AW","PHX","13:35","13:36","105","97","1","13:52","16","0","0","0","0","0"
"AA","12/02/2021","1617","N885NN","ORD","12:15","12:09","191","177","-6","12:20","11","0","0","0","0","0"
"AA","12/02/2021","2065","N176UW","DFW","17:47","17:38","162","167","-9","17:55","17","0","0","0","0","0"
"AA","12/02/2021","2066","N987AM","DFW","12:04","12:01","157","144","-3","12:15","14","0","0","0","0","0"
"AA","12/02/2021","2076","N524UW","CLT","00:29","00:27","229","213","-2","00:39","12","0","0","0","0","0"
"AA","12/02/2021","2195","N839NN","DFW","07:45","07:44","165","167","-1","08:15","31","0","0","0","0","0"
"AA","12/02/2021","2352","N765US","PHX","17:23","17:34","102","91","11","17:44","10","0","0","0","0","0"
"AA","12/02/2021","2846","N523UW","DFW","16:00","16:28","156","172","28","16:49","21","28","0","16","0","0"
"AA","12/02/2022","0487","N416AN","PHX","17:34","17:29","102","96","-5","17:38","9","0","0","0","0","0"
"AA","12/02/2022","1214","N139AN","DFW","05:55","05:48","155","183","-7","06:38","50","0","0","21","0","0"
"AA","12/02/2022","1453","N197UW","CLT","23:59","23:52","232","217","-7","00:23","31","0","0","0","0","0"
"AA","12/02/2022","1456","N129AA","DFW","16:20","16:26","155","145","6","16:45","19","0","0","0","0","0"
"AA","12/02/2022","2065","N125AA","DFW","14:25","14:35","156","143","10","14:55","20","0","0","0","0","0"
"AA","12/02/2022","2069","N112US","ORD","11:55","11:48","186","178","-7","12:04","16","0","0","0","0","0"
"AA","12/02/2022","2073","N123UW","PHX","11:59","11:54","100","99","-5","12:11","17","0","0","0","0","0"
"AA","12/02/2022","2195","N931AM","DFW","07:45","07:39","155","188","-6","08:39","60","0","0","27","0","0"
"AA","12/02/2022","2846","N568UW","DFW","12:10","13:21","154","139","71","13:34","13","0","0","0","0","56"
"AA","12/02/2023","0508","N179UW","CLT","23:59","23:47","227","211","-12","00:01","14","0","0","0","0","0"
"AA","12/02/2023","0644","N126AN","DFW","08:57","09:16","176","154","19","09:46","30","0","0","0","0","0"
"AA","12/02/2023","1214","N129AA","DFW","05:15","05:09","176","172","-6","05:42","33","0","0","0","0","0"
