Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4186","N239NN","ORD","14:12","14:04","198","186","-8","14:20","16","0","0","0","0","0"
"MQ","12/02/2021","4186","N273NN","ORD","14:12","14:03","198","178","-9","14:16","13","0","0","0","0","0"
"MQ","12/03/2021","4186","N273NN","ORD","14:12","14:03","198","182","-9","14:19","16","0","0","0","0","0"
"MQ","12/05/2021","4186","N209NN","ORD","14:12","13:59","198","172","-13","14:10","11","0","0","0","0","0"
"MQ","12/06/2021","4186","N253NN","ORD","14:12","14:07","198","175","-5","14:19","12","0","0","0","0","0"
"MQ","12/08/2021","4186","N244NN","ORD","14:12","14:17","198","178","5","14:28","11","0","0","0","0","0"
"MQ","12/09/2021","4186","N259NN","ORD","14:12","14:13","198","200","1","14:59","46","0","0","0","0","0"
"MQ","12/10/2021","4186","N300LK","ORD","14:12","14:04","198","183","-8","14:19","15","0","0","0","0","0"
"MQ","12/12/2021","4186","N223NN","ORD","14:12","14:08","198","193","-4","14:20","12","0","0","0","0","0"
"MQ","12/13/2021","4186","N201NN","ORD","14:12","14:09","198","175","-3","14:21","12","0","0","0","0","0"
"MQ","12/15/2021","4186","N251NN","ORD","14:12","14:21","198","227","9","15:10","49","9","0","29","0","0"
"MQ","12/16/2021","3753","N259NN","ORD","11:34","11:38","188","172","4","11:54","16","0","0","0","0","0"
"MQ","12/17/2021","3753","N238NN","ORD","11:34","12:05","188","178","31","12:22","17","19","0","0","0","2"
"MQ","12/17/2023","3697","N300LK","PHX","19:01","18:54","107","94","-7","19:08","14","0","0","0","0","0"
"MQ","12/18/2021","3753","N274NN","ORD","11:34","11:32","188","183","-2","11:45","13","0","0","0","0","0"
"MQ","12/18/2021","4186","N201NN","ORD","13:38","13:34","191","192","-4","13:45","11","0","0","0","0","0"
"MQ","12/19/2021","3753","N241NN","ORD","11:34","11:29","188","188","-5","11:48","19","0","0","0","0","0"
"MQ","12/20/2021","3753","N228NN","ORD","11:34","11:34","188","178","0","11:46","12","0","0","0","0","0"
"MQ","12/20/2023","3898","N225NN","PHX","19:00","18:59","108","108","-1","19:26","27","0","0","0","0","0"
"MQ","12/21/2021","3753","N226NN","ORD","11:34","11:37","188","180","3","11:54","17","0","0","0","0","0"
"MQ","12/21/2023","3898","N205NN","PHX","19:00","19:09","108","127","9","19:17","8","9","0","19","0","0"
"MQ","12/22/2021","3753","N247NN","ORD","11:34","11:30","188","176","-4","11:45","15","0","0","0","0","0"
"MQ","12/22/2023","3898","N450YX","PHX","19:00","19:57","108","136","57","20:34","37","0","57","28","0","0"
"MQ","12/23/2021","3753","N288NN","ORD","11:34","11:42","188","164","8","11:57","15","0","0","0","0","0"
"MQ","12/23/2023","3898","N449YX","PHX","19:00","18:55","108","98","-5","19:13","18","0","0","0","0","0"
"MQ","12/24/2021","3753","N280NN","ORD","11:34","12:03","188","162","29","12:15","12","0","0","0","0","0"
"MQ","12/25/2021","3753","N228NN","ORD","12:34","12:50","191","158","16","13:06","16","0","0","0","0","0"
"MQ","12/25/2022","3613","N217NN","ORD","11:40","11:41","194","176","1","11:55","14","0","0","0","0","0"
"MQ","12/26/2021","3753","N267NN","ORD","11:34","12:13","188","177","39","12:35","22","11","0","0","0","17"
"MQ","12/26/2023","3898","N310JZ","PHX","19:00","18:56","108","112","-4","19:32","36","0","0","0","0","0"
"MQ","12/27/2021","3753","N276NN","ORD","11:34","12:16","188","165","42","12:31","15","1","0","0","0","18"
"MQ","12/27/2023","3898","N304KM","PHX","19:00","18:55","108","121","-5","19:28","33","0","0","0","0","0"
"MQ","12/28/2021","3753","N250NN","ORD","11:34","11:33","188","187","-1","11:51","18","0","0","0","0","0"
"MQ","12/28/2023","3898","N263NN","PHX","19:00","18:52","108","93","-8","19:07","15","0","0","0","0","0"
"MQ","12/29/2021","3753","N250NN","ORD","11:34","11:35","188","172","1","11:51","16","0","0","0","0","0"
"MQ","12/29/2023","3898","N304KM","PHX","19:00","18:52","108","100","-8","19:09","17","0","0","0","0","0"
"MQ","12/30/2021","3753","N253NN","ORD","11:34","12:44","188","170","70","12:59","15","1","0","0","0","51"
"MQ","12/30/2023","3898","N247NN","PHX","19:00","18:56","108","115","-4","19:15","19","0","0","0","0","0"
"MQ","12/31/2021","3753","N217NN","ORD","11:34","11:41","188","164","7","11:55","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
