Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/16/2021","2541","N643QX","PDX","17:35","17:44","124","152","9","18:31","47","2","0","28","0","7"
"QX","12/17/2021","2541","N639QX","PDX","17:35","18:37","124","120","62","18:48","11","0","0","0","0","58"
"QX","12/18/2021","2541","N625QX","PDX","17:35","18:09","124","116","34","18:22","13","0","0","0","0","26"
"QX","12/18/2021","2564","N626QX","LAX","16:50","17:15","125","116","25","17:38","23","0","0","0","0","16"
"QX","12/19/2021","2541","N625QX","PDX","17:35","18:35","124","122","60","18:52","17","0","0","0","0","58"
"QX","12/20/2021","2541","N625QX","PDX","17:35","18:30","124","120","55","18:41","11","7","0","0","0","44"
"QX","12/22/2021","2541","N643QX","PDX","17:35","17:34","124","126","-1","17:45","11","0","0","0","0","0"
"QX","12/23/2021","2541","N646QX","PDX","17:35","17:30","124","119","-5","17:41","11","0","0","0","0","0"
"QX","12/24/2021","2541","N630QX","PDX","17:35","17:36","124","120","1","17:51","15","0","0","0","0","0"
"QX","12/25/2021","2541","N631QX","PDX","17:35","17:43","124","127","8","17:59","16","0","0","0","0","0"
"QX","12/26/2021","2541","N625QX","PDX","17:35","23:37","124","119","362","23:49","12","17","0","0","0","340"
"QX","12/27/2021","2541","N626QX","PDX","17:35","20:44","124","148","189","21:20","36","16","0","24","0","173"
"QX","12/29/2021","2541","N622QX","PDX","17:35","17:53","124","128","18","18:17","24","4","0","4","0","14"
"QX","12/30/2021","2541","N650QX","PDX","17:35","18:28","124","154","53","19:16","48","7","0","30","0","46"
"QX","12/31/2021","2541","N622QX","PDX","17:35","18:41","124","130","66","18:58","17","0","0","6","0","66"

 SOURCE: Bureau of Transportation Statistics
