Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0072","N639JB","JFK","23:48","23:57","251","256","9","00:11","14","0","0","0","0","0"
"B6","12/01/2021","0872","N807JB","JFK","12:20","14:51","256","259","151","15:04","13","0","0","3","0","151"
"B6","12/01/2021","2320","N637JB","FLL","14:39","14:29","261","256","-10","14:43","14","0","0","0","0","0"
"B6","12/01/2022","0072","N663JB","JFK","23:43","00:14","256","231","31","00:25","11","0","0","0","0","0"
"B6","12/01/2022","0802","N510JB","MCO","12:45","13:01","249","246","16","13:14","13","0","0","0","0","0"
"B6","12/01/2022","0872","N547JB","JFK","15:11","15:51","259","253","40","16:04","13","34","0","0","0","0"
"B6","12/01/2022","1731","N661JB","LAX","19:52","19:43","113","119","-9","19:54","11","0","0","0","0","0"
"B6","12/01/2022","2320","N625JB","FLL","23:59","01:25","261","239","86","01:36","11","0","0","0","0","64"
"B6","12/01/2022","2531","N661JB","LAX","09:59","09:47","115","126","-12","10:02","15","0","0","0","0","0"
"B6","12/01/2023","0648","N784JB","BOS","22:49","22:40","266","273","-9","23:16","36","0","0","0","0","0"
"B6","12/01/2023","0802","N585JB","MCO","06:20","06:18","257","244","-2","06:32","14","0","0","0","0","0"
"B6","12/01/2023","0872","N552JB","JFK","15:11","15:07","267","271","-4","15:26","19","0","0","0","0","0"
"B6","12/01/2023","1831","N712JB","LAX","20:25","20:13","123","131","-12","20:46","33","0","0","0","0","0"
"B6","12/01/2023","2320","N793JB","FLL","23:59","23:51","265","292","-8","00:27","36","0","0","19","0","0"
