Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2022","1716","N629NK","LAS","17:50","17:49","80","125","-1","18:09","20","0","0","44","0","0"
"NK","12/01/2022","1789","N694NK","MCO","06:30","06:26","257","248","-4","06:38","12","0","0","0","0","0"
"NK","12/01/2022","3035","N967NK","LAX","12:11","11:59","119","113","-12","12:10","11","0","0","0","0","0"
"NK","12/01/2023","1716","N606NK","LAS","12:20","12:15","81","147","-5","13:36","81","0","0","61","0","0"
"NK","12/01/2023","1789","N967NK","MCO","06:00","05:51","268","277","-9","06:35","44","0","0","0","0","0"
"NK","12/01/2023","3035","N985NK","LAX","18:30","20:50","115","145","140","21:42","52","0","0","30","0","140"
"NK","12/02/2022","1716","N947NK","LAS","17:50","18:28","80","75","38","18:40","12","0","0","0","0","33"
"NK","12/02/2022","1789","N947NK","MCO","06:30","06:49","257","271","19","07:31","42","19","0","14","0","0"
"NK","12/02/2022","3035","N642NK","LAX","12:11","14:14","119","123","123","14:30","16","0","0","4","0","123"
"NK","12/02/2023","1716","N938NK","LAS","15:20","15:20","85","79","0","15:39","19","0","0","0","0","0"
"NK","12/02/2023","1789","N934NK","MCO","06:00","05:57","268","260","-3","06:27","30","0","0","0","0","0"
"NK","12/02/2023","3035","N934NK","LAX","18:30","18:28","115","110","-2","18:41","13","0","0","0","0","0"
"NK","12/03/2022","1716","N908NK","LAS","17:50","19:17","80","80","87","19:28","11","0","0","0","0","87"
"NK","12/03/2022","1789","N908NK","MCO","06:30","07:54","257","264","84","08:27","33","80","0","11","0","0"
"NK","12/03/2022","3035","N958NK","LAX","12:11","12:07","119","120","-4","12:20","13","0","0","0","0","0"
"NK","12/03/2023","1716","N957NK","LAS","15:20","15:33","85","80","13","15:50","17","0","0","0","0","0"
"NK","12/03/2023","1789","N934NK","MCO","06:00","06:00","268","253","0","06:21","21","0","0","0","0","0"
"NK","12/03/2023","3035","N655NK","LAX","18:30","19:07","115","108","37","19:19","12","7","0","1","0","22"
"NK","12/04/2022","1716","N921NK","LAS","17:50","19:03","80","89","73","19:23","20","26","0","9","0","47"
"NK","12/04/2022","1789","N921NK","MCO","06:30","06:20","257","227","-10","06:33","13","0","0","0","0","0"
"NK","12/04/2022","3035","N947NK","LAX","12:11","12:16","119","113","5","12:29","13","0","0","0","0","0"
"NK","12/04/2023","1716","N634NK","LAS","12:27","12:25","95","94","-2","12:55","30","0","0","0","0","0"
"NK","12/04/2023","1789","N925NK","MCO","06:00","05:59","282","246","-1","06:14","15","0","0","0","0","0"
"NK","12/04/2023","3035","N987NK","LAX","18:30","19:02","129","106","32","19:16","14","0","0","0","0","0"
"NK","12/05/2022","1716","N692NK","LAS","17:50","19:04","80","92","74","19:25","21","11","0","12","0","63"
"NK","12/05/2022","1789","N692NK","MCO","06:30","06:27","257","282","-3","06:54","27","0","0","22","0","0"
"NK","12/05/2022","3035","N942NK","LAX","12:11","12:18","119","127","7","12:38","20","0","0","8","0","7"
