Detailed Statistics Departures  
Origin Airport: Salt Lake City, UT: Salt Lake City International (SLC)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1892","N822UA","DEN","15:10","15:08","89","85","-2","15:25","17","0","0","0","0","0"
"UA","12/01/2021","2037","N449UA","DEN","07:15","07:15","90","92","0","07:46","31","0","0","0","0","0"
"UA","12/01/2021","2046","N17752","ORD","12:30","12:25","174","179","-5","12:38","13","0","0","0","0","0"
"UA","12/01/2022","0656","N26232","ORD","12:41","12:39","189","166","-2","12:53","14","0","0","0","0","0"
"UA","12/01/2022","1100","N77258","DEN","14:42","14:43","96","77","1","14:57","14","0","0","0","0","0"
"UA","12/01/2022","1850","N27263","IAH","13:13","13:02","174","158","-11","13:16","14","0","0","0","0","0"
"UA","12/01/2022","1914","N457UA","EWR","23:37","00:49","264","235","72","01:04","15","7","0","0","0","36"
"UA","12/01/2022","2199","N458UA","DEN","18:05","18:36","94","71","31","18:49","13","0","0","0","0","0"
"UA","12/01/2023","1549","N414UA","DEN","18:02","17:59","93","78","-3","18:11","12","0","0","0","0","0"
"UA","12/01/2023","1583","N17719","EWR","23:15","23:15","268","257","0","23:55","40","0","0","0","0","0"
"UA","12/01/2023","1599","N26215","DEN","07:00","06:59","99","120","-1","07:50","51","0","0","20","0","0"
"UA","12/01/2023","1790","N75436","DEN","14:45","14:59","93","82","14","15:12","13","0","0","0","0","0"
"UA","12/01/2023","2042","N493UA","ORD","08:45","08:43","195","208","-2","09:27","44","0","0","0","0","0"
"UA","12/01/2023","2177","N68801","ORD","12:45","12:45","190","213","0","13:39","54","0","0","23","0","0"
"UA","12/01/2023","2321","N443UA","IAH","07:00","06:58","185","202","-2","07:46","48","0","0","15","0","0"
"UA","12/01/2023","2640","N853UA","SFO","20:25","20:12","133","169","-13","21:20","68","0","0","23","0","0"
"UA","12/02/2021","1892","N833UA","DEN","15:10","15:08","89","79","-2","15:23","15","0","0","0","0","0"
"UA","12/02/2021","2037","N406UA","DEN","07:15","07:16","90","102","1","07:54","38","0","0","0","0","0"
"UA","12/02/2021","2046","N38727","ORD","12:30","12:25","174","172","-5","12:38","13","0","0","0","0","0"
"UA","12/02/2022","0656","N18223","ORD","12:41","12:56","189","161","15","13:08","12","0","0","0","0","0"
"UA","12/02/2022","1100","N37263","DEN","14:42","14:41","96","80","-1","15:01","20","0","0","0","0","0"
