Detailed Statistics Departures  
Origin Airport: San Angelo, TX: San Angelo Regional/Mathis Field (SJT)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3185","N732SK","DFW","16:33","16:35","62","71","2","16:49","14","0","0","0","0","0"
"OO","12/01/2022","3046","N753EV","DFW","10:22","10:37","69","68","15","10:52","15","0","0","0","0","0"
"OO","12/01/2022","3216","N756SK","DFW","06:10","06:01","69","62","-9","06:17","16","0","0","0","0","0"
"OO","12/01/2022","4889","N724EV","DFW","18:42","18:32","69","88","-10","18:57","25","0","0","0","0","0"
"OO","12/02/2021","3078","N713EV","DFW","06:16","06:14","60","90","-2","06:51","37","28","0","0","0","0"
"OO","12/02/2021","3185","N754SK","DFW","16:33","16:39","62","77","6","17:02","23","21","0","0","0","0"
"OO","12/02/2022","3046","N656CA","DFW","10:22","10:15","69","76","-7","10:27","12","0","0","0","0","0"
"OO","12/02/2022","3216","N656CA","DFW","06:10","06:00","69","75","-10","06:17","17","0","0","0","0","0"
"OO","12/02/2022","4889","N716SK","DFW","18:42","18:33","69","74","-9","18:44","11","0","0","0","0","0"
"OO","12/02/2023","3264","N753EV","DFW","18:32","19:26","78","85","54","19:37","11","54","0","7","0","0"
"OO","12/03/2021","3078","N718EV","DFW","06:16","06:11","60","79","-5","06:30","19","0","0","0","0","0"
"OO","12/03/2021","3185","N728SK","DFW","16:33","16:28","62","65","-5","16:39","11","0","0","0","0","0"
"OO","12/03/2022","3046","N719SK","DFW","10:22","10:12","69","74","-10","10:30","18","0","0","0","0","0"
"OO","12/03/2022","3216","N720EV","DFW","06:10","06:02","69","68","-8","06:15","13","0","0","0","0","0"
"OO","12/03/2022","4889","N708SK","DFW","18:42","18:37","69","70","-5","18:50","13","0","0","0","0","0"
"OO","12/04/2021","3078","N762SK","DFW","06:16","06:07","60","66","-9","06:23","16","0","0","0","0","0"
"OO","12/04/2021","3185","N763SK","DFW","16:33","16:36","62","62","3","16:45","9","0","0","0","0","0"
"OO","12/04/2022","3046","N758SK","DFW","10:22","10:19","69","65","-3","10:28","9","0","0","0","0","0"
"OO","12/04/2022","3216","N611SK","DFW","06:10","06:00","69","62","-10","06:13","13","0","0","0","0","0"
"OO","12/04/2022","4889","N720EV","DFW","18:42","18:35","69","79","-7","18:46","11","0","0","0","0","0"
"OO","12/05/2021","3185","N718EV","DFW","16:33","16:31","62","71","-2","16:46","15","0","0","0","0","0"
"OO","12/05/2022","3046","N728SK","DFW","10:22","10:12","69","62","-10","10:22","10","0","0","0","0","0"
"OO","12/05/2022","3216","N614SK","DFW","06:10","06:00","69","57","-10","06:10","10","0","0","0","0","0"
"OO","12/05/2022","4889","N741EV","DFW","18:42","18:37","69","71","-5","18:54","17","0","0","0","0","0"
"OO","12/06/2021","3078","N722EV","DFW","06:16","06:38","60","66","22","06:52","14","28","0","0","0","0"
"OO","12/06/2021","3185","N763SK","DFW","16:33","16:25","62","61","-8","16:34","9","0","0","0","0","0"
"OO","12/06/2022","3046","N716SK","DFW","10:22","10:15","69","71","-7","10:32","17","0","0","0","0","0"
"OO","12/06/2022","3216","N656CA","DFW","06:10","06:04","69","77","-6","06:29","25","0","0","0","0","0"
"OO","12/06/2022","4889","N705SK","DFW","18:42","18:28","69","70","-14","18:41","13","0","0","0","0","0"
"OO","12/07/2021","3185","N631SK","DFW","16:33","16:29","62","66","-4","16:46","17","0","0","0","0","0"
"OO","12/07/2022","3046","N710EV","DFW","10:22","10:12","69","78","-10","10:36","24","0","0","0","0","0"
"OO","12/07/2022","3216","N774SK","DFW","06:10","06:02","69","60","-8","06:16","14","0","0","0","0","0"
"OO","12/07/2022","4889","N604SK","DFW","18:42","18:34","69","100","-8","19:03","29","23","0","0","0","0"
"OO","12/08/2021","3185","N740EV","DFW","16:33","16:28","62","69","-5","16:47","19","0","0","0","0","0"
"OO","12/08/2022","3046","N750EV","DFW","10:22","10:11","69","66","-11","10:21","10","0","0","0","0","0"
"OO","12/08/2022","3216","N776SK","DFW","06:10","06:00","69","74","-10","06:24","24","0","0","0","0","0"
"OO","12/08/2022","4889","N726SK","DFW","18:42","18:45","69","73","3","19:05","20","0","0","0","0","0"
"OO","12/09/2021","3078","N750EV","DFW","06:16","06:17","60","63","1","06:28","11","0","0","0","0","0"
"OO","12/09/2021","3185","N722EV","DFW","16:33","16:32","62","57","-1","16:37","5","0","0","0","0","0"
"OO","12/09/2022","3046","N740SK","DFW","10:22","10:50","69","59","28","11:03","13","0","0","0","0","18"
"OO","12/09/2022","3216","N740SK","DFW","06:10","06:04","69","73","-6","06:24","20","0","0","0","0","0"
"OO","12/09/2022","4889","N707EV","DFW","18:42","18:36","69","65","-6","18:53","17","0","0","0","0","0"
"OO","12/10/2021","3078","N732SK","DFW","06:16","06:03","60","64","-13","06:14","11","0","0","0","0","0"
"OO","12/10/2021","3185","N611SK","DFW","16:33","17:04","62","66","31","17:22","18","0","0","0","0","35"
"OO","12/10/2022","3046","N707EV","DFW","10:22","10:12","69","68","-10","10:27","15","0","0","0","0","0"
"OO","12/10/2022","3216","N702SK","DFW","06:10","06:05","69","64","-5","06:19","14","0","0","0","0","0"
"OO","12/10/2022","4889","N728SK","DFW","18:42","00:00","69","0","0","00:00","0","0","0","0","0","0"
"OO","12/11/2021","3078","N722EV","DFW","06:16","06:15","60","63","-1","06:29","14","0","0","0","0","0"
"OO","12/11/2021","3185","N740SK","DFW","16:33","16:21","62","62","-12","16:31","10","0","0","0","0","0"
"OO","12/11/2022","3046","N771SK","DFW","10:22","10:27","69","64","5","10:37","10","0","0","0","0","0"
"OO","12/11/2022","3216","N715SK","DFW","06:10","06:03","69","57","-7","06:16","13","0","0","0","0","0"
"OO","12/11/2022","4889","N748EV","DFW","18:42","18:32","69","79","-10","18:54","22","0","0","0","0","0"
"OO","12/12/2021","3185","N708EV","DFW","16:33","16:26","62","63","-7","16:37","11","0","0","0","0","0"
"OO","12/12/2022","3046","N740SK","DFW","10:22","10:16","69","61","-6","10:23","7","0","0","0","0","0"
"OO","12/12/2022","3216","N709SK","DFW","06:10","06:04","69","65","-6","06:18","14","0","0","0","0","0"
"OO","12/12/2022","4889","N748EV","DFW","18:42","18:45","69","79","3","19:03","18","0","0","0","0","0"
"OO","12/13/2021","3078","N745SK","DFW","06:16","06:05","60","69","-11","06:22","17","0","0","0","0","0"
"OO","12/13/2021","3185","N717EV","DFW","16:33","16:24","62","71","-9","16:36","12","0","0","0","0","0"
"OO","12/13/2022","3046","N751SK","DFW","10:22","14:00","69","81","218","14:23","23","0","0","0","0","230"
"OO","12/13/2022","3216","N707SK","DFW","06:10","05:51","69","69","-19","06:08","17","0","0","0","0","0"
"OO","12/13/2022","4889","N755SK","DFW","18:42","19:48","69","56","66","19:57","9","0","0","0","0","53"
"OO","12/14/2021","3185","N631SK","DFW","16:33","17:33","62","61","60","17:47","14","0","0","0","0","59"
"OO","12/14/2022","3046","N740SK","DFW","10:22","10:31","69","74","9","10:47","16","0","0","0","0","0"
"OO","12/14/2022","3216","N745SK","DFW","06:10","06:14","69","58","4","06:26","12","0","0","0","0","0"
"OO","12/14/2022","4889","N715SK","DFW","18:42","19:31","69","63","49","19:44","13","43","0","0","0","0"
"OO","12/15/2021","3185","N748EV","DFW","16:33","16:35","62","74","2","16:49","14","0","0","0","0","0"
"OO","12/15/2022","3216","N709SK","DFW","06:10","07:57","70","83","107","08:23","26","120","0","0","0","0"
"OO","12/15/2022","4889","N772SK","DFW","18:35","18:25","69","62","-10","18:32","7","0","0","0","0","0"
"OO","12/16/2021","3078","N614SK","DFW","06:27","06:16","73","65","-11","06:30","14","0","0","0","0","0"
"OO","12/16/2021","3092","N632SK","DFW","20:23","20:17","74","88","-6","20:38","21","0","0","0","0","0"
"OO","12/16/2022","4889","N745SK","DFW","18:35","18:54","69","56","19","19:05","11","0","0","0","0","0"
"OO","12/17/2021","3078","N730SK","DFW","06:27","06:17","73","61","-10","06:28","11","0","0","0","0","0"
"OO","12/17/2021","3092","N632SK","DFW","20:23","20:13","74","90","-10","20:28","15","0","0","0","0","0"
"OO","12/17/2022","4889","N766SK","DFW","18:35","18:24","69","69","-11","18:40","16","0","0","0","0","0"
