Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","0008","307NV","LAS","11:37","11:26","171","178","-11","11:35","9","0","0","0","0","0"
"G4","12/03/2021","0216","309NV","LAS","12:25","12:19","173","159","-6","12:28","9","0","0","0","0","0"
"G4","12/04/2022","0008","301NV","LAS","14:06","14:00","171","215","-6","14:49","49","0","0","38","0","0"
"G4","12/06/2021","0138","301NV","LAS","12:25","12:23","173","159","-2","12:32","9","0","0","0","0","0"
"G4","12/08/2022","0008","302NV","LAS","11:40","11:57","171","174","17","12:07","10","0","0","3","0","17"
"G4","12/10/2021","0216","316NV","LAS","12:25","12:26","173","187","1","12:39","13","1","0","14","0","0"
"G4","12/11/2022","0008","313NV","LAS","21:53","21:58","171","176","5","22:06","8","0","0","0","0","0"
"G4","12/13/2021","0138","333NV","LAS","12:25","12:37","173","161","12","12:45","8","0","0","0","0","0"
"G4","12/16/2021","0137","324NV","LAS","17:13","17:04","173","178","-9","17:16","12","0","0","0","0","0"
"G4","12/16/2022","0008","328NV","LAS","18:33","18:40","173","167","7","18:50","10","0","0","0","0","0"
"G4","12/19/2022","0008","202NV","LAS","22:28","23:29","173","174","61","23:38","9","0","0","6","0","56"
"G4","12/20/2021","0149","319NV","LAS","21:54","22:00","173","166","6","22:09","9","0","0","0","0","0"
"G4","12/22/2022","0008","329NV","LAS","14:37","14:49","173","168","12","14:56","7","0","0","0","0","0"
"G4","12/23/2021","0141","250NV","LAS","15:43","15:33","173","176","-10","15:46","13","0","0","0","0","0"
"G4","12/26/2022","0008","328NV","LAS","22:23","23:11","173","161","48","23:19","8","0","0","3","0","33"
"G4","12/27/2021","0137","280NV","LAS","22:37","01:37","173","181","180","01:58","21","32","0","8","0","148"
"G4","12/29/2021","0149","316NV","LAS","13:20","14:16","173","182","56","14:35","19","0","0","9","0","56"
"G4","12/29/2022","0008","328NV","LAS","22:12","22:37","173","161","25","22:46","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
