Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0855","N366NB","LAX","06:00","05:56","189","178","-4","06:06","10","0","0","0","0","0"
"DL","12/01/2021","0947","N355NB","LAX","15:15","15:10","191","192","-5","15:19","9","0","0","0","0","0"
"DL","12/01/2021","1214","N320DN","ATL","13:43","13:45","133","126","2","13:57","12","0","0","0","0","0"
"DL","12/01/2021","1257","N121DU","SLC","12:19","12:09","171","172","-10","12:26","17","0","0","0","0","0"
"DL","12/01/2021","1426","N311DN","ATL","18:23","18:19","135","123","-4","18:27","8","0","0","0","0","0"
"DL","12/01/2021","1593","N306DN","ATL","07:07","07:02","138","130","-5","07:12","10","0","0","0","0","0"
"DL","12/01/2021","2114","N371NB","DTW","05:34","05:29","175","163","-5","05:39","10","0","0","0","0","0"
"DL","12/01/2021","2239","N363NB","MSP","06:40","06:38","168","176","-2","06:49","11","0","0","0","0","0"
"DL","12/01/2021","2556","N133DU","SLC","08:30","08:25","173","176","-5","08:34","9","0","0","0","0","0"
"DL","12/01/2021","2687","N366NB","MSP","14:05","13:58","167","163","-7","14:07","9","0","0","0","0","0"
"DL","12/01/2021","2785","N118DY","ATL","05:38","05:28","136","126","-10","05:40","12","0","0","0","0","0"
"DL","12/01/2021","2815","N383DZ","ATL","16:38","16:31","135","127","-7","16:43","12","0","0","0","0","0"
"DL","12/01/2021","2976","N308DN","ATL","10:52","10:49","133","122","-3","11:01","12","0","0","0","0","0"
"DL","12/01/2021","2985","N133DU","DTW","15:00","16:02","179","191","62","16:12","10","0","0","12","0","62"
"DL","12/01/2022","0536","N102DN","ATL","18:40","18:48","133","120","8","18:58","10","0","0","0","0","0"
"DL","12/01/2022","0708","N308DU","LAX","15:24","15:33","191","208","9","15:54","21","0","0","26","0","0"
"DL","12/01/2022","0795","N122DU","MSP","14:35","14:42","165","161","7","14:57","15","0","0","0","0","0"
"DL","12/01/2022","0855","N305DU","LAX","06:00","05:56","191","199","-4","06:08","12","0","0","0","0","0"
"DL","12/01/2022","1107","N144DU","SLC","19:13","18:59","177","180","-14","19:11","12","0","0","0","0","0"
"DL","12/01/2022","1157","N319DN","ATL","16:48","16:47","137","126","-1","16:55","8","0","0","0","0","0"
"DL","12/01/2022","1257","N358NB","SLC","12:22","12:52","180","175","30","13:05","13","0","0","0","0","25"
"DL","12/01/2022","1593","N111DC","ATL","07:05","07:04","137","139","-1","07:15","11","0","0","0","0","0"
"DL","12/01/2022","1686","N358DN","ATL","11:02","10:59","134","121","-3","11:08","9","0","0","0","0","0"
"DL","12/01/2022","2062","N343NW","MSP","06:25","06:17","166","168","-8","06:26","9","0","0","0","0","0"
"DL","12/01/2022","2107","N312US","ATL","13:41","13:43","133","128","2","13:58","15","0","0","0","0","0"
"DL","12/01/2022","2114","N351NW","DTW","05:20","05:18","179","161","-2","05:27","9","0","0","0","0","0"
"DL","12/01/2022","2115","N343DN","ATL","05:25","05:22","137","124","-3","05:32","10","0","0","0","0","0"
