Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4174","N236NN","ORD","16:20","16:17","178","183","-3","16:30","13","0","0","0","0","0"
"MQ","12/01/2023","3742","N208AN","MIA","16:57","17:10","164","168","13","17:22","12","3","0","4","0","10"
"MQ","12/01/2023","4089","N304KM","DFW","19:22","19:12","75","61","-10","19:30","18","0","0","0","0","0"
"MQ","12/02/2021","4174","N277NN","ORD","16:20","16:15","178","179","-5","16:25","10","0","0","0","0","0"
"MQ","12/02/2023","3742","N287NN","MIA","16:57","16:50","164","150","-7","17:02","12","0","0","0","0","0"
"MQ","12/02/2023","4089","N203NN","DFW","19:22","19:26","75","61","4","19:38","12","0","0","0","0","0"
"MQ","12/03/2021","4174","N223NN","ORD","16:20","16:17","178","163","-3","16:30","13","0","0","0","0","0"
"MQ","12/03/2023","3742","N245NN","MIA","16:57","17:27","164","173","30","17:44","17","30","0","9","0","0"
"MQ","12/03/2023","4089","N247NN","DFW","19:22","19:19","75","69","-3","19:35","16","0","0","0","0","0"
"MQ","12/04/2023","3742","N220NN","MIA","16:57","16:55","164","153","-2","17:06","11","0","0","0","0","0"
"MQ","12/04/2023","4089","N271NN","DFW","19:22","19:10","75","58","-12","19:22","12","0","0","0","0","0"
"MQ","12/05/2021","4174","N223NN","ORD","16:20","16:30","178","175","10","16:44","14","0","0","0","0","0"
"MQ","12/05/2023","3369","N264NN","MIA","11:28","11:34","163","168","6","11:47","13","0","0","0","0","0"
"MQ","12/05/2023","3882","N232NN","DFW","18:35","18:32","75","96","-3","19:11","39","0","0","18","0","0"
"MQ","12/05/2023","3885","N235NN","DFW","10:36","10:36","75","68","0","10:54","18","0","0","0","0","0"
"MQ","12/06/2021","4174","N232NN","ORD","16:20","16:14","178","168","-6","16:28","14","0","0","0","0","0"
"MQ","12/06/2023","3369","N238NN","MIA","11:28","11:27","163","160","-1","11:37","10","0","0","0","0","0"
"MQ","12/06/2023","3882","N250NN","DFW","18:35","18:34","75","67","-1","18:46","12","0","0","0","0","0"
"MQ","12/06/2023","3885","N203NN","DFW","10:36","10:34","75","69","-2","10:49","15","0","0","0","0","0"
"MQ","12/07/2023","3369","N223NN","MIA","11:28","13:06","163","153","98","13:20","14","88","0","0","0","0"
"MQ","12/08/2021","4174","N243NN","ORD","16:20","16:15","178","176","-5","16:31","16","0","0","0","0","0"
"MQ","12/08/2023","3369","N203NN","MIA","11:28","11:23","163","157","-5","11:40","17","0","0","0","0","0"
"MQ","12/09/2021","4174","N205NN","ORD","16:20","16:23","178","178","3","16:35","12","0","0","0","0","0"
"MQ","12/09/2023","3369","N213NN","MIA","13:00","12:58","163","157","-2","13:12","14","0","0","0","0","0"
"MQ","12/09/2023","3885","N262NN","DFW","10:29","10:20","75","67","-9","10:34","14","0","0","0","0","0"
"MQ","12/10/2021","4174","N249NN","ORD","16:20","16:12","178","146","-8","16:22","10","0","0","0","0","0"
"MQ","12/10/2023","3369","N217NN","MIA","11:28","12:44","163","191","76","13:11","27","24","0","28","0","52"
"MQ","12/11/2023","3369","N216NN","MIA","11:28","11:49","163","151","21","12:03","14","0","0","0","0","0"
"MQ","12/12/2021","4174","N272NN","ORD","16:20","16:14","178","172","-6","16:24","10","0","0","0","0","0"
"MQ","12/12/2023","3369","N265NN","MIA","11:28","11:20","163","176","-8","11:33","13","0","0","0","0","0"
"MQ","12/12/2023","3882","N238NN","DFW","18:35","18:29","75","90","-6","19:07","38","0","0","0","0","0"
"MQ","12/12/2023","3885","N306DD","DFW","10:36","10:28","75","60","-8","10:38","10","0","0","0","0","0"
"MQ","12/13/2021","4174","N290NN","ORD","16:20","16:11","178","154","-9","16:18","7","0","0","0","0","0"
"MQ","12/13/2023","3369","N208AN","MIA","11:28","12:16","163","159","48","12:30","14","44","0","0","0","0"
"MQ","12/13/2023","3882","N230NN","DFW","18:35","18:24","75","72","-11","18:35","11","0","0","0","0","0"
