Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","1198","N702FR","MCO","20:11","20:03","164","152","-8","20:20","17","0","0","0","0","0"
"F9","12/01/2021","2065","N705FR","LAS","11:34","11:39","183","157","5","11:51","12","0","0","0","0","0"
"F9","12/01/2022","0991","N376FR","DEN","10:05","10:04","140","128","-1","10:11","7","0","0","0","0","0"
"F9","12/01/2022","1198","N317FR","MCO","17:26","17:28","165","155","2","17:45","17","0","0","0","0","0"
"F9","12/01/2022","1518","N390FR","ATL","12:16","12:16","137","127","0","12:28","12","0","0","0","0","0"
"F9","12/01/2022","2075","N386FR","LAS","21:31","22:25","184","189","54","22:43","18","1","0","18","0","40"
"F9","12/01/2023","3711","N366FR","LAS","15:20","15:15","186","167","-5","15:23","8","0","0","0","0","0"
"F9","12/02/2021","2075","N721FR","LAS","22:04","12:02","188","165","838","12:11","9","99","0","0","0","716"
"F9","12/02/2022","1198","N216FR","MCO","19:17","19:17","162","151","0","19:34","17","0","0","0","0","0"
"F9","12/02/2022","2075","N704FR","LAS","21:56","23:02","184","181","66","23:21","19","0","0","0","0","63"
"F9","12/02/2023","3417","N322FR","LAS","15:20","15:13","186","183","-7","15:30","17","0","0","0","0","0"
"F9","12/03/2021","0993","N373FR","DEN","21:04","21:14","143","138","10","21:34","20","0","0","0","0","0"
"F9","12/03/2021","1198","N381FR","MCO","19:52","20:48","160","161","56","21:08","20","23","0","1","0","33"
"F9","12/03/2021","2065","N705FR","LAS","11:34","13:06","183","173","92","13:19","13","2","0","80","0","0"
"F9","12/03/2022","1200","N384FR","MCO","10:54","10:47","160","157","-7","11:01","14","0","0","0","0","0"
"F9","12/03/2023","1654","N344FR","MCO","12:06","11:59","163","152","-7","12:21","22","0","0","0","0","0"
"F9","12/03/2023","2355","N309FR","DEN","14:18","14:16","141","158","-2","14:28","12","0","0","15","0","0"
"F9","12/03/2023","4810","","ATL","17:30","00:00","135","0","0","00:00","0","0","0","0","0","0"
"F9","12/04/2021","0991","N358FR","DEN","17:32","17:30","145","133","-2","17:40","10","0","0","0","0","0"
"F9","12/04/2021","1198","N715FR","MCO","20:11","19:54","164","149","-17","20:06","12","0","0","0","0","0"
"F9","12/04/2022","0991","N722FR","DEN","10:02","09:56","140","134","-6","10:07","11","0","0","0","0","0"
"F9","12/04/2022","1198","N323FR","MCO","17:37","17:27","165","152","-10","17:44","17","0","0","0","0","0"
"F9","12/04/2022","1518","N371FR","ATL","12:17","12:12","137","132","-5","12:24","12","0","0","0","0","0"
"F9","12/04/2022","2075","N233FR","LAS","21:30","03:02","184","181","332","03:18","16","0","0","0","0","329"
"F9","12/04/2023","3711","N611FR","LAS","20:52","21:02","186","164","10","21:13","11","0","0","0","0","0"
"F9","12/05/2021","2075","N301FR","LAS","21:29","21:46","185","174","17","21:59","13","0","0","0","0","0"
"F9","12/05/2022","1198","N358FR","MCO","11:09","12:19","162","143","70","12:29","10","0","0","0","0","51"
"F9","12/05/2022","2075","N704FR","LAS","21:56","23:38","184","169","102","23:50","12","0","0","0","0","87"
"F9","12/05/2023","1654","N711FR","MCO","13:03","12:59","164","147","-4","13:06","7","0","0","0","0","0"
"F9","12/05/2023","2355","N310FR","DEN","14:19","14:10","141","136","-9","14:25","15","0","0","0","0","0"
"F9","12/05/2023","4810","N614FR","ATL","17:45","17:35","135","143","-10","17:55","20","0","0","0","0","0"
"F9","12/06/2021","0991","N349FR","DEN","14:07","14:04","143","131","-3","14:15","11","0","0","0","0","0"
"F9","12/06/2021","1198","N339FR","MCO","20:07","20:03","164","170","-4","20:14","11","0","0","0","0","0"
"F9","12/06/2021","2077","N348FR","LAS","18:51","18:55","184","171","4","19:06","11","0","0","0","0","0"
"F9","12/06/2022","0991","N356FR","DEN","10:05","10:01","140","135","-4","10:18","17","0","0","0","0","0"
"F9","12/06/2022","1200","N383FR","MCO","17:37","01:00","165","149","443","01:20","20","427","0","0","0","0"
"F9","12/06/2022","1518","N390FR","ATL","12:19","12:11","137","164","-8","12:26","15","0","0","19","0","0"
"F9","12/07/2022","1198","N370FR","MCO","11:57","12:33","162","153","36","12:49","16","10","0","0","0","17"
"F9","12/07/2022","2077","N331FR","LAS","16:32","16:43","186","182","11","17:02","19","0","0","0","0","0"
"F9","12/07/2023","1654","N620FR","MCO","12:03","12:01","163","160","-2","12:24","23","0","0","0","0","0"
