Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","1826","N588JB","JFK","13:53","13:50","217","218","-3","14:06","16","0","0","0","0","0"
"B6","12/01/2022","1566","N3112J","BOS","13:04","12:57","238","225","-7","13:07","10","0","0","0","0","0"
"B6","12/01/2022","1826","N612JB","JFK","15:10","15:04","230","218","-6","15:15","11","0","0","0","0","0"
"B6","12/01/2023","1566","N3121J","BOS","18:33","18:45","233","210","12","18:55","10","0","0","0","0","0"
"B6","12/01/2023","1826","N3115J","JFK","17:28","17:30","230","204","2","17:43","13","0","0","0","0","0"
"B6","12/02/2021","1566","N3058J","BOS","15:00","15:02","231","237","2","15:16","14","0","0","0","0","0"
"B6","12/02/2021","1826","N712JB","JFK","13:53","14:07","217","258","14","14:21","14","14","0","41","0","0"
"B6","12/02/2022","1566","N3023J","BOS","13:04","12:54","238","239","-10","13:09","15","0","0","0","0","0"
"B6","12/02/2022","1826","N594JB","JFK","15:10","15:00","230","219","-10","15:10","10","0","0","0","0","0"
"B6","12/02/2023","1566","N3132J","BOS","19:00","20:47","233","193","107","20:59","12","4","0","0","0","63"
"B6","12/02/2023","1826","N3138J","JFK","17:28","09:32","230","196","964","09:42","10","930","0","0","0","0"
"B6","12/03/2021","1566","N3062J","BOS","15:00","14:52","231","233","-8","15:07","15","0","0","0","0","0"
"B6","12/03/2021","1826","N556JB","JFK","13:53","14:02","217","226","9","14:15","13","9","0","9","0","0"
"B6","12/03/2022","1566","N3044J","BOS","13:04","12:55","238","216","-9","13:06","11","0","0","0","0","0"
"B6","12/03/2022","1826","N763JB","JFK","15:10","15:17","230","211","7","15:26","9","0","0","0","0","0"
