Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2022","3567","N742YX","ORD","17:25","17:19","180","162","-6","17:33","14","0","0","0","0","0"
"YX","12/02/2022","3567","N742YX","ORD","17:25","17:21","180","161","-4","17:35","14","0","0","0","0","0"
"YX","12/03/2022","3567","N722YX","ORD","17:25","17:23","180","162","-2","17:35","12","0","0","0","0","0"
"YX","12/03/2022","3695","N733YX","EWR","12:57","12:55","224","219","-2","13:11","16","0","0","0","0","0"
"YX","12/04/2022","3567","N722YX","ORD","17:25","17:15","180","165","-10","17:32","17","0","0","0","0","0"
"YX","12/05/2022","3567","N742YX","ORD","17:25","17:15","180","165","-10","17:27","12","0","0","0","0","0"
"YX","12/06/2022","3567","N742YX","ORD","17:25","17:24","180","148","-1","17:37","13","0","0","0","0","0"
"YX","12/07/2022","3567","N742YX","ORD","17:25","17:22","180","165","-3","17:37","15","0","0","0","0","0"
"YX","12/08/2022","3567","N742YX","ORD","17:25","17:18","180","153","-7","17:32","14","0","0","0","0","0"
"YX","12/09/2022","3567","N742YX","ORD","17:25","17:24","180","154","-1","17:41","17","0","0","0","0","0"
"YX","12/10/2022","3567","N746YX","ORD","17:25","23:33","180","164","368","23:55","22","12","0","0","0","340"
"YX","12/10/2022","3695","N747YX","EWR","12:57","12:53","224","211","-4","13:08","15","0","0","0","0","0"
"YX","12/11/2022","3567","N746YX","ORD","17:25","17:15","180","157","-10","17:25","10","0","0","0","0","0"
"YX","12/12/2022","3567","N746YX","ORD","17:25","17:19","180","162","-6","17:39","20","0","0","0","0","0"
"YX","12/13/2022","3567","N746YX","ORD","17:25","17:23","180","146","-2","17:38","15","0","0","0","0","0"
"YX","12/14/2022","3567","N638RW","ORD","17:25","17:22","180","153","-3","17:40","18","0","0","0","0","0"
"YX","12/17/2022","3501","N722YX","EWR","12:53","12:55","238","212","2","13:07","12","0","0","0","0","0"
"YX","12/24/2022","3501","N650RW","EWR","12:53","14:42","238","241","109","14:59","17","7","0","3","0","102"
"YX","12/31/2022","3501","N645RW","EWR","12:53","15:10","238","227","137","15:33","23","0","0","126","0","0"

 SOURCE: Bureau of Transportation Statistics
