Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3043","N374CA","LAX","18:29","18:26","199","181","-3","18:41","15","0","0","0","0","0"
"OO","12/01/2021","3919","N260SY","SLC","19:10","18:59","185","165","-11","19:15","16","0","0","0","0","0"
"OO","12/01/2021","5281","N154SY","SFO","07:30","07:26","257","216","-4","07:43","17","0","0","0","0","0"
"OO","12/01/2021","5447","N117SY","ORD","14:00","13:59","177","176","-1","14:11","12","0","0","0","0","0"
"OO","12/01/2021","6334","N507SY","LAX","06:12","06:09","198","178","-3","06:20","11","0","0","0","0","0"
"OO","12/01/2023","4887","N517SY","LAX","16:01","15:59","206","199","-2","16:12","13","0","0","0","0","0"
"OO","12/01/2023","5227","N121SY","IAH","12:20","13:16","71","64","56","13:35","19","49","0","0","0","0"
"OO","12/02/2021","3059","N738SK","LAX","18:29","18:45","199","175","16","18:56","11","0","0","0","0","0"
"OO","12/02/2021","3919","N251SY","SLC","19:10","19:00","185","167","-10","19:15","15","0","0","0","0","0"
"OO","12/02/2021","5281","N161SY","SFO","07:30","07:30","257","197","0","07:40","10","0","0","0","0","0"
"OO","12/02/2021","5447","N142SY","ORD","14:00","13:59","177","172","-1","14:11","12","0","0","0","0","0"
"OO","12/02/2021","6334","N509SY","LAX","06:20","06:17","198","179","-3","06:34","17","0","0","0","0","0"
"OO","12/02/2023","4887","N502SY","LAX","16:01","15:54","206","203","-7","16:07","13","0","0","0","0","0"
"OO","12/02/2023","5466","N107SY","IAH","19:39","19:29","71","57","-10","19:39","10","0","0","0","0","0"
"OO","12/03/2021","3059","N703SK","LAX","18:29","18:19","199","193","-10","18:37","18","0","0","0","0","0"
"OO","12/03/2021","3919","N610CZ","SLC","19:10","19:06","185","167","-4","19:17","11","0","0","0","0","0"
"OO","12/03/2021","5281","N109SY","SFO","07:30","07:26","257","217","-4","07:37","11","0","0","0","0","0"
"OO","12/03/2021","5447","N106SY","ORD","14:00","13:50","177","174","-10","14:10","20","0","0","0","0","0"
"OO","12/03/2021","6334","N510SY","LAX","06:20","06:12","198","190","-8","06:27","15","0","0","0","0","0"
"OO","12/03/2023","4887","N515SY","LAX","16:01","15:55","206","200","-6","16:13","18","0","0","0","0","0"
"OO","12/03/2023","5227","N113SY","IAH","12:20","12:18","71","64","-2","12:31","13","0","0","0","0","0"
"OO","12/04/2021","5281","N133SY","SFO","07:30","07:31","257","245","1","08:15","44","0","0","0","0","0"
"OO","12/04/2021","5462","N142SY","ORD","14:00","13:52","177","176","-8","14:08","16","0","0","0","0","0"
"OO","12/04/2021","6334","N507SY","LAX","06:20","06:12","198","198","-8","06:33","21","0","0","0","0","0"
"OO","12/04/2023","4887","N516SY","LAX","16:01","15:53","206","202","-8","16:08","15","0","0","0","0","0"
"OO","12/04/2023","5227","N131SY","IAH","12:20","12:16","71","69","-4","12:34","18","0","0","0","0","0"
"OO","12/05/2021","3059","N718SK","LAX","18:29","18:17","199","178","-12","18:30","13","0","0","0","0","0"
"OO","12/05/2021","3919","N242SY","SLC","19:10","19:02","185","211","-8","19:22","20","18","0","0","0","0"
"OO","12/05/2021","5462","N135SY","ORD","14:00","13:52","177","173","-8","14:06","14","0","0","0","0","0"
"OO","12/05/2021","5738","N146SY","IAH","05:30","05:27","66","64","-3","05:43","16","0","0","0","0","0"
"OO","12/05/2021","6334","N510SY","LAX","06:20","06:19","198","196","-1","06:37","18","0","0","0","0","0"
"OO","12/05/2023","4887","N501SY","LAX","16:01","16:01","205","187","0","16:14","13","0","0","0","0","0"
"OO","12/05/2023","5227","N131SY","IAH","12:20","12:15","71","74","-5","12:37","22","0","0","0","0","0"
"OO","12/05/2023","5466","N140SY","IAH","19:39","19:30","71","58","-9","19:40","10","0","0","0","0","0"
"OO","12/06/2021","3059","N750SK","LAX","18:29","18:28","199","188","-1","18:41","13","0","0","0","0","0"
"OO","12/06/2021","3919","N260SY","SLC","19:10","19:03","185","177","-7","19:14","11","0","0","0","0","0"
"OO","12/06/2021","5301","N124SY","IAH","19:10","19:03","68","60","-7","19:15","12","0","0","0","0","0"
"OO","12/06/2021","5462","N132SY","ORD","14:00","13:52","177","165","-8","14:09","17","0","0","0","0","0"
"OO","12/06/2021","5995","N618UX","IAH","12:24","14:04","66","59","100","14:18","14","93","0","0","0","0"
"OO","12/06/2021","6334","N510SY","LAX","06:20","13:45","198","209","1885","13:55","10","1896","0","0","0","0"
"OO","12/06/2023","4887","N507SY","LAX","16:01","15:55","205","200","-6","16:19","24","0","0","0","0","0"
"OO","12/06/2023","5227","N107SY","IAH","12:20","12:13","71","55","-7","12:28","15","0","0","0","0","0"
"OO","12/06/2023","5466","N206SY","IAH","19:39","19:30","71","62","-9","19:43","13","0","0","0","0","0"
"OO","12/07/2021","3059","N702SK","LAX","18:29","18:18","199","196","-11","18:32","14","0","0","0","0","0"
"OO","12/07/2021","5462","N135SY","ORD","14:00","13:55","177","188","-5","14:08","13","0","0","0","0","0"
"OO","12/07/2021","5995","N605UX","IAH","12:24","12:23","66","68","-1","12:39","16","0","0","0","0","0"
"OO","12/07/2021","6334","N505SY","LAX","06:20","06:13","198","201","-7","06:23","10","0","0","0","0","0"
"OO","12/07/2023","4887","N515SY","LAX","16:01","15:53","205","230","-8","16:14","21","0","0","17","0","0"
"OO","12/07/2023","5227","N119SY","IAH","12:20","12:46","71","53","26","12:59","13","0","0","0","0","0"
"OO","12/07/2023","6353","N708EV","DFW","12:10","12:00","79","80","-10","12:26","26","0","0","0","0","0"
"OO","12/08/2021","3059","N759EV","LAX","18:29","18:29","199","197","0","18:45","16","0","0","0","0","0"
"OO","12/08/2021","5462","N128SY","ORD","14:00","13:59","177","167","-1","14:13","14","0","0","0","0","0"
"OO","12/08/2021","5995","N622UX","IAH","12:24","12:22","66","69","-2","12:39","17","0","0","0","0","0"
"OO","12/08/2021","6334","N507SY","LAX","06:20","06:16","198","206","-4","06:26","10","0","0","0","0","0"
"OO","12/08/2023","4887","N521SY","LAX","16:01","15:51","205","217","-10","16:06","15","0","0","0","0","0"
"OO","12/08/2023","5227","N103SY","IAH","12:20","12:11","71","67","-9","12:34","23","0","0","0","0","0"
"OO","12/08/2023","6353","N771SK","DFW","12:10","12:07","79","67","-3","12:19","12","0","0","0","0","0"
"OO","12/09/2021","3059","N713EV","LAX","18:29","18:19","199","190","-10","18:29","10","0","0","0","0","0"
"OO","12/09/2021","3919","N241SY","SLC","19:10","19:17","185","178","7","19:29","12","0","0","0","0","0"
"OO","12/09/2021","5462","N114SY","ORD","14:00","13:57","177","171","-3","14:13","16","0","0","0","0","0"
"OO","12/09/2021","5995","N608UX","IAH","12:24","12:21","66","77","-3","12:42","21","0","0","0","0","0"
