Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2022","1039","N655NK","LAS","06:00","06:11","170","165","11","06:21","10","0","0","0","0","0"
"NK","12/01/2022","1718","N604NK","MCO","09:30","09:23","155","143","-7","09:34","11","0","0","0","0","0"
"NK","12/01/2023","1039","N976NK","LAS","14:31","14:20","175","175","-11","14:34","14","0","0","0","0","0"
"NK","12/01/2023","1044","N908NK","LAX","18:00","18:55","202","188","55","19:04","9","41","0","0","0","0"
"NK","12/01/2023","1718","N660NK","MCO","10:41","10:43","153","151","2","10:51","8","0","0","0","0","0"
"NK","12/01/2023","1737","N905NK","FLL","05:35","05:29","172","150","-6","05:47","18","0","0","0","0","0"
"NK","12/01/2023","2010","N607NK","BWI","16:19","17:42","198","163","83","17:55","13","48","0","0","0","0"
"NK","12/02/2022","1039","N643NK","LAS","06:00","06:00","170","182","0","06:21","21","0","0","0","0","0"
"NK","12/02/2022","1718","N646NK","MCO","09:30","09:24","155","140","-6","09:34","10","0","0","0","0","0"
"NK","12/02/2023","1039","N929NK","LAS","14:31","14:47","175","172","16","14:59","12","0","0","0","0","0"
"NK","12/02/2023","1044","N915NK","LAX","21:05","21:01","203","201","-4","21:11","10","0","0","0","0","0"
"NK","12/02/2023","1718","N519NK","MCO","12:57","12:58","151","147","1","13:13","15","0","0","0","0","0"
"NK","12/02/2023","1737","N922NK","FLL","05:35","05:35","172","163","0","05:46","11","0","0","0","0","0"
