Detailed Statistics Departures  
Origin Airport: San Antonio, TX: San Antonio International (SAT)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0494","N28457","IAH","09:45","09:39","61","60","-6","09:55","16","0","0","0","0","0"
"UA","12/01/2021","0680","N818UA","DEN","16:45","16:37","138","143","-8","16:46","9","0","0","0","0","0"
"UA","12/01/2021","0715","N465UA","EWR","06:35","06:33","214","206","-2","06:44","11","0","0","0","0","0"
"UA","12/01/2021","1412","N65832","DEN","08:55","08:51","138","147","-4","09:04","13","0","0","0","0","0"
"UA","12/01/2021","1757","N839UA","DEN","13:45","13:54","135","121","9","14:02","8","0","0","0","0","0"
"UA","12/01/2021","1777","N829UA","IAH","17:30","17:23","61","59","-7","17:36","13","0","0","0","0","0"
"UA","12/01/2021","1831","N77536","IAH","05:30","05:23","61","55","-7","05:34","11","0","0","0","0","0"
"UA","12/01/2021","1930","N489UA","IAH","16:15","16:11","69","57","-4","16:22","11","0","0","0","0","0"
"UA","12/01/2021","2013","N828UA","ORD","07:00","06:55","163","163","-5","07:04","9","0","0","0","0","0"
"UA","12/01/2021","2056","N66825","IAH","14:15","14:12","61","64","-3","14:29","17","0","0","0","0","0"
"UA","12/01/2021","2175","N829UA","DEN","11:00","10:51","139","141","-9","11:02","11","0","0","0","0","0"
"UA","12/01/2021","2250","N421UA","IAD","12:00","11:55","182","189","-5","12:05","10","0","0","0","0","0"
"UA","12/01/2021","2426","N835UA","EWR","11:45","11:45","213","212","0","11:55","10","0","0","0","0","0"
"UA","12/01/2021","2486","N27255","IAH","07:40","07:37","61","68","-3","07:57","20","0","0","0","0","0"
"UA","12/01/2022","0555","N47281","IAH","19:00","19:05","63","63","5","19:30","25","0","0","0","0","0"
"UA","12/01/2022","0680","N836UA","DEN","16:45","16:36","140","136","-9","16:49","13","0","0","0","0","0"
"UA","12/01/2022","1347","N37541","IAD","07:14","07:08","186","169","-6","07:19","11","0","0","0","0","0"
