Detailed Statistics Departures  
Origin Airport: San Diego, CA: San Diego International (SAN)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0550","N233FR","DEN","06:25","06:17","157","160","-8","06:40","23","0","0","0","0","0"
"F9","12/01/2021","0552","N233FR","DEN","13:24","13:31","148","138","7","13:45","14","0","0","0","0","0"
"F9","12/01/2021","2126","N368FR","LAS","12:48","12:44","84","73","-4","12:56","12","0","0","0","0","0"
"F9","12/01/2021","2128","N207FR","LAS","20:14","20:05","79","74","-9","20:19","14","0","0","0","0","0"
"F9","12/01/2021","2946","N368FR","PHX","08:09","08:05","80","84","-4","08:30","25","0","0","0","0","0"
"F9","12/01/2022","0550","N301FR","DEN","06:25","06:16","154","141","-9","06:39","23","0","0","0","0","0"
"F9","12/01/2022","0552","N388FR","DEN","14:16","14:19","146","136","3","14:44","25","0","0","0","0","0"
"F9","12/01/2022","1194","N384FR","MCO","22:22","22:46","279","259","24","23:00","14","0","0","0","0","0"
"F9","12/01/2022","2126","N389FR","LAS","21:26","22:36","84","75","70","22:48","12","7","0","0","0","54"
"F9","12/01/2022","2128","N358FR","LAS","09:05","09:02","83","112","-3","09:53","51","0","0","26","0","0"
"F9","12/01/2022","2706","N378FR","DFW","16:36","18:34","180","161","118","18:54","20","0","0","0","0","99"
"F9","12/01/2022","2946","N360FR","PHX","13:21","13:09","77","70","-12","13:20","11","0","0","0","0","0"
"F9","12/01/2023","1326","N366FR","LAS","07:30","07:20","83","83","-10","07:35","15","0","0","0","0","0"
"F9","12/01/2023","1770","N359FR","DFW","15:02","15:10","183","177","8","15:31","21","0","0","0","0","0"
"F9","12/01/2023","2084","N310FR","PHX","16:41","16:27","81","76","-14","16:40","13","0","0","0","0","0"
"F9","12/01/2023","2818","N388FR","DEN","06:25","06:16","156","137","-9","06:36","20","0","0","0","0","0"
"F9","12/01/2023","2948","N383FR","PHX","10:20","10:26","80","110","6","11:08","42","0","0","30","0","6"
"F9","12/01/2023","2952","N316FR","PHX","19:11","19:20","82","75","9","19:32","12","0","0","0","0","0"
"F9","12/01/2023","4754","N233FR","ATL","22:14","22:06","276","244","-8","22:22","16","0","0","0","0","0"
"F9","12/01/2023","4990","N362FR","DEN","15:10","15:07","148","152","-3","15:41","34","0","0","0","0","0"
"F9","12/02/2021","0550","N338FR","DEN","06:25","06:15","157","146","-10","06:36","21","0","0","0","0","0"
"F9","12/02/2021","0554","N308FR","DEN","19:54","19:44","147","146","-10","20:03","19","0","0","0","0","0"
"F9","12/02/2021","2126","N701FR","LAS","12:48","12:38","84","77","-10","12:49","11","0","0","0","0","0"
"F9","12/02/2021","2128","N717FR","LAS","17:03","16:52","84","76","-11","17:08","16","0","0","0","0","0"
"F9","12/02/2021","2706","N369FR","DFW","12:47","12:38","183","183","-9","12:57","19","0","0","0","0","0"
"F9","12/02/2021","2946","N701FR","PHX","08:09","07:54","80","76","-15","08:12","18","0","0","0","0","0"
"F9","12/02/2022","0550","N364FR","DEN","06:25","06:20","154","135","-5","06:47","27","0","0","0","0","0"
"F9","12/02/2022","0552","N348FR","DEN","13:59","14:25","146","131","26","14:54","29","0","0","0","0","0"
"F9","12/02/2022","1194","N312FR","MCO","22:20","22:38","279","271","18","22:51","13","0","0","0","0","0"
"F9","12/02/2022","2126","N353FR","LAS","21:26","21:36","84","78","10","21:52","16","0","0","0","0","0"
"F9","12/02/2022","2706","N372FR","DFW","16:37","16:36","180","164","-1","17:02","26","0","0","0","0","0"
"F9","12/02/2022","2946","N378FR","PHX","12:42","12:40","78","76","-2","12:53","13","0","0","0","0","0"
"F9","12/02/2023","1326","N322FR","LAS","07:30","07:24","83","78","-6","07:39","15","0","0","0","0","0"
"F9","12/02/2023","1770","N331FR","DFW","15:02","14:55","183","170","-7","15:08","13","0","0","0","0","0"
"F9","12/02/2023","2084","N316FR","PHX","16:57","16:47","81","72","-10","17:00","13","0","0","0","0","0"
"F9","12/02/2023","2818","N309FR","DEN","06:25","06:29","156","144","4","06:48","19","0","0","0","0","0"
"F9","12/02/2023","3168","N367FR","PHX","20:17","20:28","82","86","11","20:47","19","0","0","4","0","11"
"F9","12/02/2023","4754","N316FR","ATL","22:14","22:04","276","287","-10","22:15","11","0","0","0","0","0"
"F9","12/02/2023","4990","N230FR","DEN","15:10","16:31","148","145","81","16:44","13","78","0","0","0","0"
"F9","12/03/2021","0550","N365FR","DEN","06:25","06:15","157","140","-10","06:35","20","0","0","0","0","0"
"F9","12/03/2021","0552","N384FR","DEN","11:31","11:23","148","152","-8","11:47","24","0","0","0","0","0"
"F9","12/03/2021","2126","N356FR","LAS","12:48","13:08","84","72","20","13:24","16","0","0","0","0","0"
"F9","12/03/2021","2128","N710FR","LAS","21:01","20:52","83","78","-9","21:06","14","0","0","0","0","0"
"F9","12/03/2021","2946","N356FR","PHX","08:09","07:54","80","69","-15","08:09","15","0","0","0","0","0"
"F9","12/03/2022","0550","N360FR","DEN","06:25","06:24","154","142","-1","06:50","26","0","0","0","0","0"
"F9","12/03/2022","0552","N238FR","DEN","14:16","14:25","143","120","9","14:40","15","0","0","0","0","0"
"F9","12/03/2022","1194","N328FR","MCO","22:33","07:55","279","265","562","08:10","15","0","0","0","0","548"
