Detailed Statistics Departures  
Origin Airport: San Diego, CA: San Diego International (SAN)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0015","N389HA","HNL","07:45","08:13","370","359","28","08:49","36","0","17","0","0","0"
"HA","12/01/2021","0037","N214HA","OGG","10:00","12:11","365","351","131","12:25","14","117","0","0","0","0"
"HA","12/01/2022","0015","N395HA","HNL","07:50","07:54","370","384","4","08:12","18","18","0","0","0","0"
"HA","12/01/2022","0057","N215HA","OGG","10:20","10:17","365","373","-3","10:44","27","0","0","0","0","0"
"HA","12/01/2023","0015","N389HA","HNL","08:40","08:50","370","380","10","09:12","22","20","0","0","0","0"
"HA","12/01/2023","0057","N214HA","OGG","07:10","07:02","365","360","-8","07:17","15","0","0","0","0","0"
"HA","12/02/2021","0015","N399HA","HNL","07:40","07:35","375","336","-5","07:53","18","0","0","0","0","0"
"HA","12/02/2021","0037","N223HA","OGG","10:00","10:03","365","329","3","10:19","16","0","0","0","0","0"
"HA","12/02/2022","0015","N378HA","HNL","07:55","07:47","370","380","-8","07:59","12","0","0","0","0","0"
"HA","12/02/2022","0057","N216HA","OGG","10:20","10:15","365","357","-5","10:34","19","0","0","0","0","0"
"HA","12/02/2023","0015","N375HA","HNL","08:15","08:20","380","389","5","08:37","17","0","0","0","0","0"
"HA","12/02/2023","0057","N215HA","OGG","07:10","07:07","365","351","-3","07:21","14","0","0","0","0","0"
"HA","12/03/2021","0015","N373HA","HNL","07:40","07:41","375","385","1","07:58","17","0","0","0","0","0"
"HA","12/03/2021","0037","N223HA","OGG","10:00","09:55","365","397","-5","10:10","15","0","27","0","0","0"
"HA","12/03/2022","0015","N385HA","HNL","07:55","07:55","370","376","0","08:11","16","0","0","0","0","0"
"HA","12/03/2022","0057","N216HA","OGG","10:20","10:11","365","362","-9","10:28","17","0","0","0","0","0"
"HA","12/03/2023","0015","N374HA","HNL","08:15","08:11","380","378","-4","08:31","20","0","0","0","0","0"
"HA","12/03/2023","0057","N213HA","OGG","07:10","07:02","365","344","-8","07:16","14","0","0","0","0","0"
"HA","12/04/2021","0015","N380HA","HNL","07:40","07:39","375","378","-1","07:54","15","0","0","0","0","0"
"HA","12/04/2021","0037","N202HA","OGG","10:00","09:49","365","403","-11","10:02","13","27","0","0","0","0"
"HA","12/04/2022","0015","N384HA","HNL","07:55","07:50","370","382","-5","08:08","18","0","0","0","0","0"
"HA","12/04/2022","0057","N230HA","OGG","10:20","10:27","365","362","7","10:44","17","0","0","0","0","0"
"HA","12/04/2023","0015","N399HA","HNL","08:15","08:11","380","354","-4","08:31","20","0","0","0","0","0"
"HA","12/04/2023","0057","N202HA","OGG","07:10","07:08","365","339","-2","07:23","15","0","0","0","0","0"
"HA","12/05/2021","0015","N395HA","HNL","07:40","07:45","375","359","5","07:56","11","0","0","0","0","0"
"HA","12/05/2021","0037","N214HA","OGG","10:00","09:56","365","349","-4","10:09","13","0","0","0","0","0"
"HA","12/05/2022","0015","N382HA","HNL","07:55","07:55","370","379","0","08:09","14","0","0","0","0","0"
