Detailed Statistics Departures  
Origin Airport: San Diego, CA: San Diego International (SAN)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0090","N981JT","JFK","20:59","20:50","304","313","-9","21:01","11","0","0","0","0","0"
"B6","12/01/2021","0530","N2016J","FLL","22:29","22:24","278","295","-5","22:47","23","0","0","0","0","0"
"B6","12/01/2021","0620","N967JT","BOS","13:25","14:25","324","316","60","14:35","10","52","0","0","0","0"
"B6","12/01/2021","2120","N984JB","BOS","21:21","21:06","314","319","-15","21:15","9","0","0","0","0","0"
"B6","12/01/2022","0090","N942JB","JFK","06:47","06:41","313","303","-6","06:59","18","0","0","0","0","0"
"B6","12/01/2022","0190","N973JT","JFK","13:18","13:16","312","306","-2","13:32","16","0","0","0","0","0"
"B6","12/01/2022","0620","N993JE","BOS","11:45","11:32","324","314","-13","11:52","20","0","0","0","0","0"
"B6","12/01/2022","1190","N703JB","JFK","21:40","22:07","309","295","27","22:26","19","0","0","0","0","0"
"B6","12/01/2022","2120","N976JT","BOS","20:55","23:59","315","296","184","00:10","11","0","0","0","0","165"
"B6","12/01/2023","0290","N943JT","JFK","12:00","11:56","319","321","-4","12:26","30","0","0","0","0","0"
"B6","12/01/2023","0530","N586JB","FLL","21:16","21:07","284","267","-9","21:22","15","0","0","0","0","0"
"B6","12/01/2023","0620","N983JT","BOS","13:50","13:38","322","295","-12","13:54","16","0","0","0","0","0"
"B6","12/01/2023","1190","N948JB","JFK","21:30","21:32","309","295","2","21:45","13","0","0","0","0","0"
"B6","12/01/2023","2120","N994JL","BOS","20:03","20:08","315","301","5","20:24","16","0","0","0","0","0"
"B6","12/02/2021","0090","N978JB","JFK","20:59","20:50","304","329","-9","20:59","9","0","0","16","0","0"
"B6","12/02/2021","0190","N625JB","JFK","10:47","14:58","313","312","251","15:10","12","189","0","0","0","61"
"B6","12/02/2021","0620","N935JB","BOS","13:25","13:15","324","319","-10","13:29","14","0","0","0","0","0"
"B6","12/02/2021","2120","N985JT","BOS","21:21","21:14","314","318","-7","21:24","10","0","0","0","0","0"
"B6","12/02/2022","0090","N961JT","JFK","06:47","06:35","313","288","-12","06:56","21","0","0","0","0","0"
"B6","12/02/2022","0190","N913JB","JFK","13:18","13:17","312","291","-1","13:32","15","0","0","0","0","0"
"B6","12/02/2022","0620","N992JB","BOS","11:45","11:38","324","304","-7","11:58","20","0","0","0","0","0"
"B6","12/02/2022","1190","N558JB","JFK","21:40","21:55","309","294","15","22:22","27","0","0","0","0","0"
"B6","12/02/2022","2120","N944JT","BOS","20:55","20:46","315","289","-9","20:58","12","0","0","0","0","0"
"B6","12/02/2023","0190","N948JB","JFK","12:48","12:42","316","296","-6","12:57","15","0","0","0","0","0"
"B6","12/02/2023","0530","N809JB","FLL","21:16","21:23","284","269","7","21:38","15","0","0","0","0","0"
"B6","12/02/2023","0620","N976JT","BOS","13:50","14:17","322","308","27","14:34","17","0","0","0","0","0"
"B6","12/02/2023","1190","N959JB","JFK","21:30","21:30","309","298","0","21:44","14","0","0","0","0","0"
"B6","12/02/2023","2120","N997JL","BOS","20:03","19:54","315","314","-9","20:08","14","0","0","0","0","0"
"B6","12/03/2021","0090","N981JT","JFK","20:59","21:02","304","310","3","21:13","11","0","0","0","0","0"
"B6","12/03/2021","0190","N646JB","JFK","10:47","10:42","313","314","-5","10:52","10","0","0","0","0","0"
"B6","12/03/2021","0530","N565JB","FLL","22:29","22:45","277","264","16","22:58","13","0","0","0","0","0"
"B6","12/03/2021","0620","N923JB","BOS","13:25","13:12","324","316","-13","13:35","23","0","0","0","0","0"
"B6","12/03/2021","2120","N934JB","BOS","21:21","21:13","314","300","-8","21:24","11","0","0","0","0","0"
"B6","12/03/2022","0090","N993JE","JFK","06:47","06:34","313","309","-13","07:06","32","0","0","0","0","0"
"B6","12/03/2022","0190","N973JT","JFK","12:50","12:55","312","296","5","13:09","14","0","0","0","0","0"
"B6","12/03/2022","0620","N520JB","BOS","14:55","17:40","324","296","165","17:57","17","1","0","0","0","136"
"B6","12/03/2022","1190","N535JB","JFK","21:40","13:30","309","295","950","13:49","19","0","324","0","0","612"
"B6","12/03/2022","2120","N943JT","BOS","20:55","20:49","315","281","-6","21:05","16","0","0","0","0","0"
"B6","12/03/2023","0290","N944JT","JFK","12:00","12:07","319","307","7","12:28","21","0","0","0","0","0"
"B6","12/03/2023","0530","N509JB","FLL","21:16","22:03","284","278","47","22:22","19","41","0","0","0","0"
"B6","12/03/2023","0620","N980JT","BOS","13:50","13:51","322","341","1","14:11","20","0","0","20","0","0"
"B6","12/03/2023","1190","N959JB","JFK","21:30","21:32","309","301","2","21:49","17","0","0","0","0","0"
"B6","12/03/2023","2120","N997JL","BOS","20:03","19:58","315","352","-5","20:34","36","0","0","32","0","0"
"B6","12/04/2021","0090","N986JB","JFK","20:59","20:55","304","326","-4","21:06","11","0","0","18","0","0"
"B6","12/04/2021","0530","N729JB","FLL","22:29","22:29","277","288","0","22:57","28","0","0","0","0","0"
"B6","12/04/2021","0620","N974JT","BOS","13:25","13:18","324","310","-7","13:29","11","0","0","0","0","0"
"B6","12/04/2021","2120","N987JT","BOS","21:21","21:20","314","316","-1","21:33","13","0","0","0","0","0"
"B6","12/04/2022","0090","N988JT","JFK","06:47","07:19","313","274","32","07:36","17","0","0","0","0","0"
"B6","12/04/2022","0190","N998JE","JFK","13:18","14:11","312","312","53","14:32","21","21","0","0","0","32"
"B6","12/04/2022","0620","N934JB","BOS","11:45","12:20","324","309","35","12:43","23","2","0","0","0","18"
