Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0662","N350FR","DEN","00:59","00:52","155","145","-7","01:02","10","0","0","0","0","0"
"F9","12/01/2021","0664","N346FR","DEN","21:13","21:03","158","157","-10","21:16","13","0","0","0","0","0"
"F9","12/01/2021","2076","N367FR","LAS","23:04","22:56","102","94","-8","23:11","15","0","0","0","0","0"
"F9","12/01/2021","2078","N718FR","LAS","14:42","14:35","104","105","-7","14:46","11","0","0","0","0","0"
"F9","12/01/2021","2080","N710FR","LAS","19:38","19:47","102","99","9","20:01","14","0","0","0","0","0"
"F9","12/01/2021","2710","N346FR","DFW","11:32","11:24","220","216","-8","11:35","11","0","0","0","0","0"
"F9","12/01/2021","2754","N718FR","ONT","10:07","09:53","90","84","-14","10:06","13","0","0","0","0","0"
"F9","12/01/2021","2790","N364FR","PHX","16:54","16:46","126","130","-8","17:06","20","0","0","0","0","0"
"F9","12/01/2022","0662","N230FR","DEN","06:00","05:50","155","178","-10","06:11","21","0","0","0","0","0"
"F9","12/01/2022","0664","N376FR","DEN","21:08","21:59","156","155","51","22:28","29","28","0","0","0","22"
"F9","12/01/2022","1522","N336FR","ATL","23:49","23:51","279","259","2","00:07","16","0","0","0","0","0"
"F9","12/01/2022","2070","N229FR","LAS","08:37","08:37","106","121","0","09:23","46","0","0","15","0","0"
"F9","12/01/2022","2078","N363FR","LAS","23:07","23:48","102","87","41","00:04","16","0","0","0","0","26"
"F9","12/01/2022","2080","N210FR","LAS","16:30","18:43","103","99","133","19:07","24","6","0","0","0","123"
"F9","12/01/2022","2710","N395FR","DFW","10:30","11:30","231","210","60","12:00","30","32","0","0","0","7"
"F9","12/01/2022","2754","N210FR","ONT","11:54","14:23","90","71","149","14:33","10","0","0","0","0","130"
"F9","12/01/2022","2790","N376FR","PHX","15:09","16:17","119","119","68","16:40","23","25","0","0","0","43"
"F9","12/01/2023","0668","N631FR","DEN","15:39","15:38","152","149","-1","15:49","11","0","0","0","0","0"
"F9","12/01/2023","1448","N350FR","ATL","23:48","23:37","282","287","-11","23:52","15","0","0","0","0","0"
"F9","12/01/2023","1522","N350FR","ATL","00:13","00:02","282","274","-11","00:19","17","0","0","0","0","0"
"F9","12/01/2023","2638","N713FR","PHX","18:54","18:50","124","110","-4","19:04","14","0","0","0","0","0"
"F9","12/01/2023","2678","N238FR","ONT","09:00","08:55","91","82","-5","09:06","11","0","0","0","0","0"
"F9","12/01/2023","3020","N238FR","LAS","13:48","13:46","103","88","-2","13:58","12","0","0","0","0","0"
"F9","12/01/2023","4000","N338FR","DFW","19:10","19:19","214","202","9","19:34","15","0","0","0","0","0"
"F9","12/01/2023","4042","N342FR","MDW","11:35","11:31","249","228","-4","11:42","11","0","0","0","0","0"
"F9","12/01/2023","4310","N375FR","DEN","06:20","06:12","155","146","-8","06:27","15","0","0","0","0","0"
"F9","12/01/2023","4402","N342FR","LAS","22:23","22:16","111","88","-7","22:26","10","0","0","0","0","0"
"F9","12/02/2021","0662","N323FR","DEN","00:59","00:52","155","152","-7","01:05","13","0","0","0","0","0"
"F9","12/02/2021","2078","N305FR","LAS","08:51","08:41","101","150","-10","09:26","45","0","0","39","0","0"
"F9","12/02/2021","2084","N370FR","LAS","19:37","19:35","100","91","-2","19:46","11","0","0","0","0","0"
"F9","12/02/2022","0662","N342FR","DEN","06:00","05:59","155","142","-1","06:13","14","0","0","0","0","0"
"F9","12/02/2022","0664","N376FR","DEN","21:05","21:08","156","129","3","21:22","14","0","0","0","0","0"
"F9","12/02/2022","1522","N363FR","ATL","23:39","23:37","279","256","-2","23:55","18","0","0","0","0","0"
"F9","12/02/2022","1550","N352FR","DFW","10:25","11:21","230","182","56","11:37","16","0","0","0","0","0"
"F9","12/02/2022","2070","N229FR","LAS","08:37","08:35","106","96","-2","08:54","19","0","0","0","0","0"
"F9","12/02/2022","2078","N368FR","LAS","23:01","23:20","102","84","19","23:36","16","0","0","0","0","0"
"F9","12/02/2022","2790","N376FR","PHX","15:09","15:13","119","112","4","15:28","15","0","0","0","0","0"
"F9","12/02/2023","1230","N714FR","DEN","15:40","15:38","152","164","-2","16:02","24","0","0","0","0","0"
"F9","12/02/2023","1448","N304FR","ATL","22:54","23:20","286","278","26","23:44","24","18","0","0","0","0"
"F9","12/02/2023","2638","N387FR","PHX","19:07","19:01","121","116","-6","19:19","18","0","0","0","0","0"
"F9","12/02/2023","2678","","ONT","09:00","00:00","91","0","0","00:00","0","0","0","0","0","0"
"F9","12/02/2023","3020","N338FR","LAS","13:48","14:23","103","87","35","14:36","13","19","0","0","0","0"
"F9","12/02/2023","4000","N392FR","DFW","19:10","19:29","214","198","19","19:42","13","0","0","0","0","0"
"F9","12/02/2023","4042","N304FR","MDW","11:35","12:02","249","242","27","12:25","23","3","0","0","0","17"
"F9","12/02/2023","4310","N349FR","DEN","06:20","06:11","155","160","-9","06:26","15","0","0","0","0","0"
"F9","12/02/2023","4402","N386FR","LAS","22:23","23:39","111","87","76","23:56","17","52","0","0","0","0"
"F9","12/03/2021","0662","N711FR","DEN","00:59","00:48","155","148","-11","00:59","11","0","0","0","0","0"
"F9","12/03/2021","0668","N316FR","DEN","20:43","20:34","158","161","-9","20:48","14","0","0","0","0","0"
"F9","12/03/2021","2078","N349FR","LAS","14:42","14:31","108","104","-11","14:47","16","0","0","0","0","0"
"F9","12/03/2021","2080","N356FR","LAS","22:31","22:22","106","102","-9","22:35","13","0","0","0","0","0"
"F9","12/03/2021","2710","N316FR","DFW","11:22","11:15","220","204","-7","11:26","11","0","0","0","0","0"
"F9","12/03/2021","2754","N349FR","ONT","10:07","10:00","90","82","-7","10:15","15","0","0","0","0","0"
"F9","12/03/2021","2790","N301FR","PHX","16:54","16:56","126","125","2","17:15","19","0","0","0","0","0"
"F9","12/03/2022","0662","N379FR","DEN","06:00","05:54","155","160","-6","06:21","27","0","0","0","0","0"
"F9","12/03/2022","0664","N338FR","DEN","21:05","21:01","156","134","-4","21:15","14","0","0","0","0","0"
"F9","12/03/2022","1524","N379FR","ATL","23:49","00:26","279","252","37","00:45","19","0","0","0","0","0"
"F9","12/03/2022","1550","N323FR","DFW","10:25","10:52","230","227","27","11:12","20","13","0","11","0","0"
"F9","12/03/2022","2070","N368FR","LAS","08:37","08:31","106","101","-6","08:46","15","0","0","0","0","0"
"F9","12/03/2022","2078","N365FR","LAS","23:01","23:32","102","91","31","23:51","19","2","0","8","0","10"
"F9","12/03/2022","2790","N338FR","PHX","15:09","15:02","119","115","-7","15:16","14","0","0","0","0","0"
"F9","12/03/2023","1230","N714FR","DEN","15:39","15:32","152","137","-7","15:42","10","0","0","0","0","0"
"F9","12/03/2023","1448","N351FR","ATL","23:58","00:03","282","279","5","00:25","22","0","0","0","0","0"
"F9","12/03/2023","2638","N609FR","PHX","18:42","18:34","124","119","-8","18:49","15","0","0","0","0","0"
"F9","12/03/2023","2678","N353FR","ONT","09:00","08:54","91","80","-6","09:13","19","0","0","0","0","0"
"F9","12/03/2023","3020","N353FR","LAS","13:48","13:47","103","101","-1","14:03","16","0","0","0","0","0"
"F9","12/03/2023","4000","N353FR","DFW","19:10","19:01","214","200","-9","19:19","18","0","0","0","0","0"
"F9","12/03/2023","4042","N337FR","MDW","11:36","11:24","249","248","-12","11:41","17","0","0","0","0","0"
"F9","12/03/2023","4310","N368FR","DEN","06:20","06:13","155","154","-7","06:26","13","0","0","0","0","0"
"F9","12/03/2023","4402","N337FR","LAS","22:23","22:21","111","79","-2","22:31","10","0","0","0","0","0"
"F9","12/04/2021","0662","N358FR","DEN","00:57","00:53","155","147","-4","01:06","13","0","0","0","0","0"
"F9","12/04/2021","0664","N711FR","DEN","21:13","21:12","158","184","-1","21:27","15","0","0","25","0","0"
"F9","12/04/2021","2064","N323FR","LAS","19:38","19:30","104","87","-8","19:43","13","0","0","0","0","0"
"F9","12/04/2021","2080","N701FR","LAS","23:08","22:58","102","119","-10","23:42","44","0","0","0","0","0"
"F9","12/04/2021","2084","N301FR","LAS","14:42","14:35","104","96","-7","14:48","13","0","0","0","0","0"
"F9","12/04/2021","2710","N711FR","DFW","11:32","11:40","220","214","8","11:54","14","0","0","0","0","0"
"F9","12/04/2021","2754","N301FR","ONT","10:07","09:58","90","86","-9","10:17","19","0","0","0","0","0"
"F9","12/04/2021","2790","N335FR","PHX","16:54","16:45","126","132","-9","17:17","32","0","0","0","0","0"
"F9","12/04/2022","0662","N364FR","DEN","06:00","06:04","155","147","4","06:24","20","0","0","0","0","0"
"F9","12/04/2022","0664","N372FR","DEN","21:08","21:08","156","139","0","21:31","23","0","0","0","0","0"
"F9","12/04/2022","1550","N236FR","DFW","10:25","13:38","230","215","193","14:10","32","0","0","0","0","178"
"F9","12/04/2022","2070","N343FR","LAS","08:37","08:36","106","100","-1","08:58","22","0","0","0","0","0"
"F9","12/04/2022","2078","N362FR","LAS","23:07","23:18","102","88","11","23:33","15","0","0","0","0","0"
"F9","12/04/2022","2080","N394FR","LAS","16:30","19:30","103","79","180","19:44","14","4","0","0","0","152"
"F9","12/04/2022","2754","N394FR","ONT","11:54","14:40","90","97","166","15:00","20","0","0","21","0","152"
"F9","12/04/2022","2790","N372FR","PHX","15:09","15:03","119","115","-6","15:18","15","0","0","0","0","0"
"F9","12/04/2023","1230","N631FR","DEN","15:39","15:29","152","145","-10","15:40","11","0","0","0","0","0"
"F9","12/04/2023","1448","N346FR","ATL","23:48","23:45","282","280","-3","00:05","20","0","0","0","0","0"
"F9","12/04/2023","2638","N309FR","PHX","18:52","18:43","124","123","-9","19:02","19","0","0","0","0","0"
"F9","12/04/2023","2678","N392FR","ONT","09:00","08:49","91","85","-11","09:13","24","0","0","0","0","0"
"F9","12/04/2023","3020","N392FR","LAS","13:48","13:40","103","95","-8","13:56","16","0","0","0","0","0"
"F9","12/04/2023","4000","N371FR","DFW","19:10","19:00","214","201","-10","19:13","13","0","0","0","0","0"
"F9","12/04/2023","4042","N335FR","MDW","11:35","11:28","249","253","-7","11:47","19","0","0","0","0","0"
