Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0011","N360HA","HNL","09:15","09:15","345","299","0","09:29","14","0","0","0","0","0"
"HA","12/01/2021","0041","N213HA","OGG","07:00","06:57","345","294","-3","07:08","11","0","0","0","0","0"
"HA","12/01/2022","0011","N379HA","HNL","07:30","07:53","335","349","23","08:17","24","23","0","14","0","0"
"HA","12/01/2022","0041","N209HA","OGG","09:30","09:34","330","345","4","10:10","36","15","0","4","0","0"
"HA","12/01/2023","0011","N374HA","HNL","07:15","07:11","335","357","-4","07:28","17","18","0","0","0","0"
"HA","12/01/2023","0041","N202HA","OGG","09:05","08:59","330","345","-6","09:10","11","0","0","0","0","0"
"HA","12/02/2021","0011","N389HA","HNL","09:15","09:24","345","310","9","09:42","18","0","0","0","0","0"
"HA","12/02/2021","0041","N220HA","OGG","07:00","06:55","345","308","-5","07:09","14","0","0","0","0","0"
"HA","12/02/2022","0011","N381HA","HNL","07:15","08:10","340","335","55","08:25","15","50","0","0","0","0"
"HA","12/02/2022","0041","N230HA","OGG","09:25","09:21","335","323","-4","09:31","10","0","0","0","0","0"
"HA","12/02/2023","0011","N384HA","HNL","07:20","07:19","345","343","-1","07:31","12","0","0","0","0","0"
"HA","12/02/2023","0041","N216HA","OGG","09:05","09:02","335","330","-3","09:16","14","0","0","0","0","0"
"HA","12/03/2021","0011","N360HA","HNL","09:15","09:15","345","344","0","09:36","21","0","0","0","0","0"
"HA","12/03/2021","0041","N205HA","OGG","07:00","06:57","345","311","-3","07:12","15","0","0","0","0","0"
"HA","12/03/2022","0011","N399HA","HNL","07:15","07:18","340","354","3","07:34","16","17","0","0","0","0"
"HA","12/03/2022","0041","N205HA","OGG","09:25","09:20","335","325","-5","09:35","15","0","0","0","0","0"
"HA","12/03/2023","0011","N382HA","HNL","07:20","07:20","345","332","0","07:39","19","0","0","0","0","0"
"HA","12/04/2021","0011","N373HA","HNL","09:15","09:13","345","360","-2","09:31","18","0","0","0","0","0"
"HA","12/04/2021","0041","N220HA","OGG","07:00","06:51","345","328","-9","07:04","13","0","0","0","0","0"
"HA","12/04/2022","0011","N361HA","HNL","07:15","07:12","340","358","-3","07:27","15","15","0","0","0","0"
"HA","12/04/2022","0041","N212HA","OGG","09:25","09:16","335","342","-9","09:35","19","0","0","0","0","0"
"HA","12/04/2023","0011","N396HA","HNL","07:20","07:13","345","328","-7","07:34","21","0","0","0","0","0"
"HA","12/05/2021","0011","N383HA","HNL","09:15","09:11","345","352","-4","09:28","17","0","0","0","0","0"
"HA","12/05/2021","0041","N205HA","OGG","07:00","06:57","345","322","-3","07:13","16","0","0","0","0","0"
"HA","12/05/2022","0011","N379HA","HNL","07:15","07:13","340","349","-2","07:33","20","0","0","0","0","0"
"HA","12/05/2022","0041","N230HA","OGG","09:25","09:24","335","339","-1","09:41","17","0","0","0","0","0"
"HA","12/05/2023","0011","N381HA","HNL","07:20","08:26","345","345","66","08:49","23","66","0","0","0","0"
"HA","12/05/2023","0041","N213HA","OGG","09:05","09:00","335","357","-5","09:35","35","17","0","0","0","0"
"HA","12/06/2021","0011","N386HA","HNL","09:15","09:11","345","333","-4","09:32","21","0","0","0","0","0"
"HA","12/06/2021","0041","N227HA","OGG","07:00","06:50","345","315","-10","07:06","16","0","0","0","0","0"
"HA","12/06/2022","0011","N360HA","HNL","07:15","07:21","340","329","6","07:36","15","0","0","0","0","0"
"HA","12/06/2022","0041","N216HA","OGG","09:25","09:49","335","311","24","10:00","11","0","0","0","0","0"
"HA","12/06/2023","0011","N393HA","HNL","07:20","07:15","345","377","-5","07:36","21","27","0","0","0","0"
