Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0016","N990JL","JFK","08:00","07:53","325","332","-7","08:05","12","0","0","0","0","0"
"B6","12/01/2021","0034","N979JT","BOS","23:50","23:37","329","334","-13","23:47","10","0","0","0","0","0"
"B6","12/01/2021","0278","N989JT","FLL","23:20","23:11","316","326","-9","23:23","12","0","0","0","0","0"
"B6","12/01/2021","0334","N923JB","BOS","11:00","10:50","338","323","-10","11:03","13","0","0","0","0","0"
"B6","12/01/2021","0416","N983JT","JFK","12:47","12:40","331","332","-7","12:54","14","0","0","0","0","0"
"B6","12/01/2021","0434","N984JB","BOS","07:00","06:51","331","323","-9","07:05","14","0","0","0","0","0"
"B6","12/01/2021","0482","N991JT","EWR","21:00","20:50","324","305","-10","21:01","11","0","0","0","0","0"
"B6","12/01/2021","0535","N708JB","LAX","17:30","17:38","80","89","8","17:54","16","8","0","9","0","0"
"B6","12/01/2021","0578","N961JT","FLL","14:10","14:05","319","343","-5","14:19","14","0","0","19","0","0"
"B6","12/01/2021","0616","N934JB","JFK","14:40","14:28","324","322","-12","14:41","13","0","0","0","0","0"
"B6","12/01/2021","1516","N937JB","JFK","21:35","21:29","320","338","-6","21:42","13","0","0","0","0","0"
"B6","12/01/2021","1982","N977JE","EWR","12:35","13:09","325","324","34","13:27","18","0","0","33","0","0"
"B6","12/01/2021","2735","N789JB","LAX","06:40","06:34","82","98","-6","06:55","21","0","0","0","0","0"
"B6","12/01/2021","2844","N789JB","BDL","22:15","22:06","316","319","-9","22:19","13","0","0","0","0","0"
"B6","12/01/2022","0034","N923JB","BOS","23:29","23:17","328","304","-12","23:29","12","0","0","0","0","0"
"B6","12/01/2022","0278","N984JB","FLL","23:21","23:41","316","293","20","00:01","20","0","0","0","0","0"
"B6","12/01/2022","0334","N937JB","BOS","11:01","12:19","333","308","78","12:31","12","46","0","0","0","7"
"B6","12/01/2022","0416","N988JT","JFK","12:20","12:51","326","324","31","13:06","15","29","0","0","0","0"
"B6","12/01/2022","0434","N987JT","BOS","06:05","06:22","328","342","17","07:00","38","17","0","14","0","0"
"B6","12/01/2022","0534","N969JT","BOS","15:35","16:13","332","324","38","16:32","19","30","0","0","0","0"
"B6","12/01/2022","0535","N590JB","LAX","08:55","08:49","84","90","-6","09:20","31","0","0","0","0","0"
"B6","12/01/2022","0578","N934JB","FLL","10:39","10:42","326","303","3","10:57","15","0","0","0","0","0"
"B6","12/01/2022","0616","N946JL","JFK","14:39","14:39","321","308","0","15:00","21","0","0","0","0","0"
"B6","12/01/2022","0816","N983JT","JFK","06:30","06:28","326","307","-2","06:46","18","0","0","0","0","0"
"B6","12/01/2022","1216","N989JT","JFK","22:15","22:25","318","306","10","22:42","17","0","0","0","0","0"
"B6","12/01/2022","1734","N964JT","BOS","14:05","14:21","337","318","16","14:32","11","0","0","0","0","0"
"B6","12/01/2022","2116","N984JB","JFK","09:00","08:55","325","335","-5","09:48","53","0","0","0","0","0"
"B6","12/01/2022","2416","N980JT","JFK","20:50","20:43","318","291","-7","20:56","13","0","0","0","0","0"
"B6","12/01/2022","2535","N590JB","LAX","21:25","21:15","79","76","-10","21:26","11","0","0","0","0","0"
"B6","12/01/2023","0034","N2142J","BOS","23:55","23:47","332","311","-8","00:03","16","0","0","0","0","0"
"B6","12/01/2023","0334","N976JT","BOS","12:22","12:30","334","306","8","12:44","14","0","0","0","0","0"
"B6","12/01/2023","0378","N980JT","FLL","20:40","20:35","320","320","-5","20:45","10","0","0","0","0","0"
"B6","12/01/2023","0416","N984JB","JFK","13:20","13:18","327","317","-2","13:36","18","0","0","0","0","0"
"B6","12/01/2023","0534","N937JB","BOS","13:45","13:37","331","319","-8","13:58","21","0","0","0","0","0"
"B6","12/01/2023","0535","N624JB","LAX","20:55","20:45","85","98","-10","21:01","16","0","0","0","0","0"
"B6","12/01/2023","0578","N942JB","FLL","07:45","07:37","317","313","-8","07:51","14","0","0","0","0","0"
"B6","12/01/2023","0616","N945JT","JFK","14:40","14:29","325","319","-11","14:41","12","0","0","0","0","0"
"B6","12/01/2023","1216","N979JT","JFK","23:35","01:26","325","302","111","01:38","12","0","0","0","0","88"
"B6","12/01/2023","1734","N934JB","BOS","11:20","11:09","338","312","-11","11:23","14","0","0","0","0","0"
"B6","12/01/2023","2116","N944JT","JFK","09:39","09:32","326","338","-7","10:02","30","0","0","0","0","0"
