Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0149","N469AS","KOA","12:05","12:02","330","313","-3","12:10","8","0","0","0","0","0"
"AS","12/01/2021","0335","N853VA","SEA","19:35","19:32","140","147","-3","19:43","11","0","0","0","0","0"
"AS","12/01/2021","0365","N519AS","SEA","06:40","10:03","145","118","203","10:12","9","176","0","0","0","0"
"AS","12/01/2021","0541","N636VA","SEA","17:00","16:56","140","121","-4","17:08","12","0","0","0","0","0"
"AS","12/01/2021","0659","N306AS","SEA","14:45","14:43","138","133","-2","15:04","21","0","0","0","0","0"
"AS","12/01/2021","0803","N593AS","OGG","09:00","09:50","345","309","50","10:03","13","0","0","0","0","0"
"AS","12/01/2021","0837","N562AS","HNL","10:15","10:07","360","342","-8","10:19","12","0","0","0","0","0"
"AS","12/01/2021","1037","N409AS","SEA","11:20","11:08","146","127","-12","11:23","15","0","0","0","0","0"
"AS","12/01/2021","1330","N536AS","LAX","09:00","09:11","83","81","11","09:22","11","0","0","0","0","0"
"AS","12/01/2022","0149","N594AS","LIH","08:00","07:51","355","347","-9","08:12","21","0","0","0","0","0"
"AS","12/01/2022","0204","N593AS","SEA","19:10","20:03","136","122","53","20:16","13","39","0","0","0","0"
"AS","12/01/2022","0217","N562AS","PDX","17:30","17:18","109","96","-12","17:27","9","0","0","0","0","0"
"AS","12/01/2022","0778","N913AK","SEA","09:30","00:00","136","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0803","N577AS","OGG","07:00","06:55","345","352","-5","07:13","18","0","0","0","0","0"
"AS","12/01/2022","0804","N453AS","SEA","12:25","00:00","135","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0837","N538AS","HNL","08:00","07:55","355","339","-5","08:08","13","0","0","0","0","0"
"AS","12/01/2022","0854","N318AS","SEA","16:10","16:02","134","125","-8","16:19","17","0","0","0","0","0"
"AS","12/01/2022","1136","N946AK","PDX","08:15","08:06","110","99","-9","08:23","17","0","0","0","0","0"
"AS","12/01/2022","1300","N596AS","SEA","15:10","15:23","134","117","13","15:33","10","0","0","0","0","0"
"AS","12/01/2023","0837","N964AK","HNL","07:00","06:56","356","335","-4","07:07","11","0","0","0","0","0"
"AS","12/01/2023","0869","N409AS","KOA","07:00","06:57","330","326","-3","07:17","20","0","0","0","0","0"
"AS","12/01/2023","0965","N413AS","SEA","06:15","06:04","142","160","-11","06:30","26","0","0","0","0","0"
"AS","12/01/2023","1115","N297AK","SEA","19:55","21:03","139","141","68","21:15","12","0","0","2","0","68"
"AS","12/01/2023","1185","N423AS","SEA","16:50","16:50","139","144","0","17:01","11","0","0","0","0","0"
"AS","12/01/2023","1226","N920AK","SEA","10:15","10:05","142","147","-10","10:23","18","0","0","0","0","0"
"AS","12/01/2023","1227","N563AS","SEA","12:48","12:54","142","140","6","13:10","16","0","0","0","0","0"
"AS","12/02/2021","0149","N428AS","KOA","12:05","11:53","330","314","-12","12:09","16","0","0","0","0","0"
"AS","12/02/2021","0227","N275AK","SEA","09:10","09:01","146","120","-9","09:16","15","0","0","0","0","0"
"AS","12/02/2021","0335","N854VA","SEA","19:35","20:05","140","133","30","20:20","15","0","0","0","0","23"
"AS","12/02/2021","0365","N307AS","SEA","06:40","06:39","145","127","-1","06:49","10","0","0","0","0","0"
"AS","12/02/2021","0541","N433AS","SEA","17:00","16:59","140","140","-1","17:23","24","0","0","0","0","0"
"AS","12/02/2021","0659","N320AS","SEA","14:45","14:36","138","119","-9","14:47","11","0","0","0","0","0"
"AS","12/02/2021","0803","N535AS","OGG","09:00","08:49","345","330","-11","09:01","12","0","0","0","0","0"
"AS","12/02/2021","0837","N472AS","HNL","10:15","10:08","360","354","-7","10:26","18","0","0","0","0","0"
"AS","12/02/2021","1037","N478AS","SEA","11:20","11:12","146","120","-8","11:26","14","0","0","0","0","0"
"AS","12/02/2021","1330","N562AS","LAX","09:00","08:49","83","90","-11","09:05","16","0","0","0","0","0"
"AS","12/02/2022","0149","N464AS","KOA","10:20","10:23","335","368","3","10:37","14","0","0","36","0","0"
"AS","12/02/2022","0204","N457AS","SEA","19:10","00:00","136","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","0217","N556AS","PDX","17:30","17:21","109","110","-9","17:32","11","0","0","0","0","0"
"AS","12/02/2022","0227","N514AS","SEA","07:30","07:23","135","138","-7","07:51","28","0","0","0","0","0"
"AS","12/02/2022","0803","N513AS","OGG","07:00","06:42","345","342","-18","07:17","35","0","0","0","0","0"
"AS","12/02/2022","0804","N442AS","SEA","12:25","00:00","135","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","0837","N535AS","HNL","08:00","07:54","355","337","-6","08:08","14","0","0","0","0","0"
"AS","12/02/2022","0854","N247AK","SEA","16:10","00:00","134","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2022","1136","N934AK","PDX","08:15","08:07","110","101","-8","08:22","15","0","0","0","0","0"
"AS","12/02/2022","1270","N428AS","LAX","21:05","21:00","80","73","-5","21:12","12","0","0","0","0","0"
"AS","12/02/2022","1300","N285AK","SEA","15:10","15:09","134","131","-1","15:22","13","0","0","0","0","0"
"AS","12/02/2022","1420","N273AK","AUS","11:00","10:51","200","195","-9","11:08","17","0","0","0","0","0"
"AS","12/02/2023","0803","N481AS","OGG","11:00","10:46","346","352","-14","11:06","20","0","0","0","0","0"
"AS","12/02/2023","0837","N938AK","HNL","07:00","06:52","356","353","-8","07:16","24","0","0","0","0","0"
"AS","12/02/2023","0859","N590AS","LIH","07:30","07:26","353","348","-4","07:42","16","0","0","0","0","0"
"AS","12/02/2023","0869","N952AK","KOA","07:00","06:52","330","318","-8","07:05","13","0","0","0","0","0"
"AS","12/02/2023","1115","N268AK","SEA","18:50","18:43","139","137","-7","18:52","9","0","0","0","0","0"
"AS","12/02/2023","1185","N302AS","SEA","16:50","16:36","139","143","-14","16:50","14","0","0","0","0","0"
"AS","12/02/2023","1227","N924AK","SEA","12:48","12:43","142","142","-5","13:03","20","0","0","0","0","0"
"AS","12/03/2021","0149","N471AS","KOA","12:05","11:48","330","342","-17","12:21","33","0","0","0","0","0"
"AS","12/03/2021","0227","N492AS","SEA","09:10","09:44","146","134","34","09:57","13","22","0","0","0","0"
"AS","12/03/2021","0335","N638VA","SEA","19:35","19:25","140","172","-10","20:07","42","0","0","22","0","0"
"AS","12/03/2021","0365","N306AS","SEA","06:40","06:32","145","140","-8","06:45","13","0","0","0","0","0"
"AS","12/03/2021","0541","N268AK","SEA","17:00","19:12","140","170","132","19:56","44","0","0","30","0","132"
"AS","12/03/2021","0659","N287AK","SEA","14:45","14:45","138","129","0","15:04","19","0","0","0","0","0"
"AS","12/03/2021","0803","N512AS","OGG","09:00","08:49","345","321","-11","09:03","14","0","0","0","0","0"
"AS","12/03/2021","0837","N472AS","HNL","10:15","10:18","360","340","3","10:39","21","0","0","0","0","0"
"AS","12/03/2021","1037","N469AS","SEA","11:20","11:10","146","129","-10","11:34","24","0","0","0","0","0"
"AS","12/03/2022","0149","N508AS","LIH","08:00","08:14","355","357","14","08:30","16","14","0","2","0","0"
"AS","12/03/2022","0204","N506AS","SEA","19:10","18:58","136","129","-12","19:21","23","0","0","0","0","0"
"AS","12/03/2022","0243","N464AS","SEA","06:15","06:09","138","137","-6","06:33","24","0","0","0","0","0"
"AS","12/03/2022","0778","N323AS","SEA","09:30","00:00","136","0","0","00:00","0","0","0","0","0","0"
"AS","12/03/2022","0803","N581AS","OGG","07:00","06:49","345","387","-11","07:34","45","0","0","31","0","0"
"AS","12/03/2022","0804","N927VA","SEA","12:25","13:22","135","110","57","13:35","13","0","0","0","0","32"
"AS","12/03/2022","0837","N537AS","HNL","08:00","07:54","355","355","-6","08:11","17","0","0","0","0","0"
"AS","12/03/2022","1136","N428AS","PDX","08:15","08:12","110","107","-3","08:33","21","0","0","0","0","0"
"AS","12/03/2023","0837","N943AK","HNL","07:00","06:46","356","330","-14","06:59","13","0","0","0","0","0"
"AS","12/03/2023","0869","N481AS","KOA","07:00","06:56","330","333","-4","07:21","25","0","0","0","0","0"
"AS","12/03/2023","0965","N302AS","SEA","06:15","06:05","142","154","-10","06:33","28","0","0","0","0","0"
"AS","12/03/2023","1115","N302AS","SEA","19:55","19:45","139","141","-10","20:00","15","0","0","0","0","0"
"AS","12/03/2023","1226","N457AS","SEA","10:15","11:03","142","139","48","11:25","22","0","0","0","0","45"
"AS","12/03/2023","1227","N302AS","SEA","12:48","12:47","142","133","-1","12:58","11","0","0","0","0","0"
"AS","12/04/2021","0149","N408AS","KOA","12:05","12:01","330","329","-4","12:19","18","0","0","0","0","0"
"AS","12/04/2021","0335","N844VA","SEA","19:35","19:29","140","146","-6","19:53","24","0","0","0","0","0"
"AS","12/04/2021","0365","N428AS","SEA","06:40","06:34","145","137","-6","06:49","15","0","0","0","0","0"
"AS","12/04/2021","0541","N294AK","SEA","17:00","16:58","140","146","-2","17:16","18","0","0","0","0","0"
"AS","12/04/2021","0803","N472AS","OGG","09:00","08:50","345","353","-10","09:04","14","0","0","0","0","0"
"AS","12/04/2021","0837","N517AS","HNL","10:15","10:04","360","377","-11","10:32","28","0","0","0","0","0"
"AS","12/04/2021","1037","N305AS","SEA","11:20","11:16","146","134","-4","11:33","17","0","0","0","0","0"
"AS","12/04/2022","0149","N481AS","KOA","10:20","10:19","335","348","-1","10:37","18","0","0","0","0","0"
"AS","12/04/2022","0204","N407AS","SEA","19:10","20:33","136","123","83","20:47","14","0","0","0","0","70"
"AS","12/04/2022","0217","N457AS","PDX","17:50","17:55","109","93","5","18:01","6","0","0","0","0","0"
"AS","12/04/2022","0778","N315AS","SEA","09:30","09:54","136","122","24","10:08","14","0","0","0","0","0"
"AS","12/04/2022","0803","N594AS","OGG","07:00","06:48","345","347","-12","07:03","15","0","0","0","0","0"
"AS","12/04/2022","0804","N407AS","SEA","12:25","14:13","135","141","108","14:38","25","0","0","6","0","108"
"AS","12/04/2022","0837","N584AS","HNL","08:00","07:56","355","374","-4","08:10","14","0","0","15","0","0"
"AS","12/04/2022","0854","N494AS","SEA","16:10","16:38","134","129","28","16:51","13","0","0","0","0","23"
"AS","12/04/2022","1136","N530AS","PDX","08:15","08:01","110","102","-14","08:16","15","0","0","0","0","0"
"AS","12/04/2022","1300","N268AK","SEA","15:10","14:59","134","122","-11","15:16","17","0","0","0","0","0"
"AS","12/04/2022","1420","N298AK","AUS","11:00","10:51","200","216","-9","11:04","13","0","0","0","0","0"
"AS","12/04/2023","0837","N924AK","HNL","07:00","07:00","356","338","0","07:21","21","0","0","0","0","0"
"AS","12/04/2023","0869","N949AK","KOA","07:00","06:56","330","317","-4","07:18","22","0","0","0","0","0"
"AS","12/04/2023","0965","N514AS","SEA","06:15","06:07","142","152","-8","06:32","25","0","0","0","0","0"
"AS","12/04/2023","1115","N303AS","SEA","19:55","19:50","139","171","-5","20:04","14","0","0","27","0","0"
"AS","12/04/2023","1185","N302AS","SEA","16:50","16:40","139","136","-10","16:56","16","0","0","0","0","0"
"AS","12/04/2023","1226","N302AS","SEA","10:15","10:06","142","132","-9","10:20","14","0","0","0","0","0"
"AS","12/04/2023","1227","N579AS","SEA","12:48","13:04","142","125","16","13:19","15","0","0","0","0","0"
"AS","12/05/2021","0149","N423AS","KOA","12:05","12:00","330","349","-5","12:15","15","0","0","0","0","0"
"AS","12/05/2021","0227","N275AK","SEA","09:10","09:08","146","132","-2","09:18","10","0","0","0","0","0"
"AS","12/05/2021","0335","N629VA","SEA","19:35","19:37","140","120","2","19:49","12","0","0","0","0","0"
"AS","12/05/2021","0365","N517AS","SEA","06:40","06:31","145","156","-9","06:50","19","0","0","0","0","0"
"AS","12/05/2021","0541","N278AK","SEA","17:00","16:51","140","140","-9","17:19","28","0","0","0","0","0"
"AS","12/05/2021","0659","N265AK","SEA","14:45","14:35","138","128","-10","14:48","13","0","0","0","0","0"
"AS","12/05/2021","0803","N579AS","OGG","09:00","08:50","345","350","-10","09:05","15","0","0","0","0","0"
"AS","12/05/2021","0837","N568AS","HNL","10:15","10:13","360","357","-2","10:31","18","0","0","0","0","0"
"AS","12/05/2021","1037","N294AK","SEA","11:20","11:20","146","126","0","11:36","16","0","0","0","0","0"
"AS","12/05/2022","0149","N920AK","KOA","10:20","10:12","335","340","-8","10:27","15","0","0","0","0","0"
"AS","12/05/2022","0204","N481AS","SEA","19:10","19:02","136","157","-8","19:12","10","0","0","0","0","0"
"AS","12/05/2022","0217","N943AK","PDX","17:30","17:18","109","108","-12","17:35","17","0","0","0","0","0"
"AS","12/05/2022","0778","N297AK","SEA","09:30","09:27","136","117","-3","09:39","12","0","0","0","0","0"
"AS","12/05/2022","0803","N532AS","OGG","07:00","06:47","345","343","-13","07:02","15","0","0","0","0","0"
