Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2023","3697","N232NN","PHX","06:10","06:00","120","132","-10","06:32","32","0","0","0","0","0"
"MQ","12/01/2023","3851","N302RN","PHX","12:50","12:45","120","120","-5","13:08","23","0","0","0","0","0"
"MQ","12/02/2023","3697","N312BT","PHX","06:10","06:03","120","115","-7","06:31","28","0","0","0","0","0"
"MQ","12/02/2023","3851","N312BT","PHX","12:50","12:49","120","119","-1","13:13","24","0","0","0","0","0"
"MQ","12/03/2023","3697","N232NN","PHX","06:10","05:59","120","108","-11","06:14","15","0","0","0","0","0"
"MQ","12/03/2023","3851","N282NN","PHX","12:50","12:42","120","114","-8","12:55","13","0","0","0","0","0"
"MQ","12/04/2023","3697","N232NN","PHX","06:10","06:14","120","115","4","06:34","20","0","0","0","0","0"
"MQ","12/04/2023","3851","N221NN","PHX","12:50","12:49","120","123","-1","13:12","23","0","0","0","0","0"
"MQ","12/05/2023","4169","N300LK","PHX","06:10","06:01","121","128","-9","06:31","30","0","0","0","0","0"
"MQ","12/06/2023","3851","N292NN","PHX","12:50","12:45","121","115","-5","13:01","16","0","0","0","0","0"
"MQ","12/07/2023","3851","N292NN","PHX","12:50","12:47","121","108","-3","13:02","15","0","0","0","0","0"
"MQ","12/08/2023","3851","N209NN","PHX","12:50","12:47","121","111","-3","13:00","13","0","0","0","0","0"
"MQ","12/09/2023","3851","N261NN","PHX","12:50","12:42","121","111","-8","12:57","15","0","0","0","0","0"
"MQ","12/10/2023","3851","N247NN","PHX","12:50","13:18","121","106","28","13:29","11","0","0","0","0","0"
"MQ","12/11/2023","3851","N239NN","PHX","12:50","12:44","121","103","-6","12:56","12","0","0","0","0","0"
"MQ","12/13/2023","3851","N298FR","PHX","12:50","12:44","121","109","-6","12:57","13","0","0","0","0","0"
"MQ","12/14/2023","3851","N250NN","PHX","12:50","12:46","121","114","-4","13:00","14","0","0","0","0","0"
"MQ","12/15/2023","3851","N304KM","PHX","12:50","12:49","121","112","-1","13:03","14","0","0","0","0","0"
"MQ","12/16/2023","3851","N298FR","PHX","12:50","12:41","121","104","-9","12:53","12","0","0","0","0","0"
"MQ","12/17/2023","3851","N227NN","PHX","12:50","12:53","121","111","3","13:05","12","0","0","0","0","0"
"MQ","12/18/2023","3851","N222NS","PHX","12:50","13:02","121","111","12","13:14","12","0","0","0","0","0"
"MQ","12/20/2023","3851","N234JW","PHX","12:52","12:49","116","108","-3","12:59","10","0","0","0","0","0"
"MQ","12/21/2023","3697","N289MW","PHX","06:10","06:04","115","121","-6","06:30","26","0","0","0","0","0"
"MQ","12/21/2023","3851","N277NN","PHX","12:52","12:45","116","121","-7","12:59","14","0","0","0","0","0"
"MQ","12/22/2023","3697","N449YX","PHX","06:10","06:11","115","134","1","06:34","23","1","0","19","0","0"
"MQ","12/22/2023","3851","N239NN","PHX","12:52","12:47","116","117","-5","13:03","16","0","0","0","0","0"
"MQ","12/23/2023","3697","N214NN","PHX","06:10","06:05","115","129","-5","06:31","26","0","0","0","0","0"
"MQ","12/23/2023","3851","N449YX","PHX","12:52","12:48","116","118","-4","13:04","16","0","0","0","0","0"
"MQ","12/24/2023","3697","N449YX","PHX","06:10","06:06","115","140","-4","06:30","24","0","0","21","0","0"
"MQ","12/25/2023","3697","N205NN","PHX","06:10","06:11","115","117","1","06:31","20","0","0","0","0","0"
"MQ","12/26/2023","3697","N239NN","PHX","06:10","06:07","115","112","-3","06:30","23","0","0","0","0","0"
"MQ","12/26/2023","3851","N200NN","PHX","12:52","13:05","116","108","13","13:15","10","0","0","0","0","0"
"MQ","12/27/2023","3697","N299JJ","PHX","06:10","06:39","115","111","29","06:56","17","25","0","0","0","0"
"MQ","12/27/2023","3851","N300LK","PHX","12:52","12:49","116","115","-3","13:03","14","0","0","0","0","0"
"MQ","12/28/2023","3697","N233NN","PHX","06:10","06:01","115","122","-9","06:32","31","0","0","0","0","0"
"MQ","12/28/2023","3851","N450YX","PHX","12:52","12:51","116","101","-1","13:03","12","0","0","0","0","0"
"MQ","12/29/2023","3697","N209NN","PHX","06:10","06:02","115","112","-8","06:30","28","0","0","0","0","0"
"MQ","12/29/2023","3851","N304KM","PHX","12:52","13:00","116","97","8","13:09","9","0","0","0","0","0"
"MQ","12/30/2023","3697","N303DD","PHX","06:10","06:08","115","120","-2","06:39","31","0","0","0","0","0"
"MQ","12/30/2023","3851","N247NN","PHX","12:52","13:02","116","102","10","13:13","11","0","0","0","0","0"
"MQ","12/31/2023","3697","N247NN","PHX","06:10","06:10","115","121","0","06:35","25","0","0","0","0","0"
"MQ","12/31/2023","3851","N303DD","PHX","12:52","12:50","116","114","-2","13:09","19","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
