Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: Hawaiian Airlines Inc. (HA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"HA","12/01/2021","0043","N218HA","HNL","08:20","08:30","350","326","10","08:49","19","0","0","0","0","0"
"HA","12/01/2021","0045","N212HA","OGG","10:50","11:17","335","301","27","11:31","14","0","0","0","0","0"
"HA","12/01/2022","0043","N226HA","HNL","08:00","08:02","330","341","2","08:13","11","0","0","0","0","0"
"HA","12/01/2022","0045","N204HA","OGG","07:00","06:53","325","318","-7","07:07","14","0","0","0","0","0"
"HA","12/01/2023","0043","N230HA","HNL","08:00","08:01","340","349","1","08:16","15","0","0","0","0","0"
"HA","12/02/2021","0043","N218HA","HNL","08:20","08:14","350","331","-6","08:30","16","0","0","0","0","0"
"HA","12/02/2021","0045","N212HA","OGG","10:50","10:46","335","320","-4","11:03","17","0","0","0","0","0"
"HA","12/02/2022","0043","N208HA","HNL","08:00","07:59","335","332","-1","08:12","13","0","0","0","0","0"
"HA","12/02/2022","0045","N228HA","OGG","07:00","06:50","325","310","-10","06:59","9","0","0","0","0","0"
"HA","12/02/2023","0043","N217HA","HNL","08:05","08:04","340","342","-1","08:13","9","0","0","0","0","0"
"HA","12/03/2021","0043","N227HA","HNL","08:20","08:14","350","346","-6","08:30","16","0","0","0","0","0"
"HA","12/03/2021","0045","N212HA","OGG","10:50","10:46","335","0","-4","11:05","19","0","0","0","0","0"
"HA","12/03/2022","0043","N217HA","HNL","08:00","07:54","335","352","-6","08:06","12","0","0","0","0","0"
"HA","12/03/2022","0045","N227HA","OGG","07:00","06:55","325","323","-5","07:06","11","0","0","0","0","0"
"HA","12/03/2023","0043","N216HA","HNL","08:55","09:04","345","334","9","09:16","12","0","0","0","0","0"
"HA","12/04/2021","0043","N217HA","HNL","08:20","08:25","350","342","5","08:35","10","0","0","0","0","0"
"HA","12/04/2021","0045","N223HA","OGG","10:50","10:42","335","349","-8","11:09","27","0","0","0","0","0"
"HA","12/04/2022","0043","N208HA","HNL","08:00","08:00","335","356","0","08:11","11","21","0","0","0","0"
"HA","12/04/2022","0045","N204HA","OGG","07:00","06:55","325","334","-5","07:06","11","0","0","0","0","0"
"HA","12/04/2023","0045","N216HA","OGG","09:15","09:08","335","331","-7","09:21","13","0","0","0","0","0"
"HA","12/05/2021","0043","N202HA","HNL","08:20","12:14","350","350","234","12:32","18","234","0","0","0","0"
"HA","12/05/2021","0045","N213HA","OGG","10:50","10:38","335","341","-12","10:49","11","0","0","0","0","0"
"HA","12/05/2022","0043","N209HA","HNL","08:00","09:17","335","382","77","10:02","45","47","77","0","0","0"
"HA","12/05/2022","0045","N228HA","OGG","07:00","06:56","325","323","-4","07:06","10","0","0","0","0","0"
"HA","12/05/2023","0043","N209HA","HNL","08:05","08:00","340","361","-5","08:22","22","16","0","0","0","0"
"HA","12/06/2021","0043","N214HA","HNL","08:20","08:17","350","343","-3","08:31","14","0","0","0","0","0"
"HA","12/06/2021","0045","N215HA","OGG","10:50","10:33","335","326","-17","10:48","15","0","0","0","0","0"
"HA","12/06/2022","0043","N208HA","HNL","08:00","07:57","335","324","-3","08:09","12","0","0","0","0","0"
"HA","12/06/2022","0045","N227HA","OGG","07:00","06:47","325","322","-13","06:57","10","0","0","0","0","0"
"HA","12/06/2023","0043","N202HA","HNL","08:05","10:05","340","375","120","10:24","19","155","0","0","0","0"
"HA","12/07/2021","0043","N202HA","HNL","08:20","08:14","350","330","-6","08:30","16","0","0","0","0","0"
"HA","12/07/2021","0045","N216HA","OGG","10:50","10:33","335","341","-17","10:46","13","0","0","0","0","0"
"HA","12/07/2022","0043","N209HA","HNL","08:00","07:54","335","346","-6","08:07","13","0","0","0","0","0"
"HA","12/07/2022","0045","N223HA","OGG","07:00","06:53","325","312","-7","07:04","11","0","0","0","0","0"
"HA","12/07/2023","0043","N202HA","HNL","08:05","09:51","340","336","106","10:00","9","102","0","0","0","0"
"HA","12/07/2023","0045","N228HA","OGG","09:05","09:03","335","328","-2","09:13","10","0","0","0","0","0"
"HA","12/08/2021","0043","N218HA","HNL","08:20","08:12","350","330","-8","08:26","14","0","0","0","0","0"
"HA","12/08/2021","0045","N212HA","OGG","10:50","10:40","335","313","-10","10:50","10","0","0","0","0","0"
"HA","12/08/2022","0043","N217HA","HNL","08:00","08:11","335","329","11","08:24","13","0","0","0","0","0"
"HA","12/08/2022","0045","N223HA","OGG","07:00","06:52","325","305","-8","07:02","10","0","0","0","0","0"
"HA","12/08/2023","0043","N208HA","HNL","08:05","08:04","340","334","-1","08:21","17","0","0","0","0","0"
"HA","12/08/2023","0045","N218HA","OGG","09:15","09:04","335","321","-11","09:19","15","0","0","0","0","0"
"HA","12/09/2021","0043","N220HA","HNL","08:20","08:15","350","316","-5","08:27","12","0","0","0","0","0"
"HA","12/09/2021","0045","N204HA","OGG","10:50","10:45","335","315","-5","10:57","12","0","0","0","0","0"
"HA","12/09/2022","0043","N223HA","HNL","08:00","08:10","335","318","10","08:20","10","0","0","0","0","0"
"HA","12/09/2022","0045","N217HA","OGG","07:00","06:48","325","300","-12","06:57","9","0","0","0","0","0"
"HA","12/09/2023","0043","N202HA","HNL","08:05","08:16","340","352","11","08:32","16","23","0","0","0","0"
"HA","12/10/2021","0043","N223HA","HNL","08:20","08:15","350","326","-5","08:28","13","0","0","0","0","0"
"HA","12/10/2021","0045","N230HA","OGG","10:50","10:40","335","299","-10","10:51","11","0","0","0","0","0"
"HA","12/10/2022","0043","N223HA","HNL","08:00","08:10","335","339","10","08:19","9","0","0","0","0","0"
"HA","12/10/2022","0045","N217HA","OGG","07:00","07:06","325","324","6","07:19","13","0","0","0","0","0"
"HA","12/10/2023","0043","N218HA","HNL","08:55","08:50","345","345","-5","09:04","14","0","0","0","0","0"
"HA","12/11/2021","0043","N212HA","HNL","08:20","08:19","350","332","-1","08:31","12","0","0","0","0","0"
"HA","12/11/2021","0045","N213HA","OGG","10:50","10:47","335","330","-3","10:58","11","0","0","0","0","0"
"HA","12/11/2022","0043","N208HA","HNL","08:00","08:00","335","322","0","08:09","9","0","0","0","0","0"
"HA","12/11/2022","0045","N227HA","OGG","07:00","07:00","325","312","0","07:10","10","0","0","0","0","0"
"HA","12/11/2023","0045","N218HA","OGG","09:15","09:07","335","294","-8","09:17","10","0","0","0","0","0"
"HA","12/12/2021","0043","N209HA","HNL","08:20","08:19","350","349","-1","08:29","10","0","0","0","0","0"
"HA","12/12/2021","0045","N212HA","OGG","10:50","10:48","335","325","-2","10:57","9","0","0","0","0","0"
"HA","12/12/2022","0043","N216HA","HNL","08:00","07:46","335","335","-14","07:58","12","0","0","0","0","0"
"HA","12/12/2022","0045","","OGG","07:00","00:00","325","0","0","00:00","0","0","0","0","0","0"
"HA","12/12/2023","0043","N217HA","HNL","08:05","08:02","340","331","-3","08:13","11","0","0","0","0","0"
"HA","12/12/2023","0045","N228HA","OGG","09:15","09:10","335","313","-5","09:22","12","0","0","0","0","0"
"HA","12/13/2021","0043","N216HA","HNL","08:20","08:15","350","346","-5","08:30","15","0","0","0","0","0"
"HA","12/13/2021","0045","N227HA","OGG","10:50","10:39","335","332","-11","10:49","10","0","0","0","0","0"
"HA","12/13/2022","0043","N217HA","HNL","08:00","07:59","335","333","-1","08:12","13","0","0","0","0","0"
"HA","12/13/2022","0045","N218HA","OGG","07:00","06:53","325","327","-7","07:05","12","0","0","0","0","0"
"HA","12/13/2023","0043","N223HA","HNL","08:05","07:59","340","339","-6","08:10","11","0","0","0","0","0"
"HA","12/14/2021","0043","N202HA","HNL","08:20","08:23","350","327","3","08:37","14","0","0","0","0","0"
"HA","12/14/2021","0045","N226HA","OGG","10:50","10:47","335","310","-3","10:59","12","0","0","0","0","0"
"HA","12/14/2022","0043","N217HA","HNL","08:00","07:58","335","329","-2","08:08","10","0","0","0","0","0"
"HA","12/14/2022","0045","N218HA","OGG","07:00","07:07","325","316","7","07:17","10","0","0","0","0","0"
"HA","12/14/2023","0043","N223HA","HNL","08:05","08:07","340","352","2","08:19","12","0","0","0","0","0"
"HA","12/14/2023","0045","N228HA","OGG","09:05","08:59","335","347","-6","09:13","14","0","0","0","0","0"
"HA","12/15/2021","0043","N214HA","HNL","08:20","08:11","350","336","-9","08:22","11","0","0","0","0","0"
"HA","12/15/2021","0045","N218HA","OGG","10:20","10:13","335","311","-7","10:26","13","0","0","0","0","0"
"HA","12/15/2022","0043","N226HA","HNL","08:00","08:24","335","335","24","08:35","11","24","0","0","0","0"
"HA","12/15/2022","0045","N208HA","OGG","07:00","06:58","325","325","-2","07:13","15","0","0","0","0","0"
"HA","12/15/2023","0043","N213HA","HNL","08:05","08:29","340","342","24","08:40","11","26","0","0","0","0"
"HA","12/15/2023","0045","N218HA","OGG","09:05","08:59","335","331","-6","09:13","14","0","0","0","0","0"
"HA","12/16/2021","0043","N228HA","HNL","08:35","08:23","350","324","-12","08:39","16","0","0","0","0","0"
"HA","12/16/2021","0045","N215HA","OGG","10:20","10:15","335","342","-5","10:36","21","0","0","0","0","0"
