Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2226","N637QX","PDX","13:35","13:33","107","99","-2","13:46","13","0","0","0","0","0"
"QX","12/01/2021","2244","N648QX","LAX","15:00","14:56","86","86","-4","15:08","12","0","0","0","0","0"
"QX","12/01/2021","2253","N628QX","SAN","10:15","10:09","80","98","-6","10:36","27","0","0","0","0","0"
"QX","12/01/2021","2503","N628QX","BOI","19:10","19:08","95","90","-2","19:20","12","0","0","0","0","0"
"QX","12/01/2023","2057","N631QX","PDX","18:35","18:25","109","108","-10","18:33","8","0","0","0","0","0"
"QX","12/01/2023","2402","N656QX","PDX","09:35","09:26","110","124","-9","09:42","16","0","0","0","0","0"
"QX","12/01/2023","2405","N633QX","PDX","14:50","14:47","109","114","-3","15:00","13","0","0","0","0","0"
"QX","12/02/2021","2049","N651QX","PDX","09:50","09:47","107","100","-3","09:58","11","0","0","0","0","0"
"QX","12/02/2021","2051","N636QX","LAX","17:00","16:57","86","87","-3","17:18","21","0","0","0","0","0"
"QX","12/02/2021","2129","N647QX","SAN","19:30","20:00","79","82","30","20:13","13","30","0","3","0","0"
"QX","12/02/2021","2244","N637QX","LAX","15:00","15:27","86","77","27","15:39","12","18","0","0","0","0"
"QX","12/02/2021","2253","N647QX","SAN","10:15","10:11","80","88","-4","10:28","17","0","0","0","0","0"
"QX","12/02/2021","2503","N651QX","BOI","19:10","19:03","95","94","-7","19:13","10","0","0","0","0","0"
"QX","12/02/2021","2566","N625QX","LAX","10:30","10:24","83","98","-6","10:41","17","0","0","0","0","0"
"QX","12/02/2022","2033","N649QX","SEA","06:15","06:07","138","158","-8","06:33","26","0","0","0","0","0"
"QX","12/02/2022","2477","N630QX","SEA","09:30","00:00","136","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2023","2057","N662QX","PDX","18:35","18:25","109","130","-10","18:37","12","0","0","0","0","0"
"QX","12/02/2023","2402","N647QX","PDX","09:35","09:27","110","116","-8","09:36","9","0","0","0","0","0"
"QX","12/02/2023","2405","N653QX","PDX","14:50","14:36","109","121","-14","14:47","11","0","0","0","0","0"
"QX","12/03/2021","2049","N625QX","PDX","09:50","09:44","107","102","-6","09:55","11","0","0","0","0","0"
"QX","12/03/2021","2051","N626QX","LAX","17:00","16:55","86","97","-5","17:22","27","0","0","0","0","0"
"QX","12/03/2021","2129","N620QX","SAN","19:30","19:37","79","92","7","19:54","17","7","0","13","0","0"
"QX","12/03/2021","2226","N634QX","PDX","13:35","13:29","107","104","-6","13:38","9","0","0","0","0","0"
"QX","12/03/2021","2244","N635QX","LAX","15:00","14:52","86","85","-8","15:12","20","0","0","0","0","0"
"QX","12/03/2021","2253","N644QX","SAN","10:15","10:09","80","96","-6","10:35","26","0","0","0","0","0"
"QX","12/03/2021","2503","N638QX","BOI","19:10","19:02","95","96","-8","19:15","13","0","0","0","0","0"
"QX","12/03/2021","2552","N637QX","LAX","07:20","07:19","83","74","-1","07:29","10","0","0","0","0","0"
"QX","12/03/2021","2566","N635QX","LAX","10:30","10:23","83","85","-7","10:44","21","0","0","0","0","0"
"QX","12/03/2022","2411","N625QX","SEA","07:15","07:15","138","134","0","07:44","29","0","0","0","0","0"
"QX","12/03/2023","2057","N661QX","PDX","18:35","18:23","109","107","-12","18:34","11","0","0","0","0","0"
"QX","12/03/2023","2402","N660QX","PDX","09:35","09:25","110","106","-10","09:37","12","0","0","0","0","0"
"QX","12/03/2023","2405","N660QX","PDX","14:50","14:47","109","104","-3","14:57","10","0","0","0","0","0"
"QX","12/04/2021","2129","N630QX","SAN","19:30","19:23","79","75","-7","19:31","8","0","0","0","0","0"
"QX","12/04/2021","2244","N635QX","LAX","15:00","14:57","86","77","-3","15:07","10","0","0","0","0","0"
"QX","12/04/2021","2253","N622QX","SAN","10:15","10:12","80","97","-3","10:37","25","0","0","0","0","0"
"QX","12/04/2021","2503","N637QX","BOI","19:10","19:07","95","93","-3","19:20","13","0","0","0","0","0"
"QX","12/04/2022","2033","N622QX","SEA","06:15","06:15","138","127","0","06:36","21","0","0","0","0","0"
"QX","12/04/2022","2441","N629QX","SEA","07:30","07:36","135","113","6","07:46","10","0","0","0","0","0"
"QX","12/04/2023","2057","N624QX","PDX","18:35","18:32","109","108","-3","18:44","12","0","0","0","0","0"
"QX","12/04/2023","2402","N655QX","PDX","09:35","09:25","110","113","-10","09:43","18","0","0","0","0","0"
"QX","12/04/2023","2405","N620QX","PDX","14:50","14:40","109","102","-10","14:48","8","0","0","0","0","0"
"QX","12/05/2021","2049","N622QX","PDX","09:45","09:41","107","106","-4","09:52","11","0","0","0","0","0"
"QX","12/05/2021","2051","N620QX","LAX","17:00","16:55","86","69","-5","17:07","12","0","0","0","0","0"
"QX","12/05/2021","2129","N649QX","SAN","19:30","19:29","79","73","-1","19:40","11","0","0","0","0","0"
"QX","12/05/2021","2226","N624QX","PDX","13:35","13:30","107","111","-5","13:47","17","0","0","0","0","0"
"QX","12/05/2021","2244","N645QX","LAX","15:00","15:01","86","78","1","15:10","9","0","0","0","0","0"
"QX","12/05/2021","2253","N631QX","SAN","10:15","10:11","80","86","-4","10:29","18","0","0","0","0","0"
"QX","12/05/2021","2503","N630QX","BOI","19:10","19:07","95","89","-3","19:16","9","0","0","0","0","0"
"QX","12/05/2021","2566","N648QX","LAX","10:30","10:27","83","80","-3","10:40","13","0","0","0","0","0"
"QX","12/05/2022","2033","N639QX","SEA","06:15","06:11","138","135","-4","06:37","26","0","0","0","0","0"
"QX","12/05/2022","2441","N634QX","SEA","07:30","07:23","135","123","-7","07:33","10","0","0","0","0","0"
"QX","12/05/2023","2402","N624QX","PDX","09:35","09:29","110","99","-6","09:39","10","0","0","0","0","0"
"QX","12/05/2023","2405","N624QX","PDX","14:50","16:16","109","100","86","16:29","13","77","0","0","0","0"
"QX","12/06/2021","2049","N648QX","PDX","09:45","09:38","107","104","-7","09:50","12","0","0","0","0","0"
"QX","12/06/2021","2051","N648QX","LAX","17:00","17:00","86","70","0","17:11","11","0","0","0","0","0"
"QX","12/06/2021","2129","N643QX","SAN","19:30","19:24","79","71","-6","19:33","9","0","0","0","0","0"
"QX","12/06/2021","2226","N639QX","PDX","13:35","13:32","107","104","-3","13:43","11","0","0","0","0","0"
"QX","12/06/2021","2244","N632QX","LAX","15:00","14:53","86","87","-7","15:09","16","0","0","0","0","0"
"QX","12/06/2021","2253","N643QX","SAN","10:15","10:20","80","80","5","10:32","12","0","0","0","0","0"
