Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: JetBlue Airways (B6)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","12/01/2021","0670","N760JB","JFK","22:55","22:41","321","307","-14","22:52","11","0","0","0","0","0"
"B6","12/02/2021","0670","N980JT","JFK","22:55","23:52","321","302","57","00:02","10","0","0","0","0","38"
"B6","12/03/2021","0670","N625JB","JFK","22:55","22:47","321","323","-8","23:01","14","0","0","0","0","0"
"B6","12/04/2021","0670","N648JB","JFK","22:55","22:47","321","329","-8","22:59","12","0","0","0","0","0"
"B6","12/05/2021","0670","N805JB","JFK","22:55","22:45","321","321","-10","22:55","10","0","0","0","0","0"
"B6","12/06/2021","0670","N646JB","JFK","22:55","23:25","321","312","30","23:44","19","0","0","0","0","21"
"B6","12/08/2021","0670","N636JB","JFK","22:55","23:03","321","296","8","23:16","13","0","0","0","0","0"
"B6","12/09/2021","0670","N766JB","JFK","22:55","22:59","321","299","4","23:10","11","0","0","0","0","0"
"B6","12/10/2021","0670","N624JB","JFK","22:55","22:54","321","330","-1","23:06","12","0","0","0","0","0"
"B6","12/11/2021","0670","N715JB","JFK","22:55","22:47","321","291","-8","23:00","13","0","0","0","0","0"
"B6","12/12/2021","0670","N834JB","JFK","22:55","23:07","321","293","12","23:22","15","0","0","0","0","0"
"B6","12/13/2021","0670","N563JB","JFK","22:55","00:02","321","307","67","00:13","11","0","0","0","0","53"
"B6","12/15/2021","0670","N729JB","JFK","22:55","02:08","321","308","193","02:18","10","0","0","0","0","180"
"B6","12/16/2021","0670","N643JB","JFK","22:55","23:31","321","305","36","23:44","13","2","0","0","0","18"
"B6","12/17/2021","0670","N649JB","JFK","22:55","23:08","321","318","13","23:20","12","0","0","0","0","0"
"B6","12/18/2021","0670","N526JL","JFK","22:55","22:59","321","326","4","23:10","11","0","0","0","0","0"
"B6","12/19/2021","0670","N661JB","JFK","22:55","22:55","321","304","0","23:05","10","0","0","0","0","0"
"B6","12/20/2021","0670","N556JB","JFK","22:55","23:09","321","325","14","23:37","28","0","0","4","0","14"
"B6","12/21/2021","0670","N635JB","JFK","13:51","13:52","326","323","1","14:06","14","0","0","0","0","0"
"B6","12/22/2021","0670","N583JB","JFK","13:51","14:06","326","302","15","14:16","10","0","0","0","0","0"
"B6","12/23/2021","0670","N558JB","JFK","13:51","15:31","326","285","100","15:42","11","59","0","0","0","0"
"B6","12/24/2021","0670","N973JT","JFK","13:51","14:33","326","313","42","14:51","18","1","0","0","0","28"
"B6","12/25/2021","0670","N621JB","JFK","13:51","00:00","326","0","0","00:00","0","0","0","0","0","0"
"B6","12/26/2021","0670","N746JB","JFK","13:51","17:35","326","299","224","17:46","11","25","0","0","0","172"
"B6","12/27/2021","0670","N821JB","JFK","13:51","15:34","326","277","103","15:48","14","10","0","0","0","44"
"B6","12/28/2021","0670","N706JB","JFK","13:51","15:34","326","292","103","15:45","11","3","0","0","0","66"
"B6","12/29/2021","0670","N570JB","JFK","13:51","00:00","326","0","0","00:00","0","0","0","0","0","0"
"B6","12/30/2021","0670","N503JB","JFK","13:51","13:53","326","312","2","14:09","16","0","0","0","0","0"
"B6","12/31/2021","0670","N509JB","JFK","13:51","16:29","326","320","158","16:42","13","0","0","0","0","152"

 SOURCE: Bureau of Transportation Statistics
