Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2023","0451","N927NK","SAN","14:44","14:41","91","78","-3","14:56","15","0","0","0","0","0"
"NK","12/01/2023","2519","N928NK","DFW","12:19","12:15","213","201","-4","12:34","19","0","0","0","0","0"
"NK","12/01/2023","2521","N928NK","LAS","07:05","06:56","89","81","-9","07:09","13","0","0","0","0","0"
"NK","12/01/2023","2523","N981NK","LAS","20:27","20:24","91","88","-3","20:36","12","0","0","0","0","0"
"NK","12/02/2023","0451","N985NK","SAN","14:44","14:37","91","78","-7","14:49","12","0","0","0","0","0"
"NK","12/02/2023","2519","N961NK","DFW","12:19","12:39","213","194","20","12:54","15","0","0","0","0","0"
"NK","12/02/2023","2521","N961NK","LAS","07:05","07:23","89","79","18","07:33","10","0","0","0","0","0"
"NK","12/02/2023","2523","N607NK","LAS","20:20","20:10","91","80","-10","20:20","10","0","0","0","0","0"
"NK","12/03/2023","0451","N966NK","SAN","14:44","14:34","91","86","-10","14:49","15","0","0","0","0","0"
"NK","12/03/2023","2519","N965NK","DFW","12:19","12:11","213","197","-8","12:22","11","0","0","0","0","0"
"NK","12/03/2023","2521","N972NK","LAS","07:05","07:02","89","130","-3","07:16","14","0","0","38","0","0"
"NK","12/03/2023","2523","N978NK","LAS","20:27","20:22","91","79","-5","20:32","10","0","0","0","0","0"
"NK","12/04/2023","0451","N980NK","SAN","15:01","14:53","94","81","-8","15:02","9","0","0","0","0","0"
"NK","12/04/2023","2519","N929NK","DFW","11:50","11:45","213","198","-5","11:58","13","0","0","0","0","0"
"NK","12/04/2023","2521","N971NK","LAS","07:05","06:56","91","84","-9","07:10","14","0","0","0","0","0"
"NK","12/04/2023","2523","N929NK","LAS","21:22","21:53","90","81","31","22:03","10","5","0","17","0","0"
"NK","12/05/2023","2519","N929NK","DFW","11:52","11:49","213","215","-3","12:02","13","0","0","0","0","0"
"NK","12/05/2023","2521","N971NK","LAS","07:05","06:59","91","102","-6","07:20","21","0","0","0","0","0"
"NK","12/05/2023","2523","N929NK","LAS","21:22","21:13","90","79","-9","21:24","11","0","0","0","0","0"
"NK","12/06/2023","2519","N653NK","DFW","11:52","11:43","213","206","-9","11:55","12","0","0","0","0","0"
"NK","12/06/2023","2521","N913NK","LAS","07:05","07:00","91","92","-5","07:17","17","0","0","0","0","0"
"NK","12/06/2023","2523","N965NK","LAS","21:22","21:09","90","81","-13","21:22","13","0","0","0","0","0"
"NK","12/07/2023","0451","N908NK","SAN","15:01","14:58","94","75","-3","15:08","10","0","0","0","0","0"
"NK","12/07/2023","2519","N950NK","DFW","12:10","12:31","211","198","21","12:46","15","0","0","0","0","0"
"NK","12/07/2023","2521","N978NK","LAS","07:05","06:59","91","97","-6","07:24","25","0","0","0","0","0"
"NK","12/07/2023","2523","N950NK","LAS","21:22","21:32","90","80","10","21:44","12","0","0","0","0","0"
"NK","12/08/2023","0451","N971NK","SAN","15:01","15:02","94","78","1","15:14","12","0","0","0","0","0"
"NK","12/08/2023","2519","N983NK","DFW","11:50","11:44","213","222","-6","12:06","22","0","0","0","0","0"
"NK","12/08/2023","2521","N983NK","LAS","07:05","07:02","91","93","-3","07:14","12","0","0","0","0","0"
"NK","12/08/2023","2523","N983NK","LAS","21:22","21:22","90","78","0","21:35","13","0","0","0","0","0"
"NK","12/09/2023","0451","N954NK","SAN","15:01","14:48","94","77","-13","14:57","9","0","0","0","0","0"
"NK","12/09/2023","2519","N929NK","DFW","12:10","12:25","211","212","15","12:37","12","15","0","1","0","0"
"NK","12/09/2023","2521","N929NK","LAS","07:05","06:55","91","97","-10","07:09","14","0","0","0","0","0"
"NK","12/09/2023","2523","N974NK","LAS","21:22","21:15","90","81","-7","21:26","11","0","0","0","0","0"
"NK","12/10/2023","0451","N954NK","SAN","15:01","15:08","94","82","7","15:22","14","0","0","0","0","0"
"NK","12/10/2023","2519","N968NK","DFW","12:10","12:09","211","193","-1","12:20","11","0","0","0","0","0"
"NK","12/10/2023","2521","N923NK","LAS","07:05","06:57","91","98","-8","07:24","27","0","0","0","0","0"
"NK","12/10/2023","2523","N979NK","LAS","21:22","23:09","90","90","107","23:18","9","0","0","9","0","98"
"NK","12/11/2023","0451","N983NK","SAN","15:01","15:53","94","77","52","16:04","11","1","0","34","0","0"
"NK","12/11/2023","2519","N955NK","DFW","11:50","11:42","213","192","-8","11:52","10","0","0","0","0","0"
"NK","12/11/2023","2521","N945NK","LAS","07:05","06:58","91","94","-7","07:17","19","0","0","0","0","0"
"NK","12/11/2023","2523","N955NK","LAS","21:22","21:18","90","87","-4","21:29","11","0","0","0","0","0"
"NK","12/12/2023","2519","N933NK","DFW","11:52","11:45","213","203","-7","11:56","11","0","0","0","0","0"
"NK","12/12/2023","2521","N945NK","LAS","07:05","06:59","91","92","-6","07:23","24","0","0","0","0","0"
"NK","12/12/2023","2523","N933NK","LAS","21:22","21:12","90","83","-10","21:23","11","0","0","0","0","0"
"NK","12/13/2023","2519","N905NK","DFW","11:52","11:44","213","203","-8","11:54","10","0","0","0","0","0"
"NK","12/13/2023","2521","N905NK","LAS","07:05","07:03","91","82","-2","07:12","9","0","0","0","0","0"
"NK","12/13/2023","2523","N905NK","LAS","21:22","21:18","90","78","-4","21:29","11","0","0","0","0","0"
"NK","12/14/2023","0451","N973NK","SAN","15:01","14:58","94","88","-3","15:19","21","0","0","0","0","0"
"NK","12/14/2023","2519","N979NK","DFW","12:10","12:11","211","193","1","12:23","12","0","0","0","0","0"
"NK","12/14/2023","2521","N966NK","LAS","07:05","07:00","91","79","-5","07:10","10","0","0","0","0","0"
"NK","12/14/2023","2523","N979NK","LAS","21:22","21:33","90","92","11","21:44","11","0","0","0","0","0"
"NK","12/15/2023","0451","N902NK","SAN","15:01","14:52","94","87","-9","15:10","18","0","0","0","0","0"
"NK","12/15/2023","2519","N965NK","DFW","11:50","12:21","213","198","31","12:34","13","0","0","0","0","16"
"NK","12/15/2023","2521","N917NK","LAS","07:05","06:58","91","89","-7","07:17","19","0","0","0","0","0"
"NK","12/15/2023","2523","N903NK","LAS","21:22","21:32","90","83","10","21:47","15","0","0","0","0","0"
"NK","12/16/2023","0451","N917NK","SAN","15:01","14:58","94","86","-3","15:13","15","0","0","0","0","0"
"NK","12/16/2023","2519","N965NK","DFW","12:10","12:31","211","216","21","12:46","15","21","0","5","0","0"
"NK","12/16/2023","2521","N931NK","LAS","07:05","07:18","91","85","13","07:29","11","0","0","0","0","0"
"NK","12/16/2023","2523","N965NK","LAS","21:22","21:30","90","77","8","21:40","10","0","0","0","0","0"
"NK","12/17/2023","0451","N979NK","SAN","15:01","14:54","94","80","-7","15:03","9","0","0","0","0","0"
"NK","12/17/2023","2519","N955NK","DFW","12:10","12:09","211","242","-1","12:23","14","0","0","30","0","0"
"NK","12/17/2023","2521","N955NK","LAS","07:05","07:05","91","88","0","07:17","12","0","0","0","0","0"
"NK","12/17/2023","2523","N955NK","LAS","21:22","21:35","90","88","13","21:51","16","0","0","0","0","0"
"NK","12/18/2023","0451","N922NK","SAN","15:01","14:55","94","89","-6","15:10","15","0","0","0","0","0"
"NK","12/18/2023","2519","N981NK","DFW","11:50","12:32","213","196","42","12:40","8","25","0","0","0","0"
"NK","12/18/2023","2521","N981NK","LAS","07:05","06:58","91","86","-7","07:10","12","0","0","0","0","0"
"NK","12/18/2023","2523","N983NK","LAS","21:22","21:25","90","97","3","21:34","9","0","0","0","0","0"
"NK","12/19/2023","2519","N983NK","DFW","11:52","12:02","213","212","10","12:15","13","0","0","0","0","0"
"NK","12/19/2023","2521","N922NK","LAS","07:05","07:03","91","85","-2","07:18","15","0","0","0","0","0"
"NK","12/19/2023","2523","N983NK","LAS","21:22","21:17","90","80","-5","21:27","10","0","0","0","0","0"
"NK","12/20/2023","2519","N922NK","DFW","11:52","12:21","213","192","29","12:30","9","0","0","0","0","0"
"NK","12/20/2023","2521","N981NK","LAS","07:05","07:45","91","78","40","07:55","10","27","0","0","0","0"
"NK","12/20/2023","2523","N917NK","LAS","21:22","21:34","90","83","12","21:46","12","0","0","0","0","0"
"NK","12/21/2023","0451","N963NK","SAN","15:01","15:00","94","97","-1","15:22","22","0","0","0","0","0"
"NK","12/21/2023","2519","N903NK","DFW","12:10","12:51","211","214","41","13:05","14","0","0","12","0","32"
"NK","12/21/2023","2521","N987NK","LAS","07:05","07:03","91","111","-2","07:18","15","0","0","18","0","0"
"NK","12/21/2023","2523","N920NK","LAS","21:22","22:31","90","107","69","22:43","12","6","0","72","0","8"
"NK","12/22/2023","0451","N964NK","SAN","15:01","16:24","94","76","83","16:35","11","0","0","52","0","13"
"NK","12/22/2023","2519","N691NK","DFW","11:50","12:07","213","212","17","12:21","14","0","0","16","0","0"
"NK","12/22/2023","2521","N975NK","LAS","07:05","07:08","91","90","3","07:21","13","0","0","0","0","0"
"NK","12/22/2023","2523","N691NK","LAS","21:22","21:11","90","104","-11","21:23","12","0","0","0","0","0"
"NK","12/23/2023","0451","N942NK","SAN","15:01","14:52","94","75","-9","15:04","12","0","0","0","0","0"
