Detailed Statistics Departures  
Origin Airport: San Jose, CA: Norman Y. Mineta San Jose International (SJC)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1081","N880UA","DEN","08:55","08:46","152","144","-9","08:56","10","0","0","0","0","0"
"UA","12/01/2021","1861","N896UA","IAH","14:30","14:28","221","239","-2","14:37","9","0","0","16","0","0"
"UA","12/01/2021","1888","N878UA","DEN","12:50","12:48","152","149","-2","12:59","11","0","0","0","0","0"
"UA","12/01/2022","0245","N33203","IAH","07:30","07:23","223","203","-7","07:39","16","0","0","0","0","0"
"UA","12/01/2022","1259","N12238","DEN","08:30","08:42","155","129","12","08:53","11","0","0","0","0","0"
"UA","12/01/2022","2466","N76504","DEN","15:35","15:25","155","126","-10","15:35","10","0","0","0","0","0"
"UA","12/01/2023","0334","N37560","IAH","13:05","12:57","225","228","-8","13:17","20","0","0","0","0","0"
"UA","12/01/2023","0768","N446UA","DEN","18:39","18:21","155","146","-18","18:31","10","0","0","0","0","0"
"UA","12/01/2023","1104","N836UA","DEN","10:45","10:39","155","154","-6","11:02","23","0","0","0","0","0"
"UA","12/01/2023","1669","N37502","DEN","15:35","15:29","159","163","-6","16:00","31","0","0","0","0","0"
"UA","12/01/2023","1802","N17229","DEN","08:20","08:15","159","151","-5","08:26","11","0","0","0","0","0"
"UA","12/01/2023","1865","N66837","ORD","06:35","06:25","256","260","-10","06:42","17","0","0","0","0","0"
"UA","12/02/2021","1081","N889UA","DEN","08:55","08:55","152","156","0","09:14","19","0","0","0","0","0"
"UA","12/02/2021","1861","N469UA","IAH","14:30","14:18","221","242","-12","14:30","12","0","0","0","0","0"
"UA","12/02/2021","1888","N895UA","DEN","12:50","12:42","152","159","-8","12:59","17","0","0","0","0","0"
"UA","12/02/2021","2259","N489UA","IAH","07:30","07:26","221","233","-4","07:38","12","0","0","0","0","0"
"UA","12/02/2021","2466","N468UA","DEN","16:00","15:50","152","156","-10","15:58","8","0","0","0","0","0"
"UA","12/02/2022","0245","N18243","IAH","07:30","07:30","223","203","0","07:42","12","0","0","0","0","0"
"UA","12/02/2022","1259","N12221","DEN","08:30","08:26","155","142","-4","08:40","14","0","0","0","0","0"
"UA","12/02/2022","2466","N35204","DEN","15:35","15:26","155","127","-9","15:36","10","0","0","0","0","0"
"UA","12/02/2023","0334","N17730","IAH","13:05","12:58","225","229","-7","13:16","18","0","0","0","0","0"
"UA","12/02/2023","1104","N854UA","DEN","10:45","10:39","155","138","-6","10:47","8","0","0","0","0","0"
"UA","12/02/2023","1669","N75436","DEN","15:35","15:27","159","171","-8","15:40","13","0","0","0","0","0"
"UA","12/02/2023","1802","N482UA","DEN","08:20","08:15","159","147","-5","08:25","10","0","0","0","0","0"
"UA","12/02/2023","1865","N77430","ORD","06:35","06:25","256","241","-10","06:36","11","0","0","0","0","0"
"UA","12/03/2021","1081","N820UA","DEN","08:55","08:48","152","156","-7","09:00","12","0","0","0","0","0"
"UA","12/03/2021","1861","N895UA","IAH","13:40","13:47","221","230","7","14:17","30","7","0","9","0","0"
"UA","12/03/2021","1888","N832UA","DEN","12:50","12:37","152","163","-13","12:53","16","0","0","0","0","0"
"UA","12/03/2021","2259","N37273","IAH","07:30","07:25","219","216","-5","07:35","10","0","0","0","0","0"
"UA","12/03/2022","0245","N77525","IAH","07:30","07:26","223","218","-4","07:39","13","0","0","0","0","0"
"UA","12/03/2022","1259","N37252","DEN","08:20","08:15","155","138","-5","08:35","20","0","0","0","0","0"
"UA","12/03/2022","2466","N26210","DEN","15:35","15:25","155","128","-10","15:36","11","0","0","0","0","0"
"UA","12/03/2023","0334","N37523","IAH","13:05","13:00","225","230","-5","13:17","17","0","0","0","0","0"
"UA","12/03/2023","0768","N408UA","DEN","18:39","18:24","155","143","-15","18:40","16","0","0","0","0","0"
"UA","12/03/2023","1104","N845UA","DEN","10:45","10:39","155","144","-6","10:49","10","0","0","0","0","0"
"UA","12/03/2023","1669","N27511","DEN","15:35","15:26","159","146","-9","15:40","14","0","0","0","0","0"
"UA","12/03/2023","1802","N78501","DEN","08:20","08:15","159","152","-5","08:31","16","0","0","0","0","0"
"UA","12/03/2023","1865","N891UA","ORD","06:35","06:25","256","258","-10","06:37","12","0","0","0","0","0"
