Detailed Statistics Departures  
Origin Airport: San Juan, PR: Luis Munoz Marin International (SJU)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0395","N889NN","ORD","08:15","08:06","321","314","-9","08:25","19","0","0","0","0","0"
"AA","12/01/2021","0783","N830NN","CLT","16:33","16:24","247","226","-9","16:36","12","0","0","0","0","0"
"AA","12/01/2021","1341","N996AN","MIA","12:05","11:56","173","168","-9","12:11","15","0","0","0","0","0"
"AA","12/01/2021","1528","N991AU","PHL","08:56","08:49","248","234","-7","09:02","13","0","0","0","0","0"
"AA","12/01/2021","1613","N772AN","MIA","14:53","14:41","171","163","-12","14:55","14","0","0","0","0","0"
"AA","12/01/2021","1724","N765AN","MIA","07:24","07:20","166","201","-4","07:37","17","0","0","31","0","0"
"AA","12/01/2021","1790","N341RW","MIA","16:49","17:01","181","170","12","17:20","19","0","0","0","0","0"
"AA","12/01/2021","1852","N903NN","CLT","14:27","14:18","243","226","-9","14:37","19","0","0","0","0","0"
"AA","12/01/2021","2092","N417AN","PHL","15:25","15:15","250","240","-10","15:33","18","0","0","0","0","0"
"AA","12/01/2021","2136","N759AN","DFW","16:18","16:57","322","302","39","17:11","14","11","0","0","0","8"
"AA","12/01/2021","2817","N857NN","MIA","09:19","09:12","176","187","-7","09:28","16","0","0","0","0","0"
"AA","12/01/2021","2826","N124AA","MIA","10:45","10:37","173","176","-8","10:54","17","0","0","0","0","0"
"AA","12/01/2021","2913","N960AN","AUS","01:59","01:50","317","309","-9","02:07","17","0","0","0","0","0"
"AA","12/01/2022","0783","N587UW","CLT","16:37","16:31","228","212","-6","16:48","17","0","0","0","0","0"
"AA","12/01/2022","0850","N126AN","DFW","16:11","16:07","316","323","-4","16:21","14","0","0","0","0","0"
"AA","12/01/2022","0863","N938NN","MIA","06:00","05:51","170","161","-9","06:06","15","0","0","0","0","0"
"AA","12/01/2022","1184","N870NN","ORD","09:00","08:54","319","308","-6","09:18","24","0","0","0","0","0"
"AA","12/01/2022","1299","N334SM","MIA","14:42","14:38","178","177","-4","15:04","26","0","0","0","0","0"
"AA","12/01/2022","1341","N988NN","MIA","11:07","10:53","172","176","-14","11:13","20","0","0","0","0","0"
"AA","12/01/2022","1613","N989AN","MIA","16:38","16:45","172","165","7","16:59","14","0","0","0","0","0"
"AA","12/01/2022","1836","N575UW","CLT","08:25","08:18","228","222","-7","08:36","18","0","0","0","0","0"
"AA","12/01/2022","1929","N324RN","MIA","20:23","20:18","172","165","-5","20:34","16","0","0","0","0","0"
"AA","12/01/2022","2060","N908AA","PHL","14:25","14:19","238","246","-6","14:34","15","0","0","0","0","0"
"AA","12/01/2022","2227","N895NN","MIA","07:00","06:50","172","159","-10","07:03","13","0","0","0","0","0"
"AA","12/01/2023","0783","N920US","CLT","16:46","16:35","228","233","-11","16:48","13","0","0","0","0","0"
"AA","12/01/2023","0967","N978NN","MIA","18:25","18:18","170","173","-7","18:30","12","0","0","0","0","0"
