Detailed Statistics Departures  
Origin Airport: San Juan, PR: Luis Munoz Marin International (SJU)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0668","N37427","IAH","16:50","17:04","301","280","14","17:23","19","0","0","0","0","0"
"UA","12/01/2021","1173","N59053","EWR","15:10","15:10","259","258","0","15:23","13","0","0","0","0","0"
"UA","12/01/2021","1495","N646UA","IAH","10:20","10:14","301","286","-6","10:27","13","0","0","0","0","0"
"UA","12/01/2021","1644","N68807","IAH","08:00","07:56","300","295","-4","08:13","17","0","0","0","0","0"
"UA","12/01/2021","2022","N39416","IAD","08:30","08:24","237","232","-6","08:39","15","0","0","0","0","0"
"UA","12/01/2021","2024","N66814","IAD","17:55","17:52","233","235","-3","18:10","18","0","0","0","0","0"
"UA","12/01/2021","2036","N37413","EWR","17:25","17:34","253","273","9","17:58","24","4","0","20","0","5"
"UA","12/01/2021","2088","N75429","ORD","15:20","15:15","312","310","-5","15:30","15","0","0","0","0","0"
"UA","12/01/2021","2219","N69838","EWR","02:05","02:41","245","239","36","02:54","13","0","0","0","0","30"
"UA","12/01/2022","0668","N37470","IAH","15:50","15:42","299","302","-8","15:57","15","0","0","0","0","0"
"UA","12/01/2022","1173","N76065","EWR","14:40","14:34","258","279","-6","14:48","14","0","0","15","0","0"
"UA","12/01/2022","2024","N28457","IAD","17:50","17:45","238","240","-5","17:59","14","0","0","0","0","0"
"UA","12/01/2022","2088","N39423","ORD","15:20","15:17","316","313","-3","15:33","16","0","0","0","0","0"
"UA","12/01/2022","2218","N39416","EWR","07:20","07:13","259","251","-7","07:27","14","0","0","0","0","0"
"UA","12/01/2022","2219","N68453","EWR","02:05","02:10","255","250","5","02:26","16","0","0","0","0","0"
"UA","12/01/2023","0668","N47533","IAH","15:46","15:41","300","317","-5","15:58","17","0","0","0","0","0"
"UA","12/01/2023","1173","N78060","EWR","14:10","14:00","260","263","-10","14:15","15","0","0","0","0","0"
"UA","12/01/2023","1368","N77578","DEN","14:30","14:25","395","402","-5","14:41","16","0","0","0","0","0"
"UA","12/01/2023","2024","N17565","IAD","17:50","17:43","235","243","-7","17:57","14","0","0","0","0","0"
"UA","12/01/2023","2036","N27509","EWR","19:35","19:26","255","258","-9","19:41","15","0","0","0","0","0"
"UA","12/01/2023","2088","N37535","ORD","16:45","16:35","320","313","-10","16:50","15","0","0","0","0","0"
"UA","12/01/2023","2219","N27546","EWR","02:05","01:59","255","246","-6","02:16","17","0","0","0","0","0"
"UA","12/02/2021","0668","N37420","IAH","16:50","16:40","301","295","-10","16:57","17","0","0","0","0","0"
"UA","12/02/2021","1173","N77066","EWR","15:10","15:43","259","266","33","15:58","15","17","0","7","0","16"
"UA","12/02/2021","1495","N646UA","IAH","10:20","10:12","301","286","-8","10:26","14","0","0","0","0","0"
"UA","12/02/2021","1644","N37419","IAH","08:00","07:50","300","291","-10","08:08","18","0","0","0","0","0"
"UA","12/02/2021","2022","N67815","IAD","08:30","08:19","237","240","-11","08:30","11","0","0","0","0","0"
"UA","12/02/2021","2024","N36472","IAD","17:55","17:40","233","266","-15","17:57","17","0","0","18","0","0"
"UA","12/02/2021","2036","N37464","EWR","17:25","17:21","253","278","-4","17:39","18","0","0","21","0","0"
"UA","12/02/2021","2088","N64844","ORD","15:20","15:17","312","310","-3","15:28","11","0","0","0","0","0"
"UA","12/02/2021","2219","N61882","EWR","02:05","02:03","245","234","-2","02:17","14","0","0","0","0","0"
"UA","12/02/2022","0668","N68452","IAH","15:50","15:41","299","295","-9","15:56","15","0","0","0","0","0"
"UA","12/02/2022","1173","N76064","EWR","14:40","14:32","258","269","-8","14:47","15","0","0","0","0","0"
"UA","12/02/2022","2006","N62892","IAD","08:30","08:23","241","240","-7","08:37","14","0","0","0","0","0"
"UA","12/02/2022","2024","N37419","IAD","17:50","17:55","238","238","5","18:12","17","0","0","0","0","0"
"UA","12/02/2022","2088","N69888","ORD","15:20","15:14","316","318","-6","15:29","15","0","0","0","0","0"
"UA","12/02/2022","2218","N65832","EWR","07:20","07:11","259","251","-9","07:23","12","0","0","0","0","0"
"UA","12/02/2022","2219","N73445","EWR","02:05","02:00","255","250","-5","02:13","13","0","0","0","0","0"
"UA","12/02/2023","0668","N17574","IAH","15:46","15:38","300","300","-8","15:55","17","0","0","0","0","0"
"UA","12/02/2023","1173","N78060","EWR","14:10","13:58","260","252","-12","14:21","23","0","0","0","0","0"
"UA","12/02/2023","1368","N37554","DEN","14:30","14:31","395","386","1","14:46","15","0","0","0","0","0"
"UA","12/02/2023","2024","N37545","IAD","17:50","17:43","235","247","-7","17:59","16","0","0","0","0","0"
"UA","12/02/2023","2036","N47570","EWR","19:35","19:24","255","249","-11","19:37","13","0","0","0","0","0"
"UA","12/02/2023","2088","N27519","ORD","16:45","16:44","320","328","-1","17:04","20","0","0","0","0","0"
"UA","12/02/2023","2219","N47512","EWR","02:05","02:15","255","246","10","02:30","15","0","0","0","0","0"
"UA","12/03/2021","0668","N69885","IAH","16:50","16:42","301","292","-8","16:56","14","0","0","0","0","0"
"UA","12/03/2021","1173","N59053","EWR","15:10","15:06","259","262","-4","15:21","15","0","0","0","0","0"
"UA","12/03/2021","1495","N656UA","IAH","10:20","10:15","301","280","-5","10:29","14","0","0","0","0","0"
"UA","12/03/2021","1644","N66814","IAH","08:00","07:43","300","279","-17","07:56","13","0","0","0","0","0"
"UA","12/03/2021","2022","N39416","IAD","08:30","08:26","237","233","-4","08:38","12","0","0","0","0","0"
"UA","12/03/2021","2024","N37456","IAD","17:55","17:41","233","241","-14","18:01","20","0","0","0","0","0"
"UA","12/03/2021","2036","N66841","EWR","17:25","17:38","253","277","13","17:55","17","0","0","24","0","13"
"UA","12/03/2021","2088","N36476","ORD","15:20","15:09","312","322","-11","15:27","18","0","0","0","0","0"
"UA","12/03/2021","2219","N69835","EWR","02:05","02:12","245","270","7","02:53","41","7","0","25","0","0"
"UA","12/03/2022","0668","N68843","IAH","15:50","15:47","299","284","-3","16:02","15","0","0","0","0","0"
"UA","12/03/2022","1173","N78060","EWR","14:40","14:33","258","265","-7","14:53","20","0","0","0","0","0"
"UA","12/03/2022","2024","N57439","IAD","17:50","17:41","238","237","-9","17:55","14","0","0","0","0","0"
"UA","12/03/2022","2036","N68817","EWR","17:25","17:24","255","266","-1","17:42","18","0","0","0","0","0"
"UA","12/03/2022","2088","N39475","ORD","15:20","15:14","316","323","-6","15:31","17","0","0","0","0","0"
"UA","12/03/2022","2218","N28457","EWR","07:20","07:17","259","267","-3","07:34","17","0","0","0","0","0"
"UA","12/03/2022","2219","N68822","EWR","02:05","01:57","255","258","-8","02:14","17","0","0","0","0","0"
"UA","12/03/2022","2315","N39463","IAD","08:30","08:22","241","253","-8","08:37","15","0","0","0","0","0"
"UA","12/03/2023","0668","N77579","IAH","15:46","15:47","300","281","1","16:01","14","0","0","0","0","0"
"UA","12/03/2023","1173","N76055","EWR","14:10","14:16","260","290","6","14:32","16","0","0","30","0","6"
"UA","12/03/2023","1368","N77571","DEN","14:30","14:30","395","409","0","14:45","15","0","0","0","0","0"
"UA","12/03/2023","1644","N37567","IAH","07:50","07:40","300","295","-10","07:54","14","0","0","0","0","0"
"UA","12/03/2023","2024","N37506","IAD","17:50","17:42","235","237","-8","17:57","15","0","0","0","0","0"
"UA","12/03/2023","2036","N37534","EWR","19:35","19:26","255","240","-9","19:40","14","0","0","0","0","0"
"UA","12/03/2023","2088","N27519","ORD","16:45","16:40","320","311","-5","16:59","19","0","0","0","0","0"
"UA","12/03/2023","2089","N37502","ORD","08:40","08:33","315","297","-7","08:46","13","0","0","0","0","0"
"UA","12/03/2023","2219","N17529","EWR","02:05","01:58","255","239","-7","02:12","14","0","0","0","0","0"
"UA","12/04/2021","0668","N69833","IAH","16:50","16:47","301","291","-3","16:59","12","0","0","0","0","0"
"UA","12/04/2021","1173","N66056","EWR","15:10","15:07","259","266","-3","15:19","12","0","0","0","0","0"
"UA","12/04/2021","1495","N648UA","IAH","10:20","10:11","301","287","-9","10:24","13","0","0","0","0","0"
"UA","12/04/2021","1644","N39475","IAH","05:30","05:24","300","296","-6","05:37","13","0","0","0","0","0"
"UA","12/04/2021","2022","N64809","IAD","08:30","08:29","237","231","-1","08:43","14","0","0","0","0","0"
"UA","12/04/2021","2024","N68821","IAD","17:55","17:47","233","229","-8","18:01","14","0","0","0","0","0"
"UA","12/04/2021","2036","N76516","EWR","17:25","17:19","253","269","-6","17:58","39","0","0","0","0","0"
"UA","12/04/2021","2088","N75435","ORD","15:20","15:13","312","299","-7","15:31","18","0","0","0","0","0"
"UA","12/04/2021","2219","N57439","EWR","02:05","02:04","245","240","-1","02:16","12","0","0","0","0","0"
"UA","12/04/2022","0668","N69885","IAH","15:50","15:39","299","321","-11","15:53","14","0","0","0","0","0"
"UA","12/04/2022","1173","N77066","EWR","14:40","14:36","258","294","-4","14:48","12","0","0","32","0","0"
"UA","12/04/2022","1495","N13227","IAH","10:30","10:31","300","291","1","10:44","13","0","0","0","0","0"
"UA","12/04/2022","2006","N37471","IAD","08:30","08:27","241","242","-3","08:40","13","0","0","0","0","0"
"UA","12/04/2022","2024","N75426","IAD","17:50","17:40","238","238","-10","17:53","13","0","0","0","0","0"
"UA","12/04/2022","2088","N39463","ORD","15:20","15:14","316","315","-6","15:28","14","0","0","0","0","0"
"UA","12/04/2022","2218","N63820","EWR","07:20","07:18","259","270","-2","07:33","15","0","0","0","0","0"
"UA","12/04/2022","2219","N66848","EWR","02:05","02:21","255","240","16","02:34","13","0","0","0","0","0"
"UA","12/04/2023","0668","N77578","IAH","15:46","15:41","300","293","-5","15:57","16","0","0","0","0","0"
"UA","12/04/2023","1173","N76064","EWR","14:10","14:05","260","240","-5","14:18","13","0","0","0","0","0"
"UA","12/04/2023","1368","N37537","DEN","14:30","14:16","395","399","-14","14:36","20","0","0","0","0","0"
"UA","12/04/2023","1644","N37535","IAH","07:50","07:46","300","285","-4","08:00","14","0","0","0","0","0"
"UA","12/04/2023","2024","N27509","IAD","17:50","17:46","235","231","-4","18:00","14","0","0","0","0","0"
"UA","12/04/2023","2036","N37560","EWR","19:35","19:32","255","251","-3","19:47","15","0","0","0","0","0"
"UA","12/04/2023","2088","N27503","ORD","16:45","16:43","320","298","-2","16:59","16","0","0","0","0","0"
"UA","12/04/2023","2219","N37422","EWR","02:05","03:07","255","238","62","03:23","16","0","0","0","0","45"
"UA","12/05/2021","0668","N38459","IAH","16:50","16:46","301","282","-4","17:03","17","0","0","0","0","0"
"UA","12/05/2021","1173","N69063","EWR","15:10","15:01","259","260","-9","15:18","17","0","0","0","0","0"
"UA","12/05/2021","1495","N647UA","IAH","10:20","10:16","301","271","-4","10:29","13","0","0","0","0","0"
"UA","12/05/2021","1644","N64809","IAH","05:30","05:27","300","295","-3","05:41","14","0","0","0","0","0"
"UA","12/05/2021","2022","N75429","IAD","08:30","08:32","237","225","2","08:44","12","0","0","0","0","0"
"UA","12/05/2021","2024","N37437","IAD","17:55","17:50","233","229","-5","18:02","12","0","0","0","0","0"
"UA","12/05/2021","2036","N62894","EWR","17:25","17:23","253","255","-2","17:47","24","0","0","0","0","0"
"UA","12/05/2021","2088","N66893","ORD","15:20","15:18","312","317","-2","15:33","15","0","0","0","0","0"
"UA","12/05/2021","2219","N63890","EWR","02:05","02:04","245","246","-1","02:17","13","0","0","0","0","0"
"UA","12/05/2022","0668","N57439","IAH","15:50","15:42","299","291","-8","15:56","14","0","0","0","0","0"
"UA","12/05/2022","1173","N66057","EWR","14:40","14:31","258","260","-9","14:45","14","0","0","0","0","0"
"UA","12/05/2022","1495","N39418","IAH","10:30","10:26","300","292","-4","10:42","16","0","0","0","0","0"
"UA","12/05/2022","2006","N66893","IAD","08:30","08:21","241","249","-9","08:33","12","0","0","0","0","0"
"UA","12/05/2022","2024","N69804","IAD","17:50","17:41","238","247","-9","17:53","12","0","0","0","0","0"
"UA","12/05/2022","2088","N78438","ORD","15:20","15:10","316","338","-10","15:45","35","0","0","0","0","0"
"UA","12/05/2022","2218","N69835","EWR","07:20","08:03","259","259","43","08:14","11","43","0","0","0","0"
"UA","12/05/2022","2219","N68836","EWR","02:05","01:56","255","253","-9","02:07","11","0","0","0","0","0"
"UA","12/05/2023","0668","N37507","IAH","15:46","15:36","300","298","-10","15:53","17","0","0","0","0","0"
"UA","12/05/2023","1173","N66051","EWR","14:10","13:57","260","244","-13","14:13","16","0","0","0","0","0"
"UA","12/05/2023","1368","N37506","DEN","14:30","14:28","395","438","-2","14:44","16","0","0","41","0","0"
"UA","12/05/2023","2024","N17529","IAD","17:50","17:44","235","221","-6","17:58","14","0","0","0","0","0"
"UA","12/05/2023","2036","N37554","EWR","19:35","19:24","255","244","-11","19:36","12","0","0","0","0","0"
"UA","12/05/2023","2088","N77552","ORD","16:45","16:42","320","305","-3","16:56","14","0","0","0","0","0"
"UA","12/05/2023","2219","N47524","EWR","02:05","01:56","255","242","-9","02:08","12","0","0","0","0","0"
"UA","12/06/2021","0668","N68452","IAH","16:50","16:47","301","299","-3","17:01","14","0","0","0","0","0"
"UA","12/06/2021","1173","N67052","EWR","15:10","15:22","259","302","12","15:39","17","0","0","43","0","12"
"UA","12/06/2021","1495","N656UA","IAH","10:20","14:53","301","269","273","15:10","17","241","0","0","0","0"
"UA","12/06/2021","1644","N75429","IAH","08:00","07:58","300","287","-2","08:11","13","0","0","0","0","0"
"UA","12/06/2021","2022","N39450","IAD","08:30","08:21","237","228","-9","08:35","14","0","0","0","0","0"
"UA","12/06/2021","2024","N47414","IAD","17:55","17:49","233","224","-6","18:00","11","0","0","0","0","0"
"UA","12/06/2021","2036","N39416","EWR","17:25","17:12","253","277","-13","17:26","14","0","0","0","0","0"
