Detailed Statistics Departures  
Origin Airport: San Luis Obispo, CA: San Luis County Regional (SBP)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2022","1009","N752US","DFW","13:09","17:09","193","180","240","17:33","24","0","0","0","0","227"
"AA","12/01/2022","1029","N705UW","DFW","06:20","06:17","193","191","-3","06:30","13","0","0","0","0","0"
"AA","12/01/2023","2392","N778XF","DFW","12:36","12:25","201","176","-11","12:40","15","0","0","0","0","0"
"AA","12/02/2022","1009","N752US","DFW","13:09","13:30","193","180","21","13:49","19","0","0","0","0","0"
"AA","12/02/2022","1029","N738US","DFW","06:20","06:14","193","174","-6","06:26","12","0","0","0","0","0"
"AA","12/02/2023","2392","N778XF","DFW","12:36","12:34","201","182","-2","12:45","11","0","0","0","0","0"
"AA","12/03/2022","1009","N756US","DFW","13:09","13:00","193","187","-9","13:19","19","0","0","0","0","0"
"AA","12/03/2022","1029","N751UW","DFW","06:20","06:15","193","184","-5","06:30","15","0","0","0","0","0"
"AA","12/03/2023","2392","N755US","DFW","12:36","12:28","201","194","-8","12:43","15","0","0","0","0","0"
"AA","12/04/2022","1009","N703UW","DFW","13:09","13:12","193","175","3","13:21","9","0","0","0","0","0"
"AA","12/04/2022","1029","N753US","DFW","06:20","06:26","193","186","6","06:46","20","0","0","0","0","0"
"AA","12/04/2023","2392","N776XF","DFW","12:36","12:27","201","186","-9","12:40","13","0","0","0","0","0"
"AA","12/05/2022","1009","N774XF","DFW","13:09","13:26","193","172","17","13:38","12","0","0","0","0","0"
"AA","12/05/2022","1029","N703UW","DFW","06:20","06:22","193","187","2","06:34","12","0","0","0","0","0"
"AA","12/05/2023","2392","N828AW","DFW","12:36","12:26","201","194","-10","12:36","10","0","0","0","0","0"
"AA","12/06/2022","1009","N806AW","DFW","13:09","13:01","193","176","-8","13:13","12","0","0","0","0","0"
"AA","12/06/2022","1029","N177XF","DFW","06:20","10:27","193","170","247","10:41","14","0","0","0","0","224"
"AA","12/06/2023","2138","N767UW","PHX","06:00","05:53","97","104","-7","06:10","17","0","0","0","0","0"
"AA","12/06/2023","2392","N756US","DFW","12:36","12:28","201","211","-8","12:47","19","0","0","0","0","0"
"AA","12/07/2022","1009","N827AW","DFW","13:09","13:01","193","182","-8","13:12","11","0","0","0","0","0"
"AA","12/07/2022","1029","N752US","DFW","06:20","06:15","193","186","-5","06:25","10","0","0","0","0","0"
"AA","12/07/2023","2138","N820AW","PHX","06:00","05:56","97","108","-4","06:12","16","0","0","0","0","0"
"AA","12/07/2023","2392","N711UW","DFW","12:36","12:31","201","182","-5","12:39","8","0","0","0","0","0"
"AA","12/08/2022","1009","N753US","DFW","13:09","14:12","193","167","63","14:22","10","11","0","0","0","26"
"AA","12/08/2022","1029","N708UW","DFW","06:20","06:26","193","170","6","06:35","9","0","0","0","0","0"
"AA","12/08/2023","2138","N804AW","PHX","06:00","05:59","97","94","-1","06:14","15","0","0","0","0","0"
"AA","12/08/2023","2392","N711UW","DFW","12:36","13:40","201","191","64","13:57","17","0","0","0","0","54"
"AA","12/09/2022","1009","N824AW","DFW","13:09","13:14","193","182","5","13:26","12","0","0","0","0","0"
"AA","12/09/2022","1029","N700UW","DFW","06:20","06:20","193","182","0","06:32","12","0","0","0","0","0"
"AA","12/09/2023","2138","N827AW","PHX","06:00","09:43","97","89","223","09:56","13","0","0","0","0","215"
"AA","12/09/2023","2392","N701UW","DFW","12:36","12:30","201","236","-6","12:44","14","0","0","29","0","0"
"AA","12/10/2022","1009","N807AW","DFW","13:09","14:40","193","195","91","14:58","18","0","52","2","0","39"
