Detailed Statistics Departures  
Origin Airport: San Luis Obispo, CA: San Luis County Regional (SBP)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4066","N207AN","DFW","11:32","11:27","187","214","-5","11:40","13","0","0","22","0","0"
"MQ","12/01/2021","4305","N247NN","DFW","06:28","06:32","192","211","4","06:49","17","4","0","19","0","0"
"MQ","12/01/2022","3890","N208AN","PHX","12:09","12:11","97","86","2","12:28","17","0","0","0","0","0"
"MQ","12/02/2021","4066","N205NN","DFW","11:32","11:31","187","198","-1","11:42","11","0","0","0","0","0"
"MQ","12/02/2021","4305","N263NN","DFW","06:28","06:28","192","202","0","06:43","15","0","0","0","0","0"
"MQ","12/02/2022","3890","N281NN","PHX","12:09","12:09","97","92","0","12:22","13","0","0","0","0","0"
"MQ","12/03/2021","4066","N291NN","DFW","11:32","11:32","187","196","0","11:47","15","0","0","0","0","0"
"MQ","12/03/2021","4305","N235NN","DFW","06:28","06:31","192","195","3","06:41","10","0","0","0","0","0"
"MQ","12/03/2022","3890","N243NN","PHX","12:09","12:06","97","101","-3","12:17","11","0","0","0","0","0"
"MQ","12/04/2021","4305","N280NN","DFW","06:28","06:36","192","187","8","06:46","10","0","0","0","0","0"
"MQ","12/04/2022","3890","N204NN","PHX","12:09","12:11","97","125","2","12:40","29","0","0","28","0","2"
"MQ","12/05/2021","4066","N239NN","DFW","11:32","11:26","187","183","-6","11:34","8","0","0","0","0","0"
"MQ","12/05/2021","4305","N241NN","DFW","06:28","06:28","192","197","0","06:40","12","0","0","0","0","0"
"MQ","12/05/2022","3890","N266NN","PHX","12:09","12:17","97","108","8","12:38","21","1","0","11","0","7"
"MQ","12/06/2021","4066","N292NN","DFW","11:32","11:46","187","184","14","11:56","10","0","0","0","0","0"
"MQ","12/06/2021","4305","N202NN","DFW","06:28","06:31","192","197","3","06:43","12","0","0","0","0","0"
"MQ","12/06/2022","3890","N236NN","PHX","12:09","12:19","97","90","10","12:34","15","0","0","0","0","0"
"MQ","12/07/2021","4305","N207AN","DFW","06:28","06:28","192","168","0","06:39","11","0","0","0","0","0"
"MQ","12/07/2022","3890","N279MQ","PHX","12:09","12:08","97","109","-1","12:35","27","0","0","0","0","0"
"MQ","12/08/2021","4066","N291NN","DFW","11:32","11:40","187","182","8","11:52","12","0","0","0","0","0"
"MQ","12/08/2021","4305","N267NN","DFW","06:28","06:27","192","184","-1","06:36","9","0","0","0","0","0"
"MQ","12/08/2022","3890","N230NN","PHX","12:09","12:05","97","106","-4","12:23","18","0","0","0","0","0"
"MQ","12/09/2021","4066","N293NN","DFW","11:32","11:38","187","176","6","11:48","10","0","0","0","0","0"
"MQ","12/09/2021","4305","N217NN","DFW","06:28","06:29","192","184","1","06:37","8","0","0","0","0","0"
