Detailed Statistics Departures  
Origin Airport: San Luis Obispo, CA: San Luis County Regional (SBP)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3069","N722EV","PHX","10:00","09:46","97","102","-14","10:00","14","0","0","0","0","0"
"OO","12/01/2021","3166","N728SK","PHX","19:11","19:00","95","103","-11","19:14","14","0","0","0","0","0"
"OO","12/01/2021","3184","N614SK","PHX","12:19","12:15","102","110","-4","12:28","13","0","0","0","0","0"
"OO","12/01/2021","3220","N614QX","PHX","06:01","06:00","105","97","-1","06:12","12","0","0","0","0","0"
"OO","12/01/2021","5633","N443SW","SFO","18:25","19:57","69","56","92","20:15","18","79","0","0","0","0"
"OO","12/01/2021","5676","N453SW","DEN","05:15","05:03","164","169","-12","05:20","17","0","0","0","0","0"
"OO","12/01/2021","5756","N962SW","SFO","14:25","14:22","69","49","-3","14:34","12","0","0","0","0","0"
"OO","12/01/2021","5875","N904EV","DEN","12:30","13:03","164","156","33","13:21","18","25","0","0","0","0"
"OO","12/01/2021","5882","N937EV","SFO","06:34","06:24","69","60","-10","06:44","20","0","0","0","0","0"
"OO","12/01/2021","5897","N943SW","LAX","06:00","06:00","71","77","0","06:24","24","0","0","0","0","0"
"OO","12/01/2022","3196","N507SY","PHX","06:00","05:51","99","103","-9","06:15","24","0","0","0","0","0"
"OO","12/01/2022","3286","N507SY","PHX","16:08","17:04","99","103","56","17:27","23","60","0","0","0","0"
"OO","12/01/2022","3430","N403SY","SAN","12:40","12:36","65","66","-4","12:49","13","0","0","0","0","0"
"OO","12/01/2022","3469","N410SY","PDX","13:50","13:45","125","135","-5","14:01","16","0","0","0","0","0"
"OO","12/01/2022","5631","N937EV","SFO","08:38","10:12","69","84","94","10:36","24","0","0","109","0","0"
"OO","12/01/2022","5676","N783SK","DEN","05:25","05:24","152","133","-1","05:35","11","0","0","0","0","0"
"OO","12/01/2022","5756","N876AS","SFO","14:17","14:59","69","71","42","15:28","29","0","0","0","0","44"
"OO","12/01/2022","5875","N809CA","DEN","12:49","13:01","161","137","12","13:12","11","0","0","0","0","0"
"OO","12/01/2022","5897","N203SY","LAX","06:00","05:55","71","57","-5","06:08","13","0","0","0","0","0"
"OO","12/01/2023","3088","N773SK","PHX","09:58","09:58","101","104","0","10:13","15","0","0","0","0","0"
"OO","12/01/2023","3166","N510SY","PHX","16:20","09:16","101","101","1016","09:32","16","1016","0","0","0","0"
"OO","12/01/2023","3184","N754SK","PHX","12:41","12:51","97","96","10","13:06","15","0","0","0","0","0"
"OO","12/01/2023","3220","N753SK","PHX","06:00","05:53","98","95","-7","06:04","11","0","0","0","0","0"
"OO","12/01/2023","3318","N197SY","PDX","17:40","17:33","134","135","-7","17:44","11","0","0","0","0","0"
"OO","12/01/2023","3390","N173SY","SEA","12:13","12:05","154","160","-8","12:14","9","0","0","0","0","0"
"OO","12/01/2023","3399","N407SY","SAN","11:17","11:10","71","107","-7","11:54","44","0","0","29","0","0"
"OO","12/01/2023","5271","N621UX","SFO","19:05","19:04","69","66","-1","19:26","22","0","0","0","0","0"
"OO","12/01/2023","5279","N205SY","DEN","12:43","12:42","162","161","-1","13:10","28","0","0","0","0","0"
"OO","12/01/2023","5650","N625UX","LAX","10:39","10:31","80","71","-8","10:54","23","0","0","0","0","0"
"OO","12/01/2023","5756","N783SK","SFO","14:10","14:08","69","86","-2","14:55","47","0","0","15","0","0"
"OO","12/01/2023","5882","N617UX","SFO","06:00","05:55","66","58","-5","06:10","15","0","0","0","0","0"
"OO","12/01/2023","5897","N787SK","LAX","06:00","05:59","73","71","-1","06:25","26","0","0","0","0","0"
"OO","12/02/2021","3069","N766SK","PHX","10:00","09:55","97","91","-5","10:05","10","0","0","0","0","0"
"OO","12/02/2021","3166","N727SK","PHX","19:11","19:04","95","101","-7","19:18","14","0","0","0","0","0"
"OO","12/02/2021","3184","N630SK","PHX","12:20","12:16","102","97","-4","12:27","11","0","0","0","0","0"
"OO","12/02/2021","3220","N709SK","PHX","06:01","05:56","105","105","-5","06:14","18","0","0","0","0","0"
"OO","12/02/2021","3458","N197SY","PDX","10:40","10:38","123","117","-2","10:50","12","0","0","0","0","0"
"OO","12/02/2021","5633","N975SW","SFO","18:25","18:12","69","46","-13","18:21","9","0","0","0","0","0"
"OO","12/02/2021","5676","N917SW","DEN","05:15","05:07","164","164","-8","05:20","13","0","0","0","0","0"
"OO","12/02/2021","5756","N920SW","SFO","14:25","14:21","69","84","-4","15:04","43","0","0","0","0","0"
"OO","12/02/2021","5875","N983SW","DEN","12:30","12:28","164","152","-2","12:37","9","0","0","0","0","0"
"OO","12/02/2021","5882","N932EV","SFO","06:34","06:29","69","65","-5","06:54","25","0","0","0","0","0"
"OO","12/02/2021","5897","N701BR","LAX","06:00","12:25","71","68","385","12:42","17","382","0","0","0","0"
"OO","12/02/2022","3196","N506SY","PHX","06:00","05:56","99","96","-4","06:16","20","0","0","0","0","0"
"OO","12/02/2022","3286","N506SY","PHX","16:08","16:04","99","116","-4","16:32","28","0","0","0","0","0"
"OO","12/02/2022","3430","N182SY","SAN","12:40","12:33","65","73","-7","12:54","21","0","0","0","0","0"
"OO","12/02/2022","3469","N187SY","PDX","13:50","13:39","125","132","-11","13:53","14","0","0","0","0","0"
"OO","12/02/2022","5631","N809CA","SFO","08:38","08:29","69","71","-9","09:00","31","0","0","0","0","0"
"OO","12/02/2022","5676","N788SK","DEN","05:25","05:16","152","129","-9","05:32","16","0","0","0","0","0"
"OO","12/02/2022","5756","N976SW","SFO","14:17","14:31","69","69","14","15:01","30","0","0","0","0","0"
"OO","12/02/2022","5875","N961SW","DEN","12:49","12:39","161","141","-10","12:56","17","0","0","0","0","0"
"OO","12/02/2022","5897","N148SY","LAX","06:29","06:26","71","63","-3","06:41","15","0","0","0","0","0"
"OO","12/02/2023","3088","N709EV","PHX","09:58","09:50","101","95","-8","10:07","17","0","0","0","0","0"
"OO","12/02/2023","3166","N504SY","PHX","16:20","16:10","101","109","-10","16:26","16","0","0","0","0","0"
"OO","12/02/2023","3184","N708SK","PHX","12:41","12:30","97","113","-11","12:53","23","0","0","0","0","0"
"OO","12/02/2023","3220","N754SK","PHX","06:00","05:51","98","97","-9","06:09","18","0","0","0","0","0"
"OO","12/02/2023","3318","N188SY","PDX","17:40","17:35","134","133","-5","17:47","12","0","0","0","0","0"
"OO","12/02/2023","3390","N412SY","SEA","12:13","12:06","154","160","-7","12:18","12","0","0","0","0","0"
"OO","12/02/2023","3399","N183SY","SAN","11:17","11:07","71","66","-10","11:23","16","0","0","0","0","0"
"OO","12/02/2023","5271","N608UX","SFO","19:05","18:54","69","57","-11","19:08","14","0","0","0","0","0"
"OO","12/02/2023","5279","N613UX","DEN","12:43","12:35","162","161","-8","12:50","15","0","0","0","0","0"
"OO","12/02/2023","5650","N617UX","LAX","10:39","10:34","80","62","-5","10:48","14","0","0","0","0","0"
"OO","12/02/2023","5756","N794SK","SFO","14:10","13:59","69","57","-11","14:11","12","0","0","0","0","0"
"OO","12/02/2023","5882","N621UX","SFO","06:00","06:46","66","65","46","07:08","22","45","0","0","0","0"
"OO","12/02/2023","5897","N782SK","LAX","06:00","05:52","73","54","-8","06:05","13","0","0","0","0","0"
"OO","12/03/2021","3069","N727SK","PHX","10:00","09:50","97","90","-10","10:00","10","0","0","0","0","0"
"OO","12/03/2021","3166","N614SK","PHX","19:11","19:05","95","93","-6","19:15","10","0","0","0","0","0"
"OO","12/03/2021","3184","N778SK","PHX","12:20","12:27","102","95","7","12:38","11","0","0","0","0","0"
"OO","12/03/2021","3220","N765SK","PHX","06:01","05:52","105","90","-9","06:03","11","0","0","0","0","0"
"OO","12/03/2021","3458","N176SY","PDX","10:40","10:34","123","116","-6","10:42","8","0","0","0","0","0"
"OO","12/03/2021","5633","N986SW","SFO","18:25","18:19","69","52","-6","18:29","10","0","0","0","0","0"
"OO","12/03/2021","5676","N912EV","DEN","05:15","05:08","164","168","-7","05:36","28","0","0","0","0","0"
"OO","12/03/2021","5756","N965SW","SFO","14:25","14:23","69","55","-2","14:34","11","0","0","0","0","0"
"OO","12/03/2021","5875","N937EV","DEN","12:30","12:20","164","163","-10","12:36","16","0","0","0","0","0"
"OO","12/03/2021","5882","N960SW","SFO","06:34","06:30","69","51","-4","06:44","14","0","0","0","0","0"
"OO","12/03/2021","5897","N876AS","LAX","06:00","05:47","71","50","-13","05:56","9","0","0","0","0","0"
"OO","12/03/2022","3196","N516SY","PHX","06:00","05:57","99","95","-3","06:13","16","0","0","0","0","0"
"OO","12/03/2022","3286","N516SY","PHX","16:08","16:12","99","106","4","16:29","17","0","0","0","0","0"
"OO","12/03/2022","5631","N915SW","SFO","08:38","08:24","69","87","-14","09:07","43","0","0","0","0","0"
"OO","12/03/2022","5676","N792SK","DEN","05:25","05:20","152","132","-5","05:35","15","0","0","0","0","0"
"OO","12/03/2022","5756","N221PS","SFO","14:17","14:47","69","74","30","15:08","21","35","0","0","0","0"
"OO","12/03/2022","5875","N915SW","DEN","12:49","12:35","161","129","-14","12:47","12","0","0","0","0","0"
"OO","12/03/2022","5897","N103SY","LAX","06:29","06:22","71","59","-7","06:35","13","0","0","0","0","0"
"OO","12/03/2023","3088","N709EV","PHX","09:58","09:48","101","100","-10","10:01","13","0","0","0","0","0"
"OO","12/03/2023","3166","N505SY","PHX","16:20","16:34","101","119","14","17:06","32","0","0","18","14","0"
