Detailed Statistics Departures  
Origin Airport: San Luis Obispo, CA: San Luis County Regional (SBP)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2023","1767","N804UA","DEN","05:00","04:55","153","142","-5","05:08","13","0","0","0","0","0"
"UA","12/02/2023","1767","N465UA","DEN","05:00","04:59","153","148","-1","05:17","18","0","0","0","0","0"
"UA","12/03/2023","1767","N442UA","DEN","05:00","04:50","153","153","-10","05:09","19","0","0","0","0","0"
"UA","12/04/2023","1767","N4901U","DEN","05:00","04:56","153","147","-4","05:11","15","0","0","0","0","0"
"UA","12/05/2023","1767","N419UA","DEN","05:00","07:33","153","145","153","07:44","11","145","0","0","0","0"
"UA","12/06/2023","1767","N892UA","DEN","05:00","04:53","153","142","-7","05:05","12","0","0","0","0","0"
"UA","12/07/2023","1767","N455UA","DEN","05:00","04:59","153","132","-1","05:13","14","0","0","0","0","0"
"UA","12/08/2023","1767","N852UA","DEN","05:00","04:54","153","138","-6","05:07","13","0","0","0","0","0"
"UA","12/09/2023","1767","N467UA","DEN","05:00","04:53","153","173","-7","05:25","32","0","0","0","0","0"
"UA","12/10/2023","1767","N473UA","DEN","05:00","05:01","153","143","1","05:16","15","0","0","0","0","0"
"UA","12/11/2023","1767","N465UA","DEN","05:00","04:49","153","141","-11","05:01","12","0","0","0","0","0"
"UA","12/12/2023","1767","N845UA","DEN","05:00","04:57","153","152","-3","05:11","14","0","0","0","0","0"
"UA","12/13/2023","1767","N844UA","DEN","05:00","05:00","153","159","0","05:28","28","0","0","0","0","0"
"UA","12/14/2023","1767","N488UA","DEN","05:00","05:06","153","145","6","05:21","15","0","0","0","0","0"
"UA","12/15/2023","1767","N848UA","DEN","05:00","04:58","153","144","-2","05:21","23","0","0","0","0","0"
"UA","12/16/2023","1767","N436UA","DEN","05:00","05:03","153","144","3","05:18","15","0","0","0","0","0"
"UA","12/17/2023","1767","N475UA","DEN","05:00","05:01","153","146","1","05:18","17","0","0","0","0","0"
"UA","12/18/2023","1767","N424UA","DEN","05:00","05:12","153","144","12","05:33","21","0","0","0","0","0"
"UA","12/19/2023","1767","N432UA","DEN","05:00","04:59","153","143","-1","05:19","20","0","0","0","0","0"
"UA","12/20/2023","1767","N415UA","DEN","05:00","04:57","153","141","-3","05:11","14","0","0","0","0","0"
"UA","12/21/2023","1871","N835UA","DEN","05:00","04:56","154","165","-4","05:28","32","0","0","0","0","0"
"UA","12/22/2023","1871","N827UA","DEN","05:00","06:24","154","150","84","06:40","16","80","0","0","0","0"
"UA","12/23/2023","1871","N845UA","DEN","05:00","05:13","154","142","13","05:27","14","0","0","0","0","0"
"UA","12/24/2023","1612","N813UA","SFO","14:25","14:24","67","56","-1","14:39","15","0","0","0","0","0"
"UA","12/24/2023","1871","N4888U","DEN","05:00","05:06","154","157","6","05:20","14","0","0","0","0","0"
"UA","12/25/2023","1871","N894UA","DEN","05:00","05:00","154","158","0","05:22","22","0","0","0","0","0"
"UA","12/26/2023","1871","N824UA","DEN","05:00","05:03","154","174","3","05:40","37","0","0","23","0","0"
"UA","12/27/2023","1871","N878UA","DEN","05:00","05:00","154","149","0","05:16","16","0","0","0","0","0"
"UA","12/28/2023","1871","N874UA","DEN","05:00","04:57","154","146","-3","05:12","15","0","0","0","0","0"
"UA","12/29/2023","1871","N828UA","DEN","05:00","05:18","154","156","18","05:47","29","18","0","2","0","0"
"UA","12/30/2023","1871","N821UA","DEN","05:00","05:06","154","149","6","05:29","23","0","0","0","0","0"
"UA","12/31/2023","1871","N807UA","DEN","05:00","05:07","154","143","7","05:21","14","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
