Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0507","N513AS","SEA","14:43","14:33","177","166","-10","14:55","22","0","0","0","0","0"
"AS","12/01/2021","0658","N845VA","SEA","16:23","17:37","177","178","74","17:54","17","2","0","1","0","72"
"AS","12/01/2021","0706","N638VA","PDX","09:15","09:06","148","145","-9","09:25","19","0","0","0","0","0"
"AS","12/01/2021","1325","N513AS","SEA","07:00","06:52","180","165","-8","07:09","17","0","0","0","0","0"
"AS","12/01/2021","1421","N853VA","SEA","12:14","12:11","181","159","-3","12:25","14","0","0","0","0","0"
"AS","12/01/2022","0049","N533AS","PDX","11:20","12:17","151","142","57","12:29","12","0","0","0","0","48"
"AS","12/01/2022","0057","N637VA","SEA","11:45","00:00","178","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0505","N531AS","SEA","21:00","20:55","178","167","-5","21:10","15","0","0","0","0","0"
"AS","12/01/2022","0507","N849VA","SEA","14:50","00:00","180","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0527","N527AS","SEA","08:15","00:00","184","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0583","N855VA","PDX","16:40","17:20","150","152","40","17:40","20","0","0","2","0","40"
"AS","12/01/2022","0673","N546AS","SEA","17:50","17:45","177","157","-5","17:57","12","0","0","0","0","0"
"AS","12/01/2022","0781","N537AS","SEA","10:00","00:00","178","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0822","N361VA","PDX","07:00","06:55","156","143","-5","07:15","20","0","0","0","0","0"
"AS","12/01/2022","1325","N849VA","SEA","07:00","00:00","184","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","1049","N566AS","PDX","14:00","14:09","150","162","9","14:22","13","0","0","14","0","7"
"AS","12/01/2023","1053","N524AS","SEA","18:32","18:43","174","193","11","18:57","14","11","0","19","0","0"
"AS","12/01/2023","1085","N560AS","PDX","20:15","20:03","150","156","-12","20:16","13","0","0","0","0","0"
"AS","12/01/2023","1117","N586AS","SEA","08:00","07:53","177","196","-7","08:04","11","0","0","0","0","0"
"AS","12/01/2023","1149","N644AS","SEA","09:33","09:23","177","187","-10","09:36","13","0","0","0","0","0"
"AS","12/01/2023","1173","N611AS","SEA","11:43","11:35","179","184","-8","11:50","15","0","0","0","0","0"
"AS","12/01/2023","1181","N581AS","PDX","06:50","06:38","155","180","-12","07:07","29","0","0","0","0","0"
"AS","12/01/2023","1191","N590AS","SEA","14:43","15:11","178","194","28","15:24","13","28","0","16","0","0"
"AS","12/01/2023","1203","N517AS","SEA","19:50","19:34","174","191","-16","19:51","17","0","0","0","0","0"
"AS","12/01/2023","1229","N644AS","SEA","17:30","17:20","174","186","-10","17:30","10","0","0","0","0","0"
"AS","12/01/2023","1299","N519AS","PDX","10:17","10:08","155","170","-9","10:24","16","0","0","0","0","0"
"AS","12/01/2023","1325","N548AS","SEA","06:45","06:42","179","214","-3","07:14","32","0","0","32","0","0"
"AS","12/02/2021","0507","N552AS","SEA","14:43","14:35","177","158","-8","14:54","19","0","0","0","0","0"
"AS","12/02/2021","0527","N581AS","SEA","08:00","08:46","180","150","46","08:58","12","0","0","0","0","16"
"AS","12/02/2021","0658","N838VA","SEA","16:23","16:53","177","159","30","17:06","13","0","0","0","0","0"
"AS","12/02/2021","0706","N638VA","PDX","09:15","09:17","148","139","2","09:33","16","0","0","0","0","0"
"AS","12/02/2021","1325","N525AS","SEA","07:00","00:00","180","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2021","1421","N636VA","SEA","12:14","13:15","181","152","61","13:28","13","32","0","0","0","0"
"AS","12/02/2022","0049","N518AS","PDX","11:20","12:02","151","150","42","12:27","25","0","0","0","0","41"
