Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0679","N341NB","MSP","06:45","07:08","218","215","23","07:22","14","20","0","0","0","0"
"DL","12/01/2021","0778","N658DL","ATL","13:04","13:05","244","254","1","13:15","10","0","0","0","0","0"
"DL","12/01/2021","0971","N554NW","ATL","06:55","06:49","255","252","-6","07:07","18","0","0","0","0","0"
"DL","12/01/2021","1085","N322NB","MSP","12:15","12:03","217","221","-12","12:21","18","0","0","0","0","0"
"DL","12/01/2021","1390","N125DU","SLC","13:40","13:42","114","103","2","13:52","10","0","0","0","0","0"
"DL","12/01/2021","1451","N124DU","SLC","16:52","16:52","112","113","0","17:06","14","0","0","0","0","0"
"DL","12/01/2021","1705","N107DU","SLC","19:06","19:01","109","111","-5","19:17","16","0","0","0","0","0"
"DL","12/01/2021","2176","N136DQ","SEA","07:45","07:41","180","159","-4","07:51","10","0","0","0","0","0"
"DL","12/01/2021","2179","N135DQ","SEA","11:21","11:21","175","167","0","11:40","19","0","0","0","0","0"
"DL","12/01/2021","2277","N131DU","SEA","18:48","10:08","172","156","920","10:22","14","0","0","0","0","904"
"DL","12/01/2021","2872","N132DU","SLC","10:00","10:14","109","109","14","10:28","14","0","0","0","0","0"
"DL","12/01/2021","2907","N107DU","SLC","07:30","07:23","120","116","-7","07:33","10","0","0","0","0","0"
"DL","12/01/2022","0552","N140DU","SLC","19:00","18:55","114","103","-5","19:15","20","0","0","0","0","0"
"DL","12/01/2022","0778","N6707A","ATL","13:36","13:33","248","223","-3","13:50","17","0","0","0","0","0"
"DL","12/01/2022","1004","N359NB","MSP","08:35","08:34","220","189","-1","08:45","11","0","0","0","0","0"
"DL","12/01/2022","1012","N140DU","SEA","11:10","11:03","184","168","-7","11:18","15","0","0","0","0","0"
"DL","12/01/2022","1056","N699DL","ATL","21:30","21:14","235","213","-16","21:28","14","0","0","0","0","0"
"DL","12/01/2022","1138","N339NB","MSP","12:21","12:12","222","231","-9","13:08","56","0","0","0","0","0"
"DL","12/01/2022","1256","N359NW","SLC","13:19","15:57","115","112","158","16:27","30","0","0","0","0","155"
"DL","12/01/2022","1451","N340NW","SLC","17:20","17:33","115","101","13","17:46","13","0","0","0","0","0"
"DL","12/01/2022","2187","N685DA","DTW","11:45","11:39","267","245","-6","11:49","10","0","0","0","0","0"
"DL","12/01/2022","2195","N370NB","SLC","07:00","06:53","121","104","-7","07:14","21","0","0","0","0","0"
"DL","12/01/2022","2460","N359NW","SLC","10:21","10:16","114","99","-5","10:32","16","0","0","0","0","0"
"DL","12/01/2022","2490","N302DU","SEA","19:41","19:29","179","182","-12","19:42","13","0","0","0","0","0"
"DL","12/01/2022","2502","N693DL","ATL","06:45","08:17","255","222","92","08:29","12","59","0","0","0","0"
"DL","12/01/2022","2557","N108DQ","SEA","07:20","07:45","190","157","25","07:55","10","0","0","0","0","0"
"DL","12/01/2022","2752","N142DU","SEA","17:25","17:28","180","168","3","17:38","10","0","0","0","0","0"
"DL","12/01/2022","2775","N359NB","MSP","14:31","17:36","215","181","185","17:48","12","0","0","0","0","151"
"DL","12/01/2023","0304","N699DL","DTW","11:53","11:46","270","235","-7","11:59","13","0","0","0","0","0"
"DL","12/01/2023","0311","N120DU","SEA","09:50","09:36","190","181","-14","09:49","13","0","0","0","0","0"
"DL","12/01/2023","0329","N707TW","ATL","13:05","12:59","252","222","-6","13:11","12","0","0","0","0","0"
"DL","12/01/2023","1079","N354NB","MSP","12:20","12:10","219","210","-10","12:27","17","0","0","0","0","0"
"DL","12/01/2023","1148","N122DU","SLC","07:15","07:07","123","117","-8","07:19","12","0","0","0","0","0"
"DL","12/01/2023","2077","N103DU","SLC","19:05","20:34","114","114","89","20:44","10","0","0","0","0","89"
"DL","12/01/2023","2236","N113DQ","SEA","07:30","07:17","195","190","-13","07:28","11","0","0","0","0","0"
"DL","12/01/2023","2347","N117DU","SLC","10:15","10:07","114","106","-8","10:20","13","0","0","0","0","0"
"DL","12/01/2023","2373","N123DQ","SEA","15:40","15:35","190","182","-5","15:47","12","0","0","0","0","0"
