Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","0582","","DEN","19:50","00:00","139","0","0","00:00","0","0","0","0","0","0"
"F9","12/01/2021","2122","N323FR","LAS","09:22","11:10","71","67","108","11:22","12","73","0","31","0","0"
"F9","12/01/2021","2124","","LAS","20:55","00:00","71","0","0","00:00","0","0","0","0","0","0"
"F9","12/01/2022","0582","N364FR","DEN","18:51","18:55","137","117","4","19:06","11","0","0","0","0","0"
"F9","12/01/2022","2124","N232FR","LAS","13:23","14:17","72","91","54","14:54","37","0","0","45","0","28"
"F9","12/01/2022","2778","N361FR","PHX","11:57","11:47","85","67","-10","11:57","10","0","0","0","0","0"
"F9","12/01/2023","1700","N373FR","LAS","13:51","14:02","74","70","11","14:14","12","0","0","0","0","0"
"F9","12/01/2023","1720","N233FR","PHX","12:37","13:01","78","102","24","13:34","33","2","0","24","0","22"
"F9","12/01/2023","2604","N372FR","DFW","08:39","08:56","177","166","17","09:07","11","0","0","0","0","0"
"F9","12/01/2023","4372","N373FR","DEN","18:25","18:15","140","123","-10","18:25","10","0","0","0","0","0"
"F9","12/02/2021","0582","N338FR","DEN","19:48","19:40","139","166","-8","19:51","11","0","0","19","0","0"
"F9","12/02/2021","2122","N322FR","LAS","09:23","10:16","71","66","53","10:23","7","0","0","0","0","48"
"F9","12/02/2021","2124","N322FR","LAS","20:55","20:54","71","66","-1","21:05","11","0","0","0","0","0"
"F9","12/02/2022","0582","N379FR","DEN","18:49","19:19","137","128","30","19:39","20","5","0","3","0","13"
"F9","12/02/2022","2124","N336FR","LAS","13:22","13:50","72","69","28","14:02","12","0","0","25","0","0"
"F9","12/02/2022","2778","N331FR","PHX","11:34","11:41","85","82","7","12:03","22","0","0","0","0","0"
"F9","12/02/2023","1700","N392FR","LAS","14:10","14:05","75","76","-5","14:19","14","0","0","0","0","0"
"F9","12/02/2023","1720","N305FR","PHX","12:37","12:41","78","75","4","12:56","15","0","0","0","0","0"
"F9","12/02/2023","3326","N308FR","DFW","15:44","15:35","177","167","-9","15:47","12","0","0","0","0","0"
"F9","12/02/2023","4372","N338FR","DEN","18:25","18:41","140","139","16","18:52","11","0","0","0","0","15"
"F9","12/03/2021","0582","N346FR","DEN","19:50","19:41","139","131","-9","19:52","11","0","0","0","0","0"
"F9","12/03/2021","2122","N322FR","LAS","08:56","09:07","71","72","11","09:23","16","0","0","0","0","0"
"F9","12/03/2021","2124","N382FR","LAS","20:55","20:46","71","62","-9","20:58","12","0","0","0","0","0"
"F9","12/03/2022","0582","N335FR","DEN","18:39","18:37","137","119","-2","18:50","13","0","0","0","0","0"
"F9","12/03/2022","2124","N393FR","LAS","13:22","15:21","72","68","119","15:35","14","0","0","2","0","113"
"F9","12/03/2022","2778","N351FR","PHX","11:34","14:13","85","67","159","14:23","10","5","0","0","0","136"
"F9","12/03/2023","1700","N371FR","LAS","14:10","14:03","75","81","-7","14:29","26","0","0","0","0","0"
"F9","12/03/2023","1720","N305FR","PHX","12:37","12:44","78","79","7","12:53","9","0","0","0","0","0"
"F9","12/03/2023","3326","N391FR","DFW","16:13","16:03","177","203","-10","16:15","12","0","0","16","0","0"
"F9","12/03/2023","4372","N371FR","DEN","18:25","18:15","140","141","-10","18:27","12","0","0","0","0","0"
"F9","12/04/2021","0582","N326FR","DEN","19:48","19:39","139","138","-9","19:49","10","0","0","0","0","0"
"F9","12/04/2021","2118","N375FR","LAS","20:55","20:54","71","64","-1","21:04","10","0","0","0","0","0"
"F9","12/04/2021","2122","N373FR","LAS","12:45","12:33","73","73","-12","12:55","22","0","0","0","0","0"
"F9","12/04/2022","0582","N381FR","DEN","18:48","18:42","137","134","-6","18:53","11","0","0","0","0","0"
"F9","12/04/2022","2124","N379FR","LAS","13:22","14:03","72","104","41","14:42","39","14","0","41","0","18"
"F9","12/04/2022","2778","N229FR","PHX","11:34","12:20","85","92","46","12:45","25","0","0","32","0","21"
"F9","12/04/2023","1700","N367FR","LAS","13:56","13:47","74","75","-9","14:06","19","0","0","0","0","0"
"F9","12/04/2023","1720","N391FR","PHX","12:37","12:28","78","84","-9","12:37","9","0","0","0","0","0"
"F9","12/04/2023","3326","N369FR","DFW","16:49","17:48","177","176","59","18:03","15","9","0","0","0","49"
"F9","12/04/2023","4372","N392FR","DEN","18:31","18:48","140","148","17","19:01","13","0","0","8","0","17"
"F9","12/05/2021","0582","N206FR","DEN","16:42","16:36","139","156","-6","16:58","22","0","0","0","0","0"
"F9","12/05/2021","2122","N313FR","LAS","20:55","20:46","71","60","-9","20:56","10","0","0","0","0","0"
