Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2241","N645QX","STS","17:25","17:20","94","88","-5","17:28","8","0","0","0","0","0"
"QX","12/01/2021","2375","N627QX","SEA","19:00","20:15","180","157","75","20:31","16","52","0","0","0","0"
"QX","12/01/2021","2495","N644QX","SEA","17:58","17:57","182","162","-1","18:11","14","0","0","0","0","0"
"QX","12/01/2021","2501","N646QX","PDX","21:20","00:00","156","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2530","N646QX","PDX","13:20","13:19","156","138","-1","13:29","10","0","0","0","0","0"
"QX","12/01/2022","2116","N644QX","PAE","14:10","14:29","178","172","19","14:45","16","0","0","0","0","0"
"QX","12/01/2023","2116","N650QX","PAE","17:44","17:38","181","187","-6","17:49","11","0","0","0","0","0"
"QX","12/01/2023","2220","N650QX","PAE","10:33","10:29","181","197","-4","10:46","17","0","0","0","0","0"
"QX","12/02/2021","2241","N646QX","STS","17:25","17:21","94","87","-4","17:29","8","0","0","0","0","0"
"QX","12/02/2021","2375","N645QX","SEA","19:00","19:08","180","173","8","19:18","10","0","0","0","0","0"
"QX","12/02/2021","2495","N632QX","SEA","17:50","17:44","182","158","-6","17:54","10","0","0","0","0","0"
