Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3310","N171SY","SFO","21:30","00:00","91","0","0","00:00","0","0","0","0","0","0"
"OO","12/01/2021","3377","N174SY","SFO","09:10","09:10","90","75","0","09:23","13","0","0","0","0","0"
"OO","12/01/2021","3405","N193SY","SFO","07:00","06:56","90","86","-4","07:16","20","0","0","0","0","0"
"OO","12/01/2021","3464","N171SY","SFO","17:05","16:56","91","73","-9","17:07","11","0","0","0","0","0"
"OO","12/01/2021","5750","N791SK","SFO","18:22","18:07","97","80","-15","18:29","22","0","0","0","0","0"
"OO","12/01/2022","3302","N194SY","SFO","21:05","20:55","88","95","-10","21:07","12","0","0","0","0","0"
"OO","12/01/2022","3324","N194SY","SFO","07:00","06:55","95","108","-5","07:12","17","0","0","0","0","0"
"OO","12/01/2022","3380","N430SY","STS","10:45","11:26","98","94","41","11:36","10","0","0","0","0","37"
"OO","12/01/2022","3404","N173SY","SFO","13:55","14:31","89","80","36","14:43","12","0","0","0","0","27"
"OO","12/01/2022","3440","N173SY","SFO","09:25","10:20","94","92","55","10:37","17","0","0","53","0","0"
"OO","12/01/2022","3450","N194SY","SFO","11:45","11:41","94","95","-4","12:07","26","0","0","0","0","0"
"OO","12/01/2022","3492","N173SY","SFO","18:15","18:30","88","86","15","18:44","14","0","0","0","0","0"
"OO","12/01/2022","3494","N194SY","SFO","16:10","16:00","88","95","-10","16:23","23","0","0","0","0","0"
"OO","12/01/2022","5473","N789SK","SFO","10:49","10:42","91","93","-7","11:00","18","0","0","0","0","0"
"OO","12/01/2022","5540","N154SY","SFO","19:13","19:09","96","80","-4","19:20","11","0","0","0","0","0"
"OO","12/01/2023","3314","N187SY","SFO","14:12","14:10","96","90","-2","14:29","19","0","0","0","0","0"
"OO","12/01/2023","3395","N185SY","STS","16:20","16:13","105","112","-7","16:32","19","0","0","0","0","0"
"OO","12/01/2023","3396","N195SY","SFO","16:32","16:27","93","86","-5","16:41","14","0","0","0","0","0"
"OO","12/01/2023","3417","N195SY","SFO","10:30","10:24","98","99","-6","10:44","20","0","0","0","0","0"
"OO","12/01/2023","3426","N187SY","SFO","18:50","18:42","93","100","-8","18:54","12","0","0","0","0","0"
"OO","12/01/2023","3440","N194SY","SFO","08:00","08:22","98","90","22","08:41","19","0","0","0","0","0"
"OO","12/01/2023","5710","N784SK","SFO","10:46","10:42","94","80","-4","10:52","10","0","0","0","0","0"
"OO","12/01/2023","5712","N156SY","SFO","15:45","15:38","96","91","-7","15:57","19","0","0","0","0","0"
"OO","12/01/2023","5926","N161SY","SFO","11:49","11:43","95","93","-6","11:55","12","0","0","0","0","0"
"OO","12/02/2021","3310","N186SY","SFO","21:30","21:30","91","71","0","21:37","7","0","0","0","0","0"
"OO","12/02/2021","3377","N171SY","SFO","09:10","09:05","90","75","-5","09:13","8","0","0","0","0","0"
"OO","12/02/2021","3405","N174SY","SFO","07:00","00:00","90","0","0","00:00","0","0","0","0","0","0"
