Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: Spirit Airlines (NK)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","12/01/2021","0870","N635NK","LAS","14:50","14:42","75","61","-8","14:52","10","0","0","0","0","0"
"NK","12/01/2021","0872","N945NK","SMF","13:00","12:51","91","82","-9","13:01","10","0","0","0","0","0"
"NK","12/01/2021","2901","N922NK","OAK","16:05","15:57","91","72","-8","16:04","7","0","0","0","0","0"
"NK","12/01/2021","2905","N922NK","OAK","11:15","11:20","89","73","5","11:29","9","0","0","0","0","0"
"NK","12/01/2021","2907","N910NK","LAS","20:00","19:56","71","79","-4","20:25","29","0","0","0","0","0"
"NK","12/01/2022","0070","N957NK","LAS","20:10","20:07","64","64","-3","20:16","9","0","0","0","0","0"
"NK","12/01/2022","0870","N917NK","LAS","06:45","06:37","62","70","-8","07:00","23","0","0","0","0","0"
"NK","12/01/2022","1850","N615NK","LAS","10:20","10:16","63","60","-4","10:28","12","0","0","0","0","0"
"NK","12/01/2022","2901","N617NK","OAK","18:30","18:52","84","81","22","19:04","12","0","0","19","0","0"
"NK","12/01/2022","2907","N606NK","LAS","13:05","13:43","65","65","38","13:52","9","0","0","38","0","0"
"NK","12/01/2023","0070","N649NK","OAK","11:10","11:06","85","86","-4","11:17","11","0","0","0","0","0"
"NK","12/01/2023","0870","N601NK","LAS","06:45","06:36","71","74","-9","07:01","25","0","0","0","0","0"
"NK","12/01/2023","2901","N649NK","LAS","15:50","15:46","74","61","-4","15:54","8","0","0","0","0","0"
"NK","12/01/2023","2907","N933NK","LAS","14:10","14:25","75","66","15","14:35","10","0","0","0","0","0"
"NK","12/02/2021","0870","N928NK","LAS","14:50","14:42","75","71","-8","14:56","14","0","0","0","0","0"
"NK","12/02/2021","0872","N920NK","SMF","13:00","12:55","91","80","-5","13:02","7","0","0","0","0","0"
"NK","12/02/2021","2901","N910NK","OAK","16:05","15:56","91","69","-9","16:05","9","0","0","0","0","0"
"NK","12/02/2021","2905","N910NK","OAK","11:15","11:08","89","78","-7","11:23","15","0","0","0","0","0"
"NK","12/02/2021","2907","N920NK","LAS","20:00","19:50","71","86","-10","19:58","8","0","0","0","0","0"
