Detailed Statistics Departures  
Origin Airport: Santa Ana, CA: John Wayne Airport-Orange County (SNA)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","0411","N24736","HNL","08:20","08:28","360","327","8","08:43","15","0","0","0","0","0"
"UA","12/01/2021","0563","N38727","ORD","11:04","11:32","241","258","28","11:55","23","12","0","17","0","16"
"UA","12/01/2021","0570","N77536","IAH","12:15","12:12","184","191","-3","12:22","10","0","0","0","0","0"
"UA","12/01/2021","0574","","EWR","21:15","00:00","307","0","0","00:00","0","0","0","0","0","0"
"UA","12/01/2021","0598","N14704","EWR","07:45","07:45","315","318","0","07:57","12","0","0","0","0","0"
"UA","12/01/2021","1092","N810UA","SFO","13:38","13:24","91","72","-14","13:34","10","0","0","0","0","0"
"UA","12/01/2021","1115","N14242","IAH","13:45","13:32","184","197","-13","13:44","12","0","0","0","0","0"
"UA","12/01/2021","1481","N14219","IAH","08:15","08:01","186","200","-14","08:23","22","0","0","0","0","0"
"UA","12/01/2021","1868","N76505","SFO","16:05","15:50","91","81","-15","16:08","18","0","0","0","0","0"
"UA","12/01/2021","2148","N35271","SFO","06:45","06:34","100","100","-11","07:03","29","0","0","0","0","0"
"UA","12/01/2021","2199","N460UA","DEN","13:00","12:54","138","136","-6","13:10","16","0","0","0","0","0"
"UA","12/01/2021","2246","N426UA","SFO","10:16","10:19","91","74","3","10:35","16","0","0","0","0","0"
"UA","12/01/2021","2408","N79521","DEN","08:55","08:52","138","141","-3","09:11","19","0","0","0","0","0"
"UA","12/01/2021","2469","N14735","ORD","07:00","06:55","242","253","-5","07:12","17","0","0","0","0","0"
"UA","12/01/2021","2637","N76288","DEN","11:30","11:15","138","132","-15","11:28","13","0","0","0","0","0"
"UA","12/01/2022","0246","N27205","SFO","06:48","06:34","98","112","-14","07:04","30","0","0","0","0","0"
"UA","12/01/2022","0307","N27722","EWR","07:45","07:36","316","288","-9","07:48","12","0","0","0","0","0"
"UA","12/01/2022","0382","N24706","IAH","12:19","12:13","186","168","-6","12:24","11","0","0","0","0","0"
"UA","12/01/2022","0624","N12238","DEN","16:00","15:57","139","123","-3","16:14","17","0","0","0","0","0"
"UA","12/01/2022","0628","N38268","DEN","10:58","10:51","141","123","-7","11:05","14","0","0","0","0","0"
"UA","12/01/2022","1246","N76522","DEN","12:37","12:30","141","111","-7","12:38","8","0","0","0","0","0"
"UA","12/01/2022","1368","N14731","EWR","13:56","13:46","303","307","-10","14:05","19","0","0","0","0","0"
