Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2022","0253","N977AK","SEA","15:05","00:00","160","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","1139","N533AS","SEA","17:05","16:54","158","164","-11","17:03","9","0","0","0","0","0"
"AS","12/02/2022","0253","N971AK","SEA","15:05","15:41","160","149","36","16:00","19","0","0","0","0","25"
"AS","12/02/2023","1139","N597AS","SEA","17:05","17:01","158","161","-4","17:04","3","0","0","0","0","0"
"AS","12/03/2022","0253","N237AK","SEA","15:05","15:42","160","131","37","15:52","10","0","0","0","0","0"
"AS","12/03/2023","1139","N552AS","SEA","17:05","16:49","158","161","-16","17:09","20","0","0","0","0","0"
"AS","12/04/2022","0253","N524AS","SEA","15:05","15:23","160","150","18","15:39","16","0","0","0","0","0"
"AS","12/04/2023","1139","N577AS","SEA","17:05","16:54","158","156","-11","17:07","13","0","0","0","0","0"
"AS","12/05/2022","0253","N275AK","SEA","15:05","14:50","160","140","-15","15:00","10","0","0","0","0","0"
"AS","12/05/2023","1139","N553AS","SEA","17:05","16:51","158","143","-14","17:03","12","0","0","0","0","0"
"AS","12/06/2022","0253","N413AS","SEA","15:05","14:53","160","154","-12","15:10","17","0","0","0","0","0"
"AS","12/06/2023","1139","N506AS","SEA","17:05","17:11","158","150","6","17:26","15","0","0","0","0","0"
"AS","12/07/2022","0253","N973AK","SEA","15:05","15:36","160","155","31","15:51","15","26","0","0","0","0"
"AS","12/07/2023","1139","N529AS","SEA","17:05","16:49","158","154","-16","17:01","12","0","0","0","0","0"
"AS","12/08/2022","0253","N943AK","SEA","15:05","15:21","160","149","16","15:33","12","0","0","0","0","0"
"AS","12/08/2023","1139","N592AS","SEA","17:05","16:48","158","173","-17","16:59","11","0","0","0","0","0"
"AS","12/09/2022","0253","N979AK","SEA","15:05","14:57","160","159","-8","15:16","19","0","0","0","0","0"
"AS","12/09/2023","1139","N546AS","SEA","17:05","18:01","158","156","56","18:15","14","0","0","0","0","54"
"AS","12/10/2022","0253","N238AK","SEA","15:05","15:13","160","151","8","15:35","22","0","0","0","0","0"
"AS","12/10/2023","1139","N528AS","SEA","17:05","16:54","158","154","-11","17:11","17","0","0","0","0","0"
"AS","12/11/2022","0253","N937AK","SEA","15:05","15:01","160","159","-4","15:16","15","0","0","0","0","0"
"AS","12/11/2023","1139","N513AS","SEA","17:05","17:06","158","152","1","17:16","10","0","0","0","0","0"
"AS","12/12/2022","0253","N318AS","SEA","15:05","15:08","160","174","3","15:22","14","0","0","17","0","0"
"AS","12/12/2023","1139","N593AS","SEA","17:05","17:01","158","186","-4","17:09","8","0","0","24","0","0"
"AS","12/13/2022","0253","N971AK","SEA","15:05","15:01","160","153","-4","15:12","11","0","0","0","0","0"
"AS","12/13/2023","1139","N546AS","SEA","17:05","17:10","158","148","5","17:25","15","0","0","0","0","0"
"AS","12/14/2022","0253","N215AK","SEA","15:05","14:57","160","154","-8","15:06","9","0","0","0","0","0"
"AS","12/14/2023","1139","N566AS","SEA","16:57","16:54","159","149","-3","17:12","18","0","0","0","0","0"
"AS","12/15/2022","0890","N568AS","SEA","13:50","13:40","164","145","-10","13:51","11","0","0","0","0","0"
"AS","12/15/2023","1139","N577AS","SEA","16:57","18:48","159","141","111","18:58","10","0","0","0","0","93"
"AS","12/16/2022","0890","N557AS","SEA","13:50","14:08","164","148","18","14:20","12","0","0","0","0","0"
"AS","12/16/2023","1139","N528AS","SEA","16:57","17:24","159","140","27","17:40","16","0","0","0","0","0"
"AS","12/17/2022","0890","N588AS","SEA","13:50","14:18","164","150","28","14:29","11","0","0","0","0","0"
"AS","12/17/2023","1139","N569AS","SEA","16:57","17:06","159","135","9","17:23","17","0","0","0","0","0"
"AS","12/18/2022","0890","N524AS","SEA","13:50","13:37","164","158","-13","13:54","17","0","0","0","0","0"
"AS","12/18/2023","1139","N593AS","SEA","16:57","16:58","159","140","1","17:15","17","0","0","0","0","0"
"AS","12/19/2022","0890","N559AS","SEA","13:50","13:40","164","162","-10","13:58","18","0","0","0","0","0"
"AS","12/19/2023","1139","N551AS","SEA","16:57","16:56","159","149","-1","17:13","17","0","0","0","0","0"
"AS","12/20/2022","0890","N548AS","SEA","13:50","14:10","164","200","20","14:48","38","20","0","36","0","0"
"AS","12/20/2023","1139","N587AS","SEA","16:57","00:00","159","0","0","00:00","0","0","0","0","0","0"
"AS","12/21/2022","0890","N569AS","SEA","13:50","00:00","164","0","0","00:00","0","0","0","0","0","0"
"AS","12/21/2023","1139","N556AS","SEA","16:57","00:00","159","0","0","00:00","0","0","0","0","0","0"
"AS","12/22/2022","0890","N527AS","SEA","13:50","14:34","164","147","44","14:44","10","0","0","0","0","27"
"AS","12/22/2023","1139","N520AS","SEA","16:57","17:04","159","165","7","17:24","20","0","0","0","0","0"
"AS","12/23/2022","0890","N577AS","SEA","13:50","00:00","164","0","0","00:00","0","0","0","0","0","0"
"AS","12/23/2023","1139","N594AS","SEA","16:57","16:46","159","157","-11","17:01","15","0","0","0","0","0"
"AS","12/24/2022","0890","N564AS","SEA","13:50","15:25","164","145","95","15:36","11","0","0","0","0","76"
"AS","12/24/2023","1139","N526AS","SEA","16:57","17:27","159","153","30","17:36","9","24","0","0","0","0"
"AS","12/25/2022","0890","N588AS","SEA","13:50","00:00","164","0","0","00:00","0","0","0","0","0","0"
"AS","12/25/2023","1139","N514AS","SEA","16:57","16:46","159","157","-11","16:55","9","0","0","0","0","0"
"AS","12/26/2022","0890","N548AS","SEA","13:50","15:51","164","155","121","16:08","17","0","0","0","0","112"
"AS","12/26/2023","1139","N538AS","SEA","16:57","17:04","159","151","7","17:16","12","0","0","0","0","0"
"AS","12/27/2022","0890","N559AS","SEA","13:50","15:30","164","152","100","15:44","14","0","0","0","0","88"
"AS","12/27/2023","1139","N524AS","SEA","16:57","16:47","159","152","-10","17:08","21","0","0","0","0","0"
"AS","12/28/2022","0890","N531AS","SEA","13:50","13:42","164","176","-8","13:56","14","0","0","0","0","0"
"AS","12/28/2023","1139","N538AS","SEA","16:57","17:46","159","154","49","17:56","10","44","0","0","0","0"
"AS","12/29/2022","0890","N527AS","SEA","13:50","14:30","164","198","40","14:49","19","0","0","34","0","40"
"AS","12/29/2023","1139","N527AS","SEA","16:57","16:50","159","139","-7","17:03","13","0","0","0","0","0"
"AS","12/30/2022","0890","N535AS","SEA","13:50","14:28","164","164","38","14:43","15","0","0","0","0","38"
"AS","12/30/2023","1139","N525AS","SEA","16:57","16:43","159","154","-14","16:55","12","0","0","0","0","0"
"AS","12/31/2022","0890","N558AS","SEA","13:50","13:53","164","147","3","14:05","12","0","0","0","0","0"
"AS","12/31/2023","1139","N593AS","SEA","16:57","16:52","159","143","-5","17:05","13","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
