Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","1705","N829AW","DFW","06:00","05:54","193","197","-6","06:12","18","0","0","0","0","0"
"AA","12/01/2021","1810","N9011P","DFW","12:43","13:31","193","203","48","13:41","10","0","0","58","0","0"
"AA","12/01/2022","0589","N772XF","DFW","05:45","05:39","192","167","-6","05:49","10","0","0","0","0","0"
"AA","12/01/2022","1899","N126UW","PHX","09:55","09:48","89","75","-7","09:59","11","0","0","0","0","0"
"AA","12/01/2022","1981","N775XF","DFW","14:20","15:13","192","179","53","15:26","13","8","0","0","0","32"
"AA","12/01/2023","0842","N801AW","DFW","05:30","05:21","192","185","-9","05:42","21","0","0","0","0","0"
"AA","12/01/2023","2876","N827AW","PHX","12:40","12:34","89","94","-6","12:48","14","0","0","0","0","0"
"AA","12/02/2021","1705","N9011P","DFW","05:30","11:29","193","187","359","11:40","11","8","0","0","0","345"
"AA","12/02/2021","1810","N9012","DFW","12:56","13:02","193","182","6","13:15","13","0","0","0","0","0"
"AA","12/02/2022","0589","N821AW","DFW","05:45","05:39","192","176","-6","05:51","12","0","0","0","0","0"
"AA","12/02/2022","1899","N657AW","PHX","09:55","09:47","89","82","-8","10:03","16","0","0","0","0","0"
"AA","12/02/2022","1981","N711UW","DFW","14:20","14:23","192","170","3","14:38","15","0","0","0","0","0"
"AA","12/02/2023","0842","N746UW","DFW","05:30","05:25","192","168","-5","05:36","11","0","0","0","0","0"
"AA","12/02/2023","2876","N821AW","PHX","12:40","12:37","89","91","-3","12:54","17","0","0","0","0","0"
"AA","12/03/2021","1705","N9012","DFW","05:30","05:28","193","185","-2","05:42","14","0","0","0","0","0"
"AA","12/03/2021","1810","N8030F","DFW","12:56","12:48","193","188","-8","12:59","11","0","0","0","0","0"
"AA","12/03/2022","0589","N808AW","DFW","05:45","05:39","192","172","-6","05:53","14","0","0","0","0","0"
"AA","12/03/2022","1899","N663AW","PHX","09:55","09:46","89","84","-9","09:57","11","0","0","0","0","0"
"AA","12/03/2022","1981","N823AW","DFW","14:20","14:31","192","176","11","14:47","16","0","0","0","0","0"
"AA","12/03/2023","0842","N778XF","DFW","05:30","05:51","192","178","21","06:05","14","0","0","0","0","0"
"AA","12/03/2023","2876","N837AW","PHX","12:40","12:38","89","92","-2","12:54","16","0","0","0","0","0"
"AA","12/04/2021","1705","N9021H","DFW","05:30","05:25","193","182","-5","05:39","14","0","0","0","0","0"
"AA","12/04/2021","1810","N8030F","DFW","12:56","13:47","193","177","51","14:01","14","0","0","0","0","35"
"AA","12/04/2022","0589","N733UW","DFW","05:45","05:42","192","187","-3","06:13","31","0","0","0","0","0"
"AA","12/04/2022","1899","N119US","PHX","09:55","11:17","89","102","82","11:39","22","82","0","13","0","0"
"AA","12/04/2022","1981","N756US","DFW","14:20","14:43","192","189","23","14:56","13","0","0","0","0","20"
"AA","12/04/2023","0842","N773XF","DFW","05:30","05:48","192","176","18","06:03","15","0","0","0","0","0"
"AA","12/04/2023","2876","N770UW","PHX","12:40","12:35","89","83","-5","12:43","8","0","0","0","0","0"
"AA","12/05/2021","1705","N8030F","DFW","05:30","05:25","193","202","-5","05:37","12","0","0","0","0","0"
"AA","12/05/2021","1810","N805AW","DFW","12:56","12:57","193","198","1","13:20","23","0","0","0","0","0"
"AA","12/05/2022","0589","N823AW","DFW","05:45","05:43","192","168","-2","05:54","11","0","0","0","0","0"
"AA","12/05/2022","1899","N665AW","PHX","09:55","11:17","89","87","82","11:29","12","80","0","0","0","0"
"AA","12/05/2022","1981","N768US","DFW","14:20","18:37","192","156","257","18:48","11","0","0","0","0","221"
"AA","12/05/2023","0842","N776XF","DFW","06:00","05:59","193","193","-1","06:13","14","0","0","0","0","0"
"AA","12/05/2023","2876","N808AW","PHX","16:35","16:25","88","85","-10","16:35","10","0","0","0","0","0"
"AA","12/06/2021","1705","N5007E","DFW","05:30","05:29","193","181","-1","05:42","13","0","0","0","0","0"
"AA","12/06/2021","2774","N93003","DFW","14:43","14:35","195","194","-8","14:47","12","0","0","0","0","0"
"AA","12/06/2022","0589","N832AW","DFW","05:45","05:49","192","172","4","06:05","16","0","0","0","0","0"
"AA","12/06/2022","1899","N112US","PHX","09:55","09:52","89","88","-3","10:12","20","0","0","0","0","0"
"AA","12/06/2022","1981","N828AW","DFW","14:20","14:16","192","177","-4","14:32","16","0","0","0","0","0"
"AA","12/06/2023","0842","N773XF","DFW","06:00","05:59","193","189","-1","06:12","13","0","0","0","0","0"
"AA","12/06/2023","2876","N827AW","PHX","16:35","16:26","88","92","-9","16:42","16","0","0","0","0","0"
"AA","12/07/2021","1705","N8030F","DFW","05:30","05:23","193","166","-7","05:37","14","0","0","0","0","0"
"AA","12/07/2021","1810","N9015D","DFW","12:56","12:54","193","188","-2","13:05","11","0","0","0","0","0"
"AA","12/07/2022","0589","N816AW","DFW","05:45","05:49","192","178","4","06:07","18","0","0","0","0","0"
"AA","12/07/2022","1899","N647AW","PHX","09:55","09:47","89","91","-8","10:07","20","0","0","0","0","0"
"AA","12/07/2022","1981","N766US","DFW","14:20","15:15","192","188","55","15:25","10","0","0","0","0","51"
