Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/03/2022","3361","N202NN","PHX","16:44","17:43","94","110","59","18:06","23","0","0","16","0","59"
"MQ","12/10/2022","3361","N271NN","PHX","16:44","16:44","91","88","0","16:55","11","0","0","0","0","0"
"MQ","12/15/2022","3912","N270NN","PHX","16:59","17:38","91","97","39","17:52","14","0","0","6","0","39"
"MQ","12/16/2022","3912","N262NN","PHX","16:59","17:11","91","97","12","17:23","12","0","0","6","0","12"
"MQ","12/17/2022","3912","N262NN","PHX","16:59","16:58","91","94","-1","17:13","15","0","0","0","0","0"
"MQ","12/18/2022","3912","N264NN","PHX","16:59","20:09","91","93","190","20:23","14","0","0","2","0","190"
"MQ","12/19/2022","3912","N262NN","PHX","16:59","16:51","91","95","-8","17:05","14","0","0","0","0","0"
"MQ","12/20/2022","3912","N242NN","PHX","16:59","16:57","91","91","-2","17:10","13","0","0","0","0","0"
"MQ","12/21/2022","3912","N239NN","PHX","16:59","17:06","91","97","7","17:23","17","0","0","0","0","0"
"MQ","12/22/2022","3912","N250NN","PHX","16:59","16:50","91","99","-9","17:12","22","0","0","0","0","0"
"MQ","12/23/2022","3912","N262NN","PHX","16:59","16:54","91","91","-5","17:05","11","0","0","0","0","0"
"MQ","12/26/2022","3912","N206NN","PHX","16:59","17:10","91","90","11","17:22","12","0","0","0","0","0"
"MQ","12/27/2022","3912","N206NN","PHX","16:59","18:30","91","91","91","18:44","14","10","0","0","0","81"
"MQ","12/28/2022","3912","N262NN","PHX","16:59","17:05","91","83","6","17:15","10","0","0","0","0","0"
"MQ","12/29/2022","3912","N227NN","PHX","16:59","17:28","91","92","29","17:48","20","1","0","1","0","28"
"MQ","12/30/2022","3912","N227NN","PHX","16:59","17:15","91","93","16","17:29","14","0","0","2","0","16"

 SOURCE: Bureau of Transportation Statistics
