Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/14/2023","2403","N642QX","PDX","18:04","18:01","142","131","-3","18:17","16","0","0","0","0","0"
"QX","12/15/2022","2077","N651QX","PDX","10:50","10:46","144","139","-4","10:57","11","0","0","0","0","0"
"QX","12/15/2023","2403","N646QX","PDX","18:04","18:18","142","119","14","18:26","8","0","0","0","0","0"
"QX","12/16/2021","2075","N643QX","SEA","10:41","10:33","161","161","-8","10:43","10","0","0","0","0","0"
"QX","12/16/2021","2549","N634QX","PDX","15:00","14:46","141","138","-14","14:55","9","0","0","0","0","0"
"QX","12/16/2022","2077","N626QX","PDX","10:50","10:53","144","128","3","11:04","11","0","0","0","0","0"
"QX","12/17/2021","2075","N620QX","SEA","10:41","10:35","161","170","-6","10:45","10","0","0","0","0","0"
"QX","12/17/2021","2549","N647QX","PDX","15:00","14:57","141","142","-3","15:07","10","0","0","0","0","0"
"QX","12/17/2022","2077","N643QX","PDX","10:50","10:53","144","125","3","11:03","10","0","0","0","0","0"
"QX","12/17/2023","2403","N647QX","PDX","18:04","18:01","142","116","-3","18:11","10","0","0","0","0","0"
"QX","12/18/2021","2075","N635QX","SEA","10:41","10:31","161","160","-10","10:40","9","0","0","0","0","0"
"QX","12/18/2022","2077","N643QX","PDX","10:50","10:42","144","141","-8","10:54","12","0","0","0","0","0"
"QX","12/18/2023","2403","N631QX","PDX","18:04","18:01","142","124","-3","18:14","13","0","0","0","0","0"
"QX","12/19/2021","2075","N637QX","SEA","10:41","11:25","161","139","44","11:37","12","22","0","0","0","0"
"QX","12/19/2021","2549","N620QX","PDX","15:00","14:59","141","134","-1","15:12","13","0","0","0","0","0"
"QX","12/19/2022","2077","N620QX","PDX","10:50","10:46","144","141","-4","10:56","10","0","0","0","0","0"
"QX","12/19/2023","2403","N630QX","PDX","18:04","18:08","142","132","4","18:19","11","0","0","0","0","0"
"QX","12/20/2021","2075","N651QX","SEA","10:41","10:53","161","148","12","11:04","11","0","0","0","0","0"
"QX","12/20/2021","2549","N630QX","PDX","15:00","15:15","141","139","15","15:27","12","0","0","0","0","0"
"QX","12/20/2022","2077","N624QX","PDX","10:50","11:27","144","143","37","11:36","9","0","0","0","0","36"
"QX","12/20/2023","2403","N645QX","PDX","18:04","18:03","142","144","-1","18:20","17","0","0","0","0","0"
"QX","12/21/2021","2075","N631QX","SEA","10:41","10:35","161","142","-6","10:45","10","0","0","0","0","0"
"QX","12/21/2022","2077","N629QX","PDX","10:50","10:51","144","138","1","11:01","10","0","0","0","0","0"
"QX","12/21/2023","2403","N623QX","PDX","18:04","18:00","142","133","-4","18:15","15","0","0","0","0","0"
"QX","12/22/2021","2075","N631QX","SEA","10:41","10:34","161","134","-7","10:44","10","0","0","0","0","0"
"QX","12/22/2022","2077","N625QX","PDX","10:50","10:49","144","125","-1","10:59","10","0","0","0","0","0"
"QX","12/22/2023","2403","N652MK","PDX","18:04","18:11","142","154","7","18:20","9","7","0","12","0","0"
"QX","12/23/2021","2075","N627QX","SEA","10:41","10:38","161","153","-3","10:51","13","0","0","0","0","0"
"QX","12/23/2021","2549","N634QX","PDX","15:00","15:33","141","128","33","15:45","12","0","0","0","0","20"
"QX","12/23/2022","2077","N635QX","PDX","10:50","00:00","144","0","0","00:00","0","0","0","0","0","0"
"QX","12/24/2021","2075","N648QX","SEA","10:41","10:38","161","150","-3","10:50","12","0","0","0","0","0"
"QX","12/24/2021","2549","N628QX","PDX","15:00","14:52","141","129","-8","15:03","11","0","0","0","0","0"
"QX","12/24/2022","2077","N623QX","PDX","10:50","00:00","144","0","0","00:00","0","0","0","0","0","0"
"QX","12/24/2023","2403","N660QX","PDX","18:04","17:56","142","133","-8","18:04","8","0","0","0","0","0"
"QX","12/25/2021","2075","N648QX","SEA","10:41","10:33","161","142","-8","10:44","11","0","0","0","0","0"
"QX","12/25/2022","2077","N632QX","PDX","10:50","12:05","144","130","75","12:16","11","0","0","0","0","61"
"QX","12/25/2023","2403","N658QX","PDX","18:04","17:53","142","125","-11","18:00","7","0","0","0","0","0"
"QX","12/26/2021","2075","N641QX","SEA","10:41","15:05","161","0","264","00:00","0","0","0","0","0","0"
"QX","12/26/2021","2549","N645QX","PDX","15:00","15:00","141","133","0","15:11","11","0","0","0","0","0"
"QX","12/26/2022","2077","N632QX","PDX","10:50","10:46","144","126","-4","10:56","10","0","0","0","0","0"
"QX","12/26/2023","2403","N638QX","PDX","18:04","18:20","142","137","16","18:30","10","0","0","0","0","0"
"QX","12/27/2021","2075","N636QX","SEA","10:41","00:00","161","0","0","00:00","0","0","0","0","0","0"
"QX","12/27/2021","2549","N646QX","PDX","15:00","15:17","141","150","17","15:29","12","0","0","9","0","17"
"QX","12/27/2022","2077","N635QX","PDX","10:50","11:31","144","128","41","11:41","10","0","0","0","0","25"
"QX","12/27/2023","2403","N653QX","PDX","18:04","18:04","142","124","0","18:16","12","0","0","0","0","0"
"QX","12/28/2021","2075","N627QX","SEA","10:41","11:05","161","166","24","11:25","20","0","0","29","0","0"
"QX","12/28/2022","2077","N629QX","PDX","10:50","11:14","144","147","24","11:24","10","4","0","3","0","20"
"QX","12/28/2023","2403","N628QX","PDX","18:04","18:12","142","128","8","18:24","12","0","0","0","0","0"
"QX","12/29/2021","2075","N644QX","SEA","10:41","10:33","161","161","-8","10:48","15","0","0","0","0","0"
"QX","12/29/2022","2077","N642QX","PDX","10:50","10:47","144","154","-3","10:57","10","0","0","0","0","0"
"QX","12/29/2023","2403","N632QX","PDX","18:04","18:10","142","126","6","18:26","16","0","0","0","0","0"
"QX","12/30/2021","2075","N634QX","SEA","10:41","00:00","161","0","0","00:00","0","0","0","0","0","0"
"QX","12/30/2021","2549","N647QX","PDX","15:00","14:54","141","145","-6","15:06","12","0","0","0","0","0"
"QX","12/30/2022","2077","N628QX","PDX","10:50","10:43","144","148","-7","10:59","16","0","0","0","0","0"
"QX","12/31/2021","2075","N634QX","SEA","10:41","10:43","161","182","2","11:05","22","0","0","23","0","0"
"QX","12/31/2021","2549","N637QX","PDX","15:00","14:51","141","167","-9","15:00","9","0","0","17","0","0"
"QX","12/31/2022","2077","N623QX","PDX","10:50","10:45","144","132","-5","10:57","12","0","0","0","0","0"
"QX","12/31/2023","2403","N643QX","PDX","18:04","17:51","142","128","-13","18:00","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
