Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5732","N918FJ","PHX","18:59","18:55","92","101","-4","19:09","14","0","0","0","0","0"
"YV","12/01/2021","5777","N919FJ","PHX","06:25","00:00","100","0","0","00:00","0","0","0","0","0","0"
"YV","12/01/2021","5908","N921FJ","PHX","09:50","00:00","91","0","0","00:00","0","0","0","0","0","0"
"YV","12/01/2022","5737","N950LR","PHX","12:02","12:10","89","82","8","12:25","15","0","0","0","0","0"
"YV","12/02/2021","5732","N935LR","PHX","18:59","21:21","92","85","142","21:33","12","0","0","0","0","135"
"YV","12/02/2021","5777","N924FJ","PHX","06:25","00:00","100","0","0","00:00","0","0","0","0","0","0"
"YV","12/02/2021","5908","N922FJ","PHX","09:57","09:48","91","91","-9","10:00","12","0","0","0","0","0"
"YV","12/02/2022","5737","N918FJ","PHX","12:02","12:02","89","89","0","12:20","18","0","0","0","0","0"
"YV","12/03/2021","5732","N910FJ","PHX","18:59","19:54","92","94","55","20:06","12","0","0","2","0","55"
"YV","12/03/2021","5777","N922FJ","PHX","06:25","08:24","100","92","119","08:44","20","111","0","0","0","0"
"YV","12/03/2021","5908","N249LR","PHX","09:57","09:43","91","86","-14","09:59","16","0","0","0","0","0"
"YV","12/04/2021","5732","N909FJ","PHX","18:59","18:54","92","96","-5","19:09","15","0","0","0","0","0"
"YV","12/04/2021","5777","N329MS","PHX","06:25","06:18","100","104","-7","06:34","16","0","0","0","0","0"
