Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0276","N730SW","LAS","06:25","06:21","70","67","-4","06:32","11","0","0","0","0","0"
"WN","12/01/2021","3442","N235WN","DEN","12:10","12:07","155","159","-3","12:21","14","0","0","0","0","0"
"WN","12/01/2021","3608","N483WN","OAK","12:55","12:48","70","56","-7","12:56","8","0","0","0","0","0"
"WN","12/01/2021","5430","N947WN","LAS","11:25","11:21","70","62","-4","11:29","8","0","0","0","0","0"
"WN","12/01/2021","6152","N440LV","LAS","16:40","20:07","70","63","207","20:17","10","0","0","0","0","200"
"WN","12/01/2022","0559","N477WN","OAK","18:00","19:18","70","63","78","19:26","8","4","0","0","0","67"
"WN","12/01/2022","0888","N8759Q","SMF","14:40","14:36","75","74","-4","14:48","12","0","0","0","0","0"
"WN","12/01/2022","1088","N953WN","DEN","12:40","13:45","140","119","65","13:54","9","17","0","0","0","27"
"WN","12/01/2022","2204","N453WN","LAS","05:30","05:22","75","59","-8","05:32","10","0","0","0","0","0"
"WN","12/01/2022","2373","N8682B","LAS","11:20","12:33","75","65","73","12:43","10","0","0","29","0","34"
"WN","12/01/2022","3447","N872CB","LAS","16:15","16:43","75","65","28","16:56","13","0","0","18","0","0"
"WN","12/01/2023","0639","N933WN","SMF","12:30","12:27","75","71","-3","12:36","9","0","0","0","0","0"
"WN","12/01/2023","1223","N7859B","LAS","14:20","14:57","75","60","37","15:04","7","0","0","22","0","0"
"WN","12/01/2023","1246","N931WN","LAS","07:20","07:18","70","63","-2","07:26","8","0","0","0","0","0"
"WN","12/01/2023","1252","N225WN","LAS","11:00","10:59","75","71","-1","11:17","18","0","0","0","0","0"
"WN","12/01/2023","2648","N967WN","DEN","16:05","16:04","140","132","-1","16:16","12","0","0","0","0","0"
"WN","12/01/2023","2849","N209WN","DEN","06:15","06:13","140","127","-2","06:20","7","0","0","0","0","0"
"WN","12/01/2023","3001","N8802Q","OAK","17:50","17:46","70","72","-4","18:05","19","0","0","0","0","0"
"WN","12/02/2021","0276","N440LV","LAS","06:25","08:12","70","82","107","08:20","8","107","0","12","0","0"
"WN","12/02/2021","3442","N468WN","DEN","12:10","12:04","155","137","-6","12:14","10","0","0","0","0","0"
"WN","12/02/2021","3608","N237WN","OAK","12:55","12:50","70","57","-5","12:59","9","0","0","0","0","0"
"WN","12/02/2021","5430","N217JC","LAS","11:25","11:33","70","64","8","11:44","11","0","0","0","0","0"
"WN","12/02/2021","6152","N754SW","LAS","16:40","16:40","70","61","0","16:48","8","0","0","0","0","0"
"WN","12/02/2022","0559","N7883A","OAK","18:00","18:38","70","61","38","18:47","9","5","0","0","0","24"
"WN","12/02/2022","0888","N8558Z","SMF","14:40","15:20","75","64","40","15:29","9","2","0","0","0","27"
"WN","12/02/2022","1088","N298WN","DEN","12:40","14:08","140","110","88","14:16","8","0","0","0","0","58"
"WN","12/02/2022","2204","N480WN","LAS","05:30","06:01","75","69","31","06:17","16","25","0","0","0","0"
"WN","12/02/2022","2373","N8778Q","LAS","11:20","11:20","75","82","0","11:51","31","0","0","0","0","0"
"WN","12/02/2022","3447","N8704Q","LAS","16:15","17:05","75","65","50","17:17","12","0","0","0","0","40"
"WN","12/02/2023","0366","N8325D","DEN","11:00","10:57","140","133","-3","11:06","9","0","0","0","0","0"
"WN","12/02/2023","1223","N8860S","LAS","14:50","14:52","75","68","2","15:04","12","0","0","0","0","0"
"WN","12/02/2023","1677","N291WN","LAS","06:00","06:06","75","74","6","06:17","11","0","0","0","0","0"
"WN","12/02/2023","1928","N279WN","SMF","07:00","06:58","75","75","-2","07:07","9","0","0","0","0","0"
"WN","12/02/2023","3001","N8671D","OAK","17:05","17:08","70","69","3","17:23","15","0","0","0","0","0"
"WN","12/03/2021","0276","N570WN","LAS","06:25","07:48","70","71","83","07:56","8","83","0","1","0","0"
"WN","12/03/2021","3442","N417WN","DEN","12:10","12:09","155","138","-1","12:21","12","0","0","0","0","0"
"WN","12/03/2021","3608","N217JC","OAK","12:55","13:30","70","56","35","13:38","8","5","0","0","0","16"
"WN","12/03/2021","5430","N7820L","LAS","11:25","11:43","70","82","18","12:07","24","0","0","30","0","0"
"WN","12/03/2021","6152","N235WN","LAS","16:40","16:34","70","68","-6","16:45","11","0","0","0","0","0"
"WN","12/03/2022","0559","N915WN","OAK","18:00","18:03","70","58","3","18:13","10","0","0","0","0","0"
"WN","12/03/2022","0888","N8509U","SMF","12:20","12:16","75","68","-4","12:24","8","0","0","0","0","0"
"WN","12/03/2022","2204","N407WN","LAS","06:20","06:20","75","61","0","06:33","13","0","0","0","0","0"
"WN","12/03/2022","2412","N7854B","DEN","10:40","10:36","145","115","-4","10:44","8","0","0","0","0","0"
"WN","12/03/2022","3447","N8678E","LAS","14:00","14:00","75","77","0","14:24","24","0","0","0","0","0"
"WN","12/03/2023","0639","N7831B","SMF","12:30","12:27","75","74","-3","12:39","12","0","0","0","0","0"
"WN","12/03/2023","1223","N7817J","LAS","14:20","14:20","75","76","0","14:37","17","0","0","0","0","0"
"WN","12/03/2023","1246","N405WN","LAS","07:20","07:18","70","73","-2","07:32","14","0","0","0","0","0"
"WN","12/03/2023","1252","N550WN","LAS","11:00","10:50","75","63","-10","11:00","10","0","0","0","0","0"
