Detailed Statistics Departures  
Origin Airport: Santa Barbara, CA: Santa Barbara Municipal (SBA)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1652","N4888U","DEN","05:20","05:19","147","153","-1","05:36","17","0","0","0","0","0"
"UA","12/01/2021","2167","N893UA","SFO","14:19","14:27","69","57","8","14:36","9","0","0","0","0","0"
"UA","12/01/2021","2351","N472UA","DEN","12:50","13:07","143","147","17","13:26","19","17","0","4","0","0"
"UA","12/01/2022","0589","N25201","DEN","12:58","13:13","146","124","15","13:24","11","0","0","0","0","0"
"UA","12/01/2022","1299","N897UA","SFO","14:04","14:20","69","68","16","14:29","9","4","0","0","0","11"
"UA","12/01/2022","2142","N465UA","DEN","05:30","05:25","146","133","-5","05:39","14","0","0","0","0","0"
"UA","12/01/2023","0477","N882UA","SFO","14:15","14:06","71","86","-9","14:39","33","0","0","0","0","0"
"UA","12/01/2023","1095","N873UA","SFO","08:00","08:07","71","64","7","08:17","10","0","0","0","0","0"
"UA","12/01/2023","1451","N482UA","DEN","05:15","05:07","147","138","-8","05:21","14","0","0","0","0","0"
"UA","12/01/2023","1969","N837UA","DEN","13:02","13:00","148","139","-2","13:10","10","0","0","0","0","0"
"UA","12/02/2021","1652","N497UA","DEN","05:20","11:41","147","139","381","11:54","13","9","0","0","0","364"
"UA","12/02/2021","2167","N822UA","SFO","14:19","14:37","69","79","18","15:07","30","18","0","10","0","0"
"UA","12/02/2021","2351","N457UA","DEN","12:50","13:03","143","143","13","13:18","15","0","0","0","0","0"
"UA","12/02/2022","0589","N16234","DEN","12:58","12:43","146","119","-15","12:54","11","0","0","0","0","0"
"UA","12/02/2022","1299","N882UA","SFO","14:09","14:20","69","62","11","14:32","12","0","0","0","0","0"
"UA","12/02/2022","2142","N876UA","DEN","05:30","05:26","146","127","-4","05:39","13","0","0","0","0","0"
"UA","12/02/2023","0477","N821UA","SFO","14:15","14:14","71","105","-1","15:00","46","0","0","33","0","0"
"UA","12/02/2023","1095","N848UA","SFO","08:00","09:11","71","72","71","09:30","19","0","0","72","0","0"
"UA","12/02/2023","1451","N893UA","DEN","05:15","05:09","147","141","-6","05:26","17","0","0","0","0","0"
"UA","12/02/2023","1969","N883UA","DEN","13:02","12:52","148","144","-10","13:06","14","0","0","0","0","0"
"UA","12/03/2021","1652","N467UA","DEN","05:20","05:26","147","133","6","05:38","12","0","0","0","0","0"
"UA","12/03/2021","2167","N846UA","SFO","14:19","14:06","69","67","-13","14:24","18","0","0","0","0","0"
"UA","12/03/2021","2351","N458UA","DEN","12:50","12:47","143","143","-3","12:57","10","0","0","0","0","0"
"UA","12/03/2022","0589","N76504","DEN","12:58","12:48","146","127","-10","13:03","15","0","0","0","0","0"
"UA","12/03/2022","1299","N807UA","SFO","14:09","14:22","69","64","13","14:37","15","0","0","0","0","0"
"UA","12/03/2022","2142","N497UA","DEN","05:30","05:20","146","117","-10","05:31","11","0","0","0","0","0"
"UA","12/03/2023","0477","N882UA","SFO","14:15","14:45","71","69","30","15:02","17","0","0","28","0","0"
"UA","12/03/2023","1095","N824UA","SFO","08:00","07:57","71","70","-3","08:20","23","0","0","0","0","0"
"UA","12/03/2023","1451","N484UA","DEN","05:15","05:23","147","158","8","05:46","23","8","0","11","0","0"
"UA","12/03/2023","1969","N844UA","DEN","13:02","12:56","148","146","-6","13:14","18","0","0","0","0","0"
"UA","12/04/2021","1652","N426UA","DEN","05:20","05:18","147","145","-2","05:33","15","0","0","0","0","0"
"UA","12/04/2021","1930","N874UA","SFO","14:19","14:18","69","63","-1","14:29","11","0","0","0","0","0"
"UA","12/04/2021","2246","N802UA","DEN","12:50","12:47","143","170","-3","13:25","38","0","0","24","0","0"
"UA","12/04/2022","0589","N436UA","DEN","12:58","12:59","146","127","1","13:12","13","0","0","0","0","0"
"UA","12/04/2022","1299","N876UA","SFO","14:09","14:18","69","82","9","14:43","25","9","0","13","0","0"
"UA","12/04/2022","2142","N417UA","DEN","05:30","05:25","146","132","-5","05:39","14","0","0","0","0","0"
"UA","12/04/2023","0477","N836UA","SFO","14:15","14:06","71","72","-9","14:29","23","0","0","0","0","0"
"UA","12/04/2023","1095","N810UA","SFO","08:00","07:54","71","58","-6","08:04","10","0","0","0","0","0"
"UA","12/04/2023","1451","N425UA","DEN","05:15","05:34","147","132","19","05:44","10","0","0","0","0","0"
"UA","12/04/2023","1969","N878UA","DEN","13:02","12:48","148","148","-14","13:03","15","0","0","0","0","0"
"UA","12/04/2023","2097","N836UA","SFO","18:52","18:39","71","59","-13","18:49","10","0","0","0","0","0"
"UA","12/05/2021","1652","N495UA","DEN","05:20","06:31","147","149","71","06:49","18","71","0","2","0","0"
"UA","12/05/2021","1930","N468UA","SFO","14:19","14:13","69","73","-6","14:24","11","0","0","0","0","0"
"UA","12/05/2021","2246","N819UA","DEN","12:50","12:42","143","152","-8","12:50","8","0","0","0","0","0"
"UA","12/05/2022","0589","N35204","DEN","12:58","13:00","146","127","2","13:11","11","0","0","0","0","0"
"UA","12/05/2022","1299","N874UA","SFO","14:09","14:14","69","57","5","14:22","8","0","0","0","0","0"
"UA","12/05/2022","2142","N475UA","DEN","05:30","05:24","146","128","-6","05:35","11","0","0","0","0","0"
"UA","12/05/2023","0477","N837UA","SFO","14:15","16:04","71","54","109","16:13","9","8","0","0","0","84"
"UA","12/05/2023","1095","N854UA","SFO","08:00","07:54","71","105","-6","08:47","53","0","0","28","0","0"
"UA","12/05/2023","1451","N479UA","DEN","05:15","05:04","147","149","-11","05:18","14","0","0","0","0","0"
"UA","12/05/2023","1969","N813UA","DEN","13:02","13:39","148","164","37","13:49","10","10","0","16","0","27"
"UA","12/05/2023","2097","N897UA","SFO","18:52","18:43","71","60","-9","18:54","11","0","0","0","0","0"
"UA","12/06/2021","1652","N802UA","DEN","05:20","05:18","147","141","-2","05:29","11","0","0","0","0","0"
"UA","12/06/2021","1930","N819UA","SFO","14:19","14:11","69","61","-8","14:21","10","0","0","0","0","0"
"UA","12/06/2021","2246","N460UA","DEN","12:50","13:02","143","150","12","13:27","25","12","0","7","0","0"
"UA","12/06/2022","0589","N77530","DEN","12:58","13:15","146","117","17","13:27","12","0","0","0","0","0"
"UA","12/06/2022","1299","N844UA","SFO","14:09","14:14","69","59","5","14:22","8","0","0","0","0","0"
"UA","12/06/2022","2142","N455UA","DEN","05:30","05:27","146","128","-3","05:39","12","0","0","0","0","0"
"UA","12/06/2023","0477","N816UA","SFO","14:15","14:07","71","112","-8","15:05","58","0","0","33","0","0"
"UA","12/06/2023","1095","N823UA","SFO","08:00","08:15","71","78","15","08:45","30","0","0","22","0","0"
"UA","12/06/2023","1451","N479UA","DEN","05:15","05:11","147","141","-4","05:25","14","0","0","0","0","0"
"UA","12/06/2023","1969","N805UA","DEN","13:02","12:57","148","139","-5","13:08","11","0","0","0","0","0"
"UA","12/06/2023","2097","N882UA","SFO","18:52","18:40","71","72","-12","19:00","20","0","0","0","0","0"
"UA","12/07/2021","1652","N410UA","DEN","05:20","13:01","147","137","461","13:11","10","451","0","0","0","0"
"UA","12/07/2021","1930","N882UA","SFO","14:19","14:23","69","54","4","14:32","9","0","0","0","0","0"
"UA","12/07/2021","2246","N490UA","DEN","12:50","12:53","143","128","3","13:01","8","0","0","0","0","0"
"UA","12/07/2022","0589","N27213","DEN","12:58","13:03","146","131","5","13:14","11","0","0","0","0","0"
"UA","12/07/2022","1299","N890UA","SFO","14:09","15:14","69","91","65","15:53","39","65","0","22","0","0"
"UA","12/07/2022","2142","N475UA","DEN","05:30","05:23","146","130","-7","05:36","13","0","0","0","0","0"
"UA","12/07/2023","0477","N819UA","SFO","14:15","14:10","71","93","-5","14:43","33","0","0","17","0","0"
"UA","12/07/2023","1095","N802UA","SFO","08:00","08:00","71","66","0","08:15","15","0","0","0","0","0"
"UA","12/07/2023","1451","N420UA","DEN","05:15","05:08","147","135","-7","05:21","13","0","0","0","0","0"
"UA","12/07/2023","1969","N894UA","DEN","13:02","13:14","148","148","12","13:24","10","0","0","0","0","0"
"UA","12/07/2023","2097","N804UA","SFO","18:52","19:41","71","62","49","19:52","11","40","0","0","0","0"
"UA","12/08/2021","1652","N429UA","DEN","05:20","05:14","147","132","-6","05:24","10","0","0","0","0","0"
"UA","12/08/2021","1930","N880UA","SFO","14:19","14:31","69","57","12","14:39","8","0","0","0","0","0"
"UA","12/08/2021","2246","N482UA","DEN","12:50","12:55","143","136","5","13:04","9","0","0","0","0","0"
