Detailed Statistics Departures  
Origin Airport: Santa Fe, NM: Santa Fe Municipal (SAF)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/20/2023","3355","N761RW","DFW","12:58","12:56","111","103","-2","13:14","18","0","0","0","0","0"
"MQ","12/21/2023","3717","N776MS","DFW","13:04","12:58","111","112","-6","13:22","24","0","0","0","0","0"
"MQ","12/23/2023","3355","N826MD","DFW","12:48","12:45","111","99","-3","12:59","14","0","0","0","0","0"
"MQ","12/24/2023","3717","N772MR","DFW","11:56","11:48","111","101","-8","11:59","11","0","0","0","0","0"
"MQ","12/25/2023","3717","N776MS","DFW","13:04","13:26","111","92","22","13:35","9","0","0","0","0","0"
"MQ","12/26/2023","3717","N635RW","DFW","13:04","12:58","111","102","-6","13:17","19","0","0","0","0","0"
"MQ","12/27/2023","3355","N826MD","DFW","12:48","12:40","111","98","-8","12:55","15","0","0","0","0","0"
"MQ","12/28/2023","3717","N873RW","DFW","13:04","13:01","111","95","-3","13:14","13","0","0","0","0","0"
"MQ","12/29/2023","3717","N635RW","DFW","13:04","13:02","111","105","-2","13:15","13","0","0","0","0","0"
"MQ","12/30/2023","3355","N826MD","DFW","12:48","12:38","111","92","-10","12:51","13","0","0","0","0","0"
"MQ","12/31/2023","3717","N873RW","DFW","13:04","13:00","111","103","-4","13:12","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
